Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 1
Job 0;2023-01-01 00:16:00;2023-01-01 00:27:00;Machine 34
Job 0;2023-01-01 00:27:00;2023-01-01 00:37:00;Machine 26
Job 0;2023-01-01 00:37:00;2023-01-01 00:47:00;Machine 11
Job 0;2023-01-01 00:47:00;2023-01-01 01:07:00;Machine 57
Job 1;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 3
Job 1;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 58
Job 1;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 59
Job 1;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 60
Job 1;2023-01-01 00:10:00;2023-01-01 00:21:00;Machine 28
Job 1;2023-01-01 00:21:00;2023-01-01 00:32:00;Machine 9
Job 1;2023-01-01 00:32:00;2023-01-01 00:43:00;Machine 25
Job 10;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 1
Job 10;2023-01-01 00:00:00;2023-01-01 00:25:00;Machine 58
Job 10;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 59
Job 10;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 60
Job 10;2023-01-01 00:11:00;2023-01-01 00:21:00;Machine 23
Job 10;2023-01-01 00:21:00;2023-01-01 00:34:00;Machine 8
Job 10;2023-01-01 00:34:00;2023-01-01 00:44:00;Machine 32
Job 11;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 1
Job 11;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 59
Job 11;2023-01-01 00:10:00;2023-01-01 00:21:00;Machine 20
Job 11;2023-01-01 00:21:00;2023-01-01 00:32:00;Machine 48
Job 11;2023-01-01 00:32:00;2023-01-01 00:42:00;Machine 43
Job 12;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 3
Job 12;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 58
Job 12;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 59
Job 12;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 60
Job 12;2023-01-01 00:12:00;2023-01-01 00:23:00;Machine 16
Job 12;2023-01-01 00:23:00;2023-01-01 00:33:00;Machine 13
Job 12;2023-01-01 00:33:00;2023-01-01 00:43:00;Machine 44
Job 13;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 3
Job 13;2023-01-01 00:11:00;2023-01-01 00:22:00;Machine 48
Job 13;2023-01-01 00:22:00;2023-01-01 00:32:00;Machine 25
Job 13;2023-01-01 00:32:00;2023-01-01 00:44:00;Machine 21
Job 13;2023-01-01 00:44:00;2023-01-01 00:56:00;Machine 57
Job 14;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 1
Job 14;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 58
Job 14;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 59
Job 14;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 60
Job 14;2023-01-01 00:14:00;2023-01-01 00:24:00;Machine 44
Job 14;2023-01-01 00:24:00;2023-01-01 00:34:00;Machine 12
Job 14;2023-01-01 00:34:00;2023-01-01 00:44:00;Machine 50
Job 15;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 4
Job 15;2023-01-01 00:14:00;2023-01-01 00:24:00;Machine 56
Job 15;2023-01-01 00:24:00;2023-01-01 00:34:00;Machine 41
Job 15;2023-01-01 00:34:00;2023-01-01 00:44:00;Machine 49
Job 15;2023-01-01 00:44:00;2023-01-01 01:02:00;Machine 57
Job 16;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 1
Job 16;2023-01-01 00:11:00;2023-01-01 00:21:00;Machine 17
Job 16;2023-01-01 00:21:00;2023-01-01 00:32:00;Machine 20
Job 16;2023-01-01 00:32:00;2023-01-01 00:42:00;Machine 52
Job 16;2023-01-01 00:42:00;2023-01-01 00:54:00;Machine 57
Job 17;2023-01-01 00:00:00;2023-01-01 00:24:00;Machine 4
Job 17;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 59
Job 17;2023-01-01 00:24:00;2023-01-01 00:34:00;Machine 17
Job 17;2023-01-01 00:34:00;2023-01-01 00:44:00;Machine 14
Job 17;2023-01-01 00:44:00;2023-01-01 00:54:00;Machine 55
Job 18;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 3
Job 18;2023-01-01 00:00:00;2023-01-01 00:21:00;Machine 58
Job 18;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 59
Job 18;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 60
Job 18;2023-01-01 00:14:00;2023-01-01 00:24:00;Machine 16
Job 18;2023-01-01 00:24:00;2023-01-01 00:34:00;Machine 9
Job 18;2023-01-01 00:34:00;2023-01-01 00:44:00;Machine 41
Job 19;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 4
Job 19;2023-01-01 00:00:00;2023-01-01 00:15:00;Machine 58
Job 19;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 59
Job 19;2023-01-01 00:12:00;2023-01-01 00:23:00;Machine 10
Job 19;2023-01-01 00:23:00;2023-01-01 00:36:00;Machine 38
Job 19;2023-01-01 00:36:00;2023-01-01 00:46:00;Machine 17
Job 2;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 3
Job 2;2023-01-01 00:00:00;2023-01-01 00:17:00;Machine 58
Job 2;2023-01-01 00:00:00;2023-01-01 00:15:00;Machine 60
Job 2;2023-01-01 00:14:00;2023-01-01 00:32:00;Machine 25
Job 2;2023-01-01 00:32:00;2023-01-01 00:42:00;Machine 28
Job 2;2023-01-01 00:42:00;2023-01-01 00:54:00;Machine 44
Job 3;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 3
Job 3;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 58
Job 3;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 59
Job 3;2023-01-01 00:00:00;2023-01-01 00:21:00;Machine 60
Job 3;2023-01-01 00:11:00;2023-01-01 00:21:00;Machine 12
Job 3;2023-01-01 00:21:00;2023-01-01 00:31:00;Machine 54
Job 3;2023-01-01 00:31:00;2023-01-01 00:41:00;Machine 40
Job 4;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 2
Job 4;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 59
Job 4;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 60
Job 4;2023-01-01 00:11:00;2023-01-01 00:22:00;Machine 18
Job 4;2023-01-01 00:22:00;2023-01-01 00:33:00;Machine 18
Job 4;2023-01-01 00:33:00;2023-01-01 00:43:00;Machine 13
Job 5;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 3
Job 5;2023-01-01 00:00:00;2023-01-01 00:27:00;Machine 58
Job 5;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 59
Job 5;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 60
Job 5;2023-01-01 00:13:00;2023-01-01 00:23:00;Machine 29
Job 5;2023-01-01 00:23:00;2023-01-01 00:33:00;Machine 24
Job 5;2023-01-01 00:33:00;2023-01-01 00:43:00;Machine 14
Job 6;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 2
Job 6;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 58
Job 6;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 59
Job 6;2023-01-01 00:11:00;2023-01-01 00:22:00;Machine 22
Job 6;2023-01-01 00:22:00;2023-01-01 00:33:00;Machine 45
Job 6;2023-01-01 00:33:00;2023-01-01 00:43:00;Machine 18
Job 7;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 4
Job 7;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 59
Job 7;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 60
Job 7;2023-01-01 00:16:00;2023-01-01 00:27:00;Machine 26
Job 7;2023-01-01 00:27:00;2023-01-01 00:38:00;Machine 31
Job 7;2023-01-01 00:38:00;2023-01-01 00:48:00;Machine 43
