Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:04:00;Machine 2
Job 0;2023-01-01 00:04:00;2023-01-01 00:19:00;Machine 1
Job 0;2023-01-01 00:19:00;2023-01-01 00:23:00;Machine 2
Job 0;2023-01-01 00:23:00;2023-01-01 00:41:00;Machine 4
Job 0;2023-01-01 00:41:00;2023-01-01 00:43:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 00:03:00;Machine 1
Job 1;2023-01-01 00:03:00;2023-01-01 00:05:00;Machine 5
Job 1;2023-01-01 00:05:00;2023-01-01 00:09:00;Machine 2
Job 1;2023-01-01 00:09:00;2023-01-01 00:10:00;Machine 5
Job 1;2023-01-01 00:10:00;2023-01-01 00:12:00;Machine 3
Job 10;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 4
Job 10;2023-01-01 00:18:00;2023-01-01 00:19:00;Machine 5
Job 10;2023-01-01 00:19:00;2023-01-01 00:21:00;Machine 5
Job 10;2023-01-01 00:21:00;2023-01-01 00:28:00;Machine 5
Job 10;2023-01-01 00:28:00;2023-01-01 00:43:00;Machine 5
Job 11;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 5
Job 11;2023-01-01 00:12:00;2023-01-01 00:20:00;Machine 5
Job 11;2023-01-01 00:20:00;2023-01-01 00:26:00;Machine 1
Job 11;2023-01-01 00:26:00;2023-01-01 00:28:00;Machine 5
Job 11;2023-01-01 00:28:00;2023-01-01 00:35:00;Machine 1
Job 12;2023-01-01 00:00:00;2023-01-01 00:15:00;Machine 5
Job 12;2023-01-01 00:15:00;2023-01-01 00:33:00;Machine 4
Job 12;2023-01-01 00:33:00;2023-01-01 00:38:00;Machine 4
Job 12;2023-01-01 00:38:00;2023-01-01 00:40:00;Machine 1
Job 12;2023-01-01 00:40:00;2023-01-01 00:41:00;Machine 5
Job 13;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 5
Job 13;2023-01-01 00:01:00;2023-01-01 00:03:00;Machine 1
Job 13;2023-01-01 00:03:00;2023-01-01 00:11:00;Machine 5
Job 13;2023-01-01 00:11:00;2023-01-01 00:26:00;Machine 1
Job 13;2023-01-01 00:26:00;2023-01-01 00:28:00;Machine 5
Job 14;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 5
Job 14;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 5
Job 14;2023-01-01 00:03:00;2023-01-01 00:15:00;Machine 5
Job 14;2023-01-01 00:15:00;2023-01-01 00:22:00;Machine 1
Job 14;2023-01-01 00:22:00;2023-01-01 00:37:00;Machine 5
Job 15;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 1
Job 15;2023-01-01 00:02:00;2023-01-01 00:11:00;Machine 3
Job 15;2023-01-01 00:11:00;2023-01-01 00:15:00;Machine 2
Job 15;2023-01-01 00:15:00;2023-01-01 00:22:00;Machine 5
Job 15;2023-01-01 00:22:00;2023-01-01 00:27:00;Machine 4
Job 16;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 5
Job 16;2023-01-01 00:02:00;2023-01-01 00:16:00;Machine 2
Job 16;2023-01-01 00:16:00;2023-01-01 00:18:00;Machine 1
Job 16;2023-01-01 00:18:00;2023-01-01 00:24:00;Machine 1
Job 16;2023-01-01 00:24:00;2023-01-01 00:25:00;Machine 5
Job 17;2023-01-01 00:00:00;2023-01-01 00:04:00;Machine 2
Job 17;2023-01-01 00:04:00;2023-01-01 00:05:00;Machine 5
Job 17;2023-01-01 00:05:00;2023-01-01 00:06:00;Machine 5
Job 17;2023-01-01 00:06:00;2023-01-01 00:21:00;Machine 1
Job 17;2023-01-01 00:21:00;2023-01-01 00:28:00;Machine 5
Job 18;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 3
Job 18;2023-01-01 00:02:00;2023-01-01 00:08:00;Machine 4
Job 18;2023-01-01 00:08:00;2023-01-01 00:10:00;Machine 2
Job 18;2023-01-01 00:10:00;2023-01-01 00:28:00;Machine 4
Job 18;2023-01-01 00:28:00;2023-01-01 00:31:00;Machine 1
Job 19;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 4
