Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 10
Job 0;2023-01-01 01:05:00;2023-01-01 01:33:00;Machine 11
Job 0;2023-01-01 01:33:00;2023-01-01 02:47:00;Machine 5
Job 0;2023-01-01 02:47:00;2023-01-01 03:20:00;Machine 13
Job 0;2023-01-01 03:20:00;2023-01-01 04:11:00;Machine 3
Job 0;2023-01-01 04:11:00;2023-01-01 05:26:00;Machine 15
Job 0;2023-01-01 05:26:00;2023-01-01 06:39:00;Machine 6
Job 0;2023-01-01 06:39:00;2023-01-01 07:11:00;Machine 9
Job 0;2023-01-01 07:11:00;2023-01-01 07:24:00;Machine 7
Job 0;2023-01-01 07:24:00;2023-01-01 08:45:00;Machine 4
Job 0;2023-01-01 08:45:00;2023-01-01 09:20:00;Machine 2
Job 0;2023-01-01 09:20:00;2023-01-01 10:19:00;Machine 8
Job 0;2023-01-01 10:19:00;2023-01-01 10:57:00;Machine 14
Job 0;2023-01-01 10:57:00;2023-01-01 11:52:00;Machine 12
Job 0;2023-01-01 11:52:00;2023-01-01 12:19:00;Machine 1
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 1
Job 1;2023-01-01 01:04:00;2023-01-01 01:57:00;Machine 2
Job 1;2023-01-01 01:57:00;2023-01-01 03:20:00;Machine 12
Job 1;2023-01-01 03:20:00;2023-01-01 03:53:00;Machine 3
Job 1;2023-01-01 03:53:00;2023-01-01 03:59:00;Machine 5
Job 1;2023-01-01 03:59:00;2023-01-01 04:51:00;Machine 10
Job 1;2023-01-01 04:51:00;2023-01-01 06:03:00;Machine 15
Job 1;2023-01-01 06:03:00;2023-01-01 06:10:00;Machine 9
Job 1;2023-01-01 06:10:00;2023-01-01 07:40:00;Machine 14
Job 1;2023-01-01 07:40:00;2023-01-01 08:01:00;Machine 13
Job 1;2023-01-01 08:01:00;2023-01-01 08:24:00;Machine 7
Job 1;2023-01-01 08:24:00;2023-01-01 08:34:00;Machine 4
Job 1;2023-01-01 08:34:00;2023-01-01 09:13:00;Machine 11
Job 1;2023-01-01 09:13:00;2023-01-01 10:02:00;Machine 6
