Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 01:01:00;Machine 8
Job 0;2023-01-01 01:01:00;2023-01-01 01:29:00;Machine 2
Job 0;2023-01-01 01:29:00;2023-01-01 01:43:00;Machine 2
Job 0;2023-01-01 01:43:00;2023-01-01 02:39:00;Machine 2
Job 0;2023-01-01 02:39:00;2023-01-01 04:05:00;Machine 7
Job 0;2023-01-01 04:05:00;2023-01-01 04:47:00;Machine 6
Job 0;2023-01-01 04:47:00;2023-01-01 06:09:00;Machine 6
Job 0;2023-01-01 06:09:00;2023-01-01 07:12:00;Machine 3
Job 0;2023-01-01 07:12:00;2023-01-01 07:58:00;Machine 1
Job 0;2023-01-01 07:58:00;2023-01-01 09:25:00;Machine 8
Job 0;2023-01-01 09:25:00;2023-01-01 10:31:00;Machine 1
Job 0;2023-01-01 10:31:00;2023-01-01 11:04:00;Machine 1
Job 0;2023-01-01 11:04:00;2023-01-01 12:33:00;Machine 3
Job 0;2023-01-01 12:33:00;2023-01-01 12:45:00;Machine 1
Job 0;2023-01-01 12:45:00;2023-01-01 13:05:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 01:26:00;Machine 9
Job 1;2023-01-01 00:00:00;2023-01-01 00:46:00;Machine 4
Job 1;2023-01-01 00:00:00;2023-01-01 00:45:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 00:40:00;Machine 7
Job 1;2023-01-01 00:00:00;2023-01-01 00:46:00;Machine 10
Job 1;2023-01-01 01:26:00;2023-01-01 01:48:00;Machine 3
Job 1;2023-01-01 01:48:00;2023-01-01 03:02:00;Machine 2
Job 1;2023-01-01 03:02:00;2023-01-01 03:39:00;Machine 10
Job 1;2023-01-01 03:39:00;2023-01-01 04:41:00;Machine 6
Job 1;2023-01-01 04:41:00;2023-01-01 05:26:00;Machine 4
Job 1;2023-01-01 05:26:00;2023-01-01 06:21:00;Machine 2
Job 1;2023-01-01 06:21:00;2023-01-01 07:01:00;Machine 2
Job 1;2023-01-01 07:01:00;2023-01-01 07:50:00;Machine 2
Job 1;2023-01-01 07:50:00;2023-01-01 08:58:00;Machine 2
Job 1;2023-01-01 08:58:00;2023-01-01 10:09:00;Machine 1
Job 1;2023-01-01 10:09:00;2023-01-01 11:26:00;Machine 1
Job 1;2023-01-01 11:26:00;2023-01-01 12:42:00;Machine 2
Job 1;2023-01-01 12:42:00;2023-01-01 13:23:00;Machine 2
Job 1;2023-01-01 13:23:00;2023-01-01 14:53:00;Machine 2
Job 1;2023-01-01 14:53:00;2023-01-01 15:59:00;Machine 5
Job 1;2023-01-01 15:59:00;2023-01-01 16:24:00;Machine 8
Job 1;2023-01-01 16:24:00;2023-01-01 17:45:00;Machine 3
Job 1;2023-01-01 17:45:00;2023-01-01 18:57:00;Machine 3
Job 10;2023-01-01 00:00:00;2023-01-01 00:59:00;Machine 2
Job 10;2023-01-01 00:00:00;2023-01-01 00:49:00;Machine 6
Job 10;2023-01-01 00:59:00;2023-01-01 02:24:00;Machine 7
Job 10;2023-01-01 02:24:00;2023-01-01 03:14:00;Machine 4
Job 10;2023-01-01 03:14:00;2023-01-01 04:29:00;Machine 9
Job 10;2023-01-01 04:29:00;2023-01-01 05:32:00;Machine 5
Job 10;2023-01-01 05:32:00;2023-01-01 06:16:00;Machine 1
Job 10;2023-01-01 06:16:00;2023-01-01 07:43:00;Machine 2
Job 10;2023-01-01 07:43:00;2023-01-01 09:07:00;Machine 1
Job 10;2023-01-01 09:07:00;2023-01-01 09:42:00;Machine 5
Job 10;2023-01-01 09:42:00;2023-01-01 10:51:00;Machine 10
Job 10;2023-01-01 10:51:00;2023-01-01 11:03:00;Machine 4
Job 10;2023-01-01 11:03:00;2023-01-01 11:55:00;Machine 4
Job 10;2023-01-01 11:55:00;2023-01-01 12:12:00;Machine 2
Job 10;2023-01-01 12:12:00;2023-01-01 13:08:00;Machine 4
Job 10;2023-01-01 13:08:00;2023-01-01 13:26:00;Machine 8
Job 10;2023-01-01 13:26:00;2023-01-01 14:50:00;Machine 3
Job 10;2023-01-01 14:50:00;2023-01-01 15:13:00;Machine 2
Job 10;2023-01-01 15:13:00;2023-01-01 16:36:00;Machine 9
Job 11;2023-01-01 00:00:00;2023-01-01 00:46:00;Machine 7
Job 11;2023-01-01 00:46:00;2023-01-01 01:48:00;Machine 8
Job 11;2023-01-01 01:48:00;2023-01-01 02:05:00;Machine 5
Job 11;2023-01-01 02:05:00;2023-01-01 03:09:00;Machine 4
Job 11;2023-01-01 03:09:00;2023-01-01 04:16:00;Machine 2
Job 11;2023-01-01 04:16:00;2023-01-01 05:02:00;Machine 1
Job 11;2023-01-01 05:02:00;2023-01-01 05:45:00;Machine 10
Job 11;2023-01-01 05:45:00;2023-01-01 06:22:00;Machine 3
Job 11;2023-01-01 06:22:00;2023-01-01 06:35:00;Machine 9
Job 11;2023-01-01 06:35:00;2023-01-01 07:51:00;Machine 2
Job 11;2023-01-01 07:51:00;2023-01-01 08:09:00;Machine 2
Job 11;2023-01-01 08:09:00;2023-01-01 09:47:00;Machine 2
Job 11;2023-01-01 09:47:00;2023-01-01 10:12:00;Machine 1
Job 11;2023-01-01 10:12:00;2023-01-01 11:29:00;Machine 1
Job 11;2023-01-01 11:29:00;2023-01-01 12:05:00;Machine 9
Job 11;2023-01-01 12:05:00;2023-01-01 12:46:00;Machine 6
Job 11;2023-01-01 12:46:00;2023-01-01 13:31:00;Machine 5
Job 11;2023-01-01 13:31:00;2023-01-01 14:20:00;Machine 9
Job 11;2023-01-01 14:20:00;2023-01-01 15:14:00;Machine 3
Job 11;2023-01-01 15:14:00;2023-01-01 16:10:00;Machine 2
Job 11;2023-01-01 16:10:00;2023-01-01 16:36:00;Machine 3
Job 12;2023-01-01 00:00:00;2023-01-01 01:29:00;Machine 5
Job 12;2023-01-01 00:00:00;2023-01-01 01:34:00;Machine 4
Job 12;2023-01-01 00:00:00;2023-01-01 01:34:00;Machine 7
Job 12;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 5
Job 12;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 9
Job 12;2023-01-01 00:00:00;2023-01-01 00:49:00;Machine 5
Job 12;2023-01-01 00:00:00;2023-01-01 00:51:00;Machine 9
Job 12;2023-01-01 01:29:00;2023-01-01 02:53:00;Machine 5
Job 12;2023-01-01 02:53:00;2023-01-01 03:41:00;Machine 8
Job 12;2023-01-01 03:41:00;2023-01-01 04:44:00;Machine 6
Job 12;2023-01-01 04:44:00;2023-01-01 06:04:00;Machine 1
Job 12;2023-01-01 07:38:00;2023-01-01 09:00:00;Machine 3
Job 12;2023-01-01 09:00:00;2023-01-01 10:22:00;Machine 9
Job 12;2023-01-01 10:22:00;2023-01-01 11:17:00;Machine 3
Job 12;2023-01-01 11:36:00;2023-01-01 13:07:00;Machine 4
Job 12;2023-01-01 14:11:00;2023-01-01 15:18:00;Machine 5
Job 12;2023-01-01 15:18:00;2023-01-01 16:49:00;Machine 1
Job 12;2023-01-01 16:49:00;2023-01-01 17:32:00;Machine 10
Job 13;2023-01-01 00:00:00;2023-01-01 00:57:00;Machine 9
Job 13;2023-01-01 00:00:00;2023-01-01 00:57:00;Machine 5
Job 13;2023-01-01 00:00:00;2023-01-01 01:13:00;Machine 6
Job 13;2023-01-01 00:00:00;2023-01-01 01:13:00;Machine 8
Job 13;2023-01-01 00:00:00;2023-01-01 00:25:00;Machine 2
Job 13;2023-01-01 00:00:00;2023-01-01 00:35:00;Machine 5
Job 13;2023-01-01 00:00:00;2023-01-01 00:35:00;Machine 10
