Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 02:27:00;Machine 1
Job 0;2023-01-01 02:27:00;2023-01-01 04:37:00;Machine 2
Job 0;2023-01-01 04:37:00;2023-01-01 07:07:00;Machine 4
Job 1;2023-01-01 00:00:00;2023-01-01 02:30:00;Machine 3
Job 1;2023-01-01 02:30:00;2023-01-01 03:36:00;Machine 2
Job 1;2023-01-01 03:36:00;2023-01-01 06:34:00;Machine 5
Job 2;2023-01-01 00:00:00;2023-01-01 01:02:00;Machine 2
Job 2;2023-01-01 01:02:00;2023-01-01 04:02:00;Machine 3
Job 2;2023-01-01 04:02:00;2023-01-01 05:42:00;Machine 5
Job 3;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
Job 3;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
Job 3;2023-01-01 03:58:00;2023-01-01 06:14:00;Machine 3
