Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:26:00;Machine 2
Job 0;2023-01-01 00:26:00;2023-01-01 01:33:00;Machine 13
Job 0;2023-01-01 01:33:00;2023-01-01 02:45:00;Machine 1
Job 0;2023-01-01 02:45:00;2023-01-01 03:59:00;Machine 7
Job 0;2023-01-01 03:59:00;2023-01-01 04:12:00;Machine 15
Job 0;2023-01-01 04:12:00;2023-01-01 04:55:00;Machine 9
Job 0;2023-01-01 04:55:00;2023-01-01 05:25:00;Machine 5
Job 0;2023-01-01 05:25:00;2023-01-01 05:44:00;Machine 4
Job 0;2023-01-01 05:44:00;2023-01-01 06:07:00;Machine 11
Job 0;2023-01-01 06:07:00;2023-01-01 07:32:00;Machine 12
Job 0;2023-01-01 07:32:00;2023-01-01 09:10:00;Machine 6
Job 0;2023-01-01 09:10:00;2023-01-01 09:53:00;Machine 14
Job 0;2023-01-01 09:53:00;2023-01-01 10:31:00;Machine 3
Job 0;2023-01-01 10:31:00;2023-01-01 10:39:00;Machine 8
Job 0;2023-01-01 10:39:00;2023-01-01 11:54:00;Machine 10
Job 1;2023-01-01 00:00:00;2023-01-01 00:42:00;Machine 15
Job 1;2023-01-01 00:42:00;2023-01-01 01:21:00;Machine 1
Job 1;2023-01-01 01:21:00;2023-01-01 02:16:00;Machine 5
Job 1;2023-01-01 02:16:00;2023-01-01 03:02:00;Machine 13
Job 1;2023-01-01 03:02:00;2023-01-01 03:21:00;Machine 2
Job 1;2023-01-01 03:21:00;2023-01-01 04:54:00;Machine 9
Job 1;2023-01-01 04:54:00;2023-01-01 06:14:00;Machine 10
Job 1;2023-01-01 06:14:00;2023-01-01 06:40:00;Machine 6
Job 1;2023-01-01 06:40:00;2023-01-01 06:47:00;Machine 11
Job 1;2023-01-01 06:47:00;2023-01-01 07:37:00;Machine 7
Job 1;2023-01-01 07:37:00;2023-01-01 08:34:00;Machine 12
Job 1;2023-01-01 08:34:00;2023-01-01 09:47:00;Machine 4
Job 1;2023-01-01 09:47:00;2023-01-01 09:56:00;Machine 3
Job 1;2023-01-01 09:56:00;2023-01-01 10:57:00;Machine 8
Job 1;2023-01-01 10:57:00;2023-01-01 12:09:00;Machine 14
