Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:54:00;Machine 7
Job 0;2023-01-01 00:54:00;2023-01-01 02:21:00;Machine 1
Job 0;2023-01-01 02:21:00;2023-01-01 03:09:00;Machine 5
Job 0;2023-01-01 03:09:00;2023-01-01 04:09:00;Machine 4
Job 0;2023-01-01 04:09:00;2023-01-01 04:48:00;Machine 8
Job 0;2023-01-01 04:48:00;2023-01-01 05:23:00;Machine 9
Job 0;2023-01-01 05:23:00;2023-01-01 06:35:00;Machine 2
Job 0;2023-01-01 06:35:00;2023-01-01 08:10:00;Machine 6
Job 0;2023-01-01 08:10:00;2023-01-01 09:16:00;Machine 3
Job 0;2023-01-01 09:16:00;2023-01-01 09:21:00;Machine 10
Job 1;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 10
Job 1;2023-01-01 00:20:00;2023-01-01 01:06:00;Machine 10
Job 1;2023-01-01 01:06:00;2023-01-01 01:40:00;Machine 7
Job 1;2023-01-01 01:40:00;2023-01-01 02:35:00;Machine 6
Job 1;2023-01-01 02:35:00;2023-01-01 04:12:00;Machine 1
Job 1;2023-01-01 04:12:00;2023-01-01 04:31:00;Machine 9
Job 1;2023-01-01 04:31:00;2023-01-01 05:30:00;Machine 5
Job 1;2023-01-01 05:30:00;2023-01-01 05:51:00;Machine 3
Job 1;2023-01-01 05:51:00;2023-01-01 06:28:00;Machine 8
Job 1;2023-01-01 06:28:00;2023-01-01 07:14:00;Machine 2
Job 2;2023-01-01 00:00:00;2023-01-01 00:45:00;Machine 5
Job 2;2023-01-01 00:45:00;2023-01-01 01:09:00;Machine 2
Job 2;2023-01-01 01:09:00;2023-01-01 01:37:00;Machine 9
Job 2;2023-01-01 01:37:00;2023-01-01 02:05:00;Machine 1
Job 2;2023-01-01 02:05:00;2023-01-01 03:28:00;Machine 8
Job 2;2023-01-01 03:28:00;2023-01-01 04:46:00;Machine 7
Job 2;2023-01-01 04:46:00;2023-01-01 05:09:00;Machine 6
Job 2;2023-01-01 05:09:00;2023-01-01 05:34:00;Machine 4
Job 2;2023-01-01 05:34:00;2023-01-01 05:39:00;Machine 10
Job 2;2023-01-01 05:39:00;2023-01-01 06:52:00;Machine 3
Job 3;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 2
Job 3;2023-01-01 00:00:00;2023-01-01 00:29:00;Machine 2
Job 3;2023-01-01 00:00:00;2023-01-01 00:29:00;Machine 1
Job 3;2023-01-01 00:12:00;2023-01-01 00:49:00;Machine 2
Job 3;2023-01-01 00:49:00;2023-01-01 01:27:00;Machine 5
Job 3;2023-01-01 01:27:00;2023-01-01 02:38:00;Machine 4
Job 3;2023-01-01 02:38:00;2023-01-01 03:11:00;Machine 9
Job 3;2023-01-01 03:11:00;2023-01-01 03:23:00;Machine 3
Job 3;2023-01-01 03:23:00;2023-01-01 04:18:00;Machine 7
Job 3;2023-01-01 04:18:00;2023-01-01 05:11:00;Machine 1
Job 3;2023-01-01 05:11:00;2023-01-01 06:38:00;Machine 8
Job 4;2023-01-01 00:00:00;2023-01-01 01:23:00;Machine 3
Job 4;2023-01-01 01:23:00;2023-01-01 02:12:00;Machine 3
Job 4;2023-01-01 02:12:00;2023-01-01 02:35:00;Machine 7
Job 4;2023-01-01 02:35:00;2023-01-01 03:02:00;Machine 10
Job 4;2023-01-01 03:02:00;2023-01-01 04:07:00;Machine 8
Job 4;2023-01-01 04:07:00;2023-01-01 04:55:00;Machine 1
Job 4;2023-01-01 04:55:00;2023-01-01 06:25:00;Machine 5
Job 4;2023-01-01 06:25:00;2023-01-01 06:32:00;Machine 6
Job 4;2023-01-01 06:32:00;2023-01-01 07:12:00;Machine 2
Job 4;2023-01-01 07:12:00;2023-01-01 07:29:00;Machine 9
Job 5;2023-01-01 00:00:00;2023-01-01 01:06:00;Machine 2
Job 5;2023-01-01 00:00:00;2023-01-01 00:46:00;Machine 6
