Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 01:12:00;Machine 1
Job 0;2023-01-01 01:12:00;2023-01-01 02:06:00;Machine 2
Job 0;2023-01-01 02:06:00;2023-01-01 02:39:00;Machine 3
Job 0;2023-01-01 02:39:00;2023-01-01 04:05:00;Machine 4
Job 0;2023-01-01 04:05:00;2023-01-01 05:20:00;Machine 5
Job 0;2023-01-01 05:20:00;2023-01-01 05:36:00;Machine 6
Job 0;2023-01-01 05:36:00;2023-01-01 07:12:00;Machine 7
Job 0;2023-01-01 07:12:00;2023-01-01 07:19:00;Machine 8
Job 0;2023-01-01 07:19:00;2023-01-01 08:58:00;Machine 9
Job 0;2023-01-01 08:58:00;2023-01-01 10:14:00;Machine 10
Job 1;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 1
Job 1;2023-01-01 00:16:00;2023-01-01 01:44:00;Machine 4
Job 1;2023-01-01 01:44:00;2023-01-01 02:32:00;Machine 5
Job 1;2023-01-01 02:32:00;2023-01-01 03:24:00;Machine 9
Job 1;2023-01-01 03:24:00;2023-01-01 04:24:00;Machine 10
Job 1;2023-01-01 04:24:00;2023-01-01 04:53:00;Machine 7
Job 1;2023-01-01 04:53:00;2023-01-01 05:11:00;Machine 8
Job 1;2023-01-01 05:11:00;2023-01-01 06:40:00;Machine 6
Job 1;2023-01-01 06:40:00;2023-01-01 08:00:00;Machine 3
Job 1;2023-01-01 08:00:00;2023-01-01 09:16:00;Machine 2
Job 2;2023-01-01 00:00:00;2023-01-01 00:47:00;Machine 1
Job 2;2023-01-01 00:47:00;2023-01-01 00:58:00;Machine 8
Job 2;2023-01-01 00:58:00;2023-01-01 01:12:00;Machine 4
Job 2;2023-01-01 01:12:00;2023-01-01 02:08:00;Machine 3
Job 2;2023-01-01 02:08:00;2023-01-01 02:24:00;Machine 7
Job 2;2023-01-01 02:24:00;2023-01-01 03:47:00;Machine 5
Job 2;2023-01-01 03:47:00;2023-01-01 03:57:00;Machine 2
Job 2;2023-01-01 03:57:00;2023-01-01 04:58:00;Machine 6
Job 2;2023-01-01 04:58:00;2023-01-01 05:22:00;Machine 9
Job 2;2023-01-01 05:22:00;2023-01-01 06:20:00;Machine 10
Job 3;2023-01-01 00:00:00;2023-01-01 00:49:00;Machine 1
Job 3;2023-01-01 00:49:00;2023-01-01 01:20:00;Machine 2
Job 3;2023-01-01 01:20:00;2023-01-01 01:37:00;Machine 4
Job 3;2023-01-01 01:37:00;2023-01-01 02:27:00;Machine 9
Job 3;2023-01-01 02:27:00;2023-01-01 03:30:00;Machine 6
Job 3;2023-01-01 03:30:00;2023-01-01 04:05:00;Machine 3
Job 3;2023-01-01 04:05:00;2023-01-01 05:10:00;Machine 5
Job 3;2023-01-01 05:10:00;2023-01-01 05:33:00;Machine 8
Job 3;2023-01-01 05:33:00;2023-01-01 06:23:00;Machine 7
Job 3;2023-01-01 06:23:00;2023-01-01 06:52:00;Machine 10
Job 4;2023-01-01 00:00:00;2023-01-01 00:55:00;Machine 1
Job 4;2023-01-01 00:55:00;2023-01-01 01:01:00;Machine 7
Job 4;2023-01-01 01:01:00;2023-01-01 01:29:00;Machine 2
Job 4;2023-01-01 01:29:00;2023-01-01 03:05:00;Machine 4
Job 4;2023-01-01 03:05:00;2023-01-01 04:31:00;Machine 6
Job 4;2023-01-01 04:31:00;2023-01-01 06:10:00;Machine 3
Job 4;2023-01-01 06:10:00;2023-01-01 06:24:00;Machine 10
Job 4;2023-01-01 06:24:00;2023-01-01 07:34:00;Machine 8
Job 4;2023-01-01 07:34:00;2023-01-01 08:38:00;Machine 9
