Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 2
Job 0;2023-01-01 00:19:00;2023-01-01 01:23:00;Machine 1
Job 0;2023-01-01 01:23:00;2023-01-01 02:36:00;Machine 3
Job 0;2023-01-01 02:36:00;2023-01-01 02:49:00;Machine 1
Job 0;2023-01-01 02:49:00;2023-01-01 04:13:00;Machine 1
Job 0;2023-01-01 04:13:00;2023-01-01 05:41:00;Machine 9
Job 0;2023-01-01 05:41:00;2023-01-01 07:06:00;Machine 1
Job 0;2023-01-01 07:06:00;2023-01-01 07:47:00;Machine 1
Job 0;2023-01-01 07:47:00;2023-01-01 08:40:00;Machine 2
Job 0;2023-01-01 08:40:00;2023-01-01 10:00:00;Machine 6
Job 0;2023-01-01 10:00:00;2023-01-01 11:06:00;Machine 1
Job 0;2023-01-01 11:06:00;2023-01-01 11:52:00;Machine 3
Job 0;2023-01-01 11:52:00;2023-01-01 12:51:00;Machine 2
Job 0;2023-01-01 12:51:00;2023-01-01 13:16:00;Machine 3
Job 0;2023-01-01 13:16:00;2023-01-01 14:18:00;Machine 1
Job 1;2023-01-01 00:00:00;2023-01-01 01:07:00;Machine 1
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 3
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 4
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 10
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 11
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 12
Job 1;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 14
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 2
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 4
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 7
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 8
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 9
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 11
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 13
Job 1;2023-01-01 00:00:00;2023-01-01 01:24:00;Machine 15
Job 1;2023-01-01 00:00:00;2023-01-01 01:18:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 01:18:00;Machine 7
Job 1;2023-01-01 00:00:00;2023-01-01 01:18:00;Machine 8
Job 1;2023-01-01 00:00:00;2023-01-01 01:18:00;Machine 9
Job 1;2023-01-01 00:00:00;2023-01-01 01:18:00;Machine 10
Job 1;2023-01-01 01:07:00;2023-01-01 02:21:00;Machine 1
Job 1;2023-01-01 02:21:00;2023-01-01 03:02:00;Machine 2
Job 1;2023-01-01 03:02:00;2023-01-01 03:59:00;Machine 3
Job 1;2023-01-01 03:59:00;2023-01-01 04:51:00;Machine 5
Job 1;2023-01-01 04:51:00;2023-01-01 05:05:00;Machine 1
Job 1;2023-01-01 08:51:00;2023-01-01 09:38:00;Machine 1
Job 1;2023-01-01 09:38:00;2023-01-01 10:06:00;Machine 3
Job 1;2023-01-01 10:06:00;2023-01-01 11:30:00;Machine 3
Job 1;2023-01-01 11:30:00;2023-01-01 12:33:00;Machine 1
Job 1;2023-01-01 12:33:00;2023-01-01 12:59:00;Machine 1
Job 1;2023-01-01 12:59:00;2023-01-01 13:45:00;Machine 3
Job 10;2023-01-01 00:00:00;2023-01-01 01:37:00;Machine 12
Job 10;2023-01-01 01:37:00;2023-01-01 02:58:00;Machine 1
Job 10;2023-01-01 02:58:00;2023-01-01 03:56:00;Machine 1
Job 10;2023-01-01 03:56:00;2023-01-01 05:20:00;Machine 1
Job 10;2023-01-01 05:20:00;2023-01-01 06:18:00;Machine 2
Job 10;2023-01-01 06:18:00;2023-01-01 06:27:00;Machine 14
Job 10;2023-01-01 06:27:00;2023-01-01 07:54:00;Machine 2
Job 10;2023-01-01 07:54:00;2023-01-01 07:59:00;Machine 4
Job 10;2023-01-01 07:59:00;2023-01-01 08:43:00;Machine 3
Job 10;2023-01-01 08:43:00;2023-01-01 10:08:00;Machine 6
Job 10;2023-01-01 10:08:00;2023-01-01 11:37:00;Machine 7
Job 10;2023-01-01 11:37:00;2023-01-01 12:54:00;Machine 8
Job 10;2023-01-01 12:54:00;2023-01-01 14:30:00;Machine 9
Job 10;2023-01-01 14:30:00;2023-01-01 15:09:00;Machine 3
Job 10;2023-01-01 15:09:00;2023-01-01 16:26:00;Machine 3
Job 11;2023-01-01 00:00:00;2023-01-01 01:20:00;Machine 13
Job 11;2023-01-01 01:20:00;2023-01-01 01:41:00;Machine 1
Job 11;2023-01-01 01:41:00;2023-01-01 01:51:00;Machine 2
Job 11;2023-01-01 01:51:00;2023-01-01 03:04:00;Machine 1
Job 11;2023-01-01 03:04:00;2023-01-01 04:14:00;Machine 2
Job 11;2023-01-01 04:14:00;2023-01-01 05:03:00;Machine 3
Job 11;2023-01-01 05:03:00;2023-01-01 05:34:00;Machine 3
Job 11;2023-01-01 05:34:00;2023-01-01 06:08:00;Machine 2
Job 11;2023-01-01 06:08:00;2023-01-01 06:48:00;Machine 2
Job 11;2023-01-01 06:48:00;2023-01-01 07:10:00;Machine 6
Job 11;2023-01-01 07:10:00;2023-01-01 07:25:00;Machine 1
Job 11;2023-01-01 07:25:00;2023-01-01 08:47:00;Machine 3
Job 11;2023-01-01 08:47:00;2023-01-01 09:44:00;Machine 1
Job 11;2023-01-01 09:44:00;2023-01-01 10:55:00;Machine 1
Job 11;2023-01-01 10:55:00;2023-01-01 11:43:00;Machine 3
Job 12;2023-01-01 00:00:00;2023-01-01 00:17:00;Machine 15
Job 12;2023-01-01 00:17:00;2023-01-01 01:19:00;Machine 2
Job 12;2023-01-01 01:19:00;2023-01-01 02:34:00;Machine 3
Job 12;2023-01-01 02:34:00;2023-01-01 03:09:00;Machine 1
