Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 01:26:00;2023-01-03 01:26:00;1526.0;2966.0;Machine 1
0;1;2023-01-03 01:26:00;2023-01-05 01:26:00;2966.0;5846.0;Machine 2
0;2;2023-01-06 08:01:00;2023-01-08 08:01:00;7681.0;10561.0;Machine 3
0;3;2023-01-08 08:01:00;2023-01-09 08:01:00;10561.0;12001.0;Machine 4
0;4;2023-01-09 08:01:00;2023-01-10 08:01:00;12001.0;13441.0;Machine 5
1;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 1
1;1;2023-01-02 00:00:00;2023-01-03 00:00:00;1440.0;2880.0;Machine 4
1;2;2023-01-03 00:00:00;2023-01-04 00:00:00;2880.0;4320.0;Machine 3
1;3;2023-01-04 00:00:00;2023-01-05 00:00:00;4320.0;5760.0;Machine 5
1;4;2023-01-05 06:25:00;2023-01-06 06:25:00;6145.0;7585.0;Machine 2
2;0;2023-01-05 12:11:00;2023-01-06 12:11:00;6491.0;7931.0;Machine 1
2;1;2023-01-06 12:11:00;2023-01-08 12:11:00;7931.0;10811.0;Machine 5
2;2;2023-01-08 13:21:00;2023-01-11 13:21:00;10881.0;15201.0;Machine 2
2;3;2023-01-11 13:21:00;2023-01-12 13:21:00;15201.0;16641.0;Machine 3
2;4;2023-01-12 13:21:00;2023-01-13 13:21:00;16641.0;18081.0;Machine 4
3;0;2023-01-06 20:29:00;2023-01-07 20:29:00;8429.0;9869.0;Machine 1
3;1;2023-01-08 15:51:00;2023-01-10 15:51:00;11031.0;13911.0;Machine 3
3;2;2023-01-11 14:55:00;2023-01-13 14:55:00;15295.0;18175.0;Machine 2
3;3;2023-01-13 16:23:00;2023-01-15 16:23:00;18263.0;21143.0;Machine 4
4;0;2023-01-03 05:39:00;2023-01-05 05:39:00;3219.0;6099.0;Machine 1
4;1;2023-01-05 05:39:00;2023-01-06 05:39:00;6099.0;7539.0;Machine 3
4;2;2023-01-06 05:39:00;2023-01-07 05:39:00;7539.0;8979.0;Machine 4
4;3;2023-01-07 05:39:00;2023-01-08 05:39:00;8979.0;10419.0;Machine 2
4;4;2023-01-09 16:01:00;2023-01-10 16:01:00;12481.0;13921.0;Machine 4
