Job;Op;Start;Finish;Start_f;Finish_f;Resource
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0.0;87.0;Machine 1
4;0;2023-01-01 01:40:00;2023-01-01 03:48:00;100.0;228.0;Machine 1
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0.0;65.0;Machine 2
0;0;2023-01-01 01:19:00;2023-01-01 03:22:00;79.0;202.0;Machine 2
0;1;2023-01-01 03:31:00;2023-01-01 05:41:00;211.0;341.0;Machine 2
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0.0;150.0;Machine 3
1;1;2023-01-01 02:42:00;2023-01-01 04:09:00;162.0;249.0;Machine 3
4;1;2023-01-01 04:23:00;2023-01-01 05:49:00;263.0;349.0;Machine 3
2;1;2023-01-01 01:27:00;2023-01-01 03:12:00;87.0;192.0;Machine 4
3;2;2023-01-01 03:58:00;2023-01-01 06:23:00;238.0;383.0;Machine 4
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65.0;238.0;Machine 5
2;2;2023-01-01 04:07:00;2023-01-01 05:47:00;247.0;347.0;Machine 5
0;2;2023-01-01 05:58:00;2023-01-01 08:38:00;358.0;518.0;Machine 5
1;2;2023-01-01 04:09:00;2023-01-01 05:44:00;249.0;344.0;Machine 6
4;2;2023-01-01 05:57:00;2023-01-01 07:22:00;357.0;442.0;Machine 6
