Job;Op;Start;Finish;Start_f;Finish_f;Resource
3;0;2023-01-01 00:00:00.000000000;2023-01-01 04:00:00.000000000;0.0;240.0;Machine 1
22;0;2023-01-01 04:00:00.000000000;2023-01-01 08:00:00.000000000;239.99999999956555;479.99999999956555;Machine 1
38;0;2023-01-01 07:59:59.999999940;2023-01-01 11:59:59.999999940;479.9999999990011;719.9999999990011;Machine 1
8;0;2023-01-01 12:00:00.000000000;2023-01-01 16:00:00.000000000;719.9999999995489;959.9999999995489;Machine 1
17;0;2023-01-01 15:59:59.999999940;2023-01-01 19:59:59.999999940;959.999999998643;1199.999999998643;Machine 1
34;0;2023-01-01 19:59:59.999999880;2023-01-01 23:59:59.999999880;1199.9999999976428;1439.9999999976428;Machine 1
13;0;2023-01-01 23:59:59.999999940;2023-01-02 03:59:59.999999940;1439.9999999990919;1679.9999999990919;Machine 1
52;0;2023-01-02 03:59:59.999999880;2023-01-02 07:59:59.999999880;1679.9999999984088;1919.9999999984088;Machine 1
41;0;2023-01-02 07:59:59.999999880;2023-01-02 11:59:59.999999880;1919.9999999978036;2159.9999999978036;Machine 1
43;0;2023-01-02 11:59:59.999999820;2023-01-02 15:59:59.999999820;2159.999999997329;2399.999999997329;Machine 1
55;0;2023-01-02 15:59:59.999999940;2023-01-02 19:59:59.999999940;2399.9999999985093;2639.9999999985093;Machine 1
5;0;2023-01-02 19:59:59.999999880;2023-01-02 23:59:59.999999880;2639.9999999976135;2879.9999999976135;Machine 1
0;0;2023-01-02 23:59:59.999999880;2023-01-03 03:59:59.999999880;2879.9999999976126;3119.9999999976126;Machine 1
32;0;2023-01-03 03:59:59.999999880;2023-01-03 15:59:59.999999880;3119.9999999975753;3839.9999999975753;Machine 1
19;0;2023-01-03 15:59:59.999999640;2023-01-04 03:59:59.999999640;3839.9999999935444;4559.999999993544;Machine 1
14;0;2023-01-04 03:59:59.999999640;2023-01-04 15:59:59.999999640;4559.99999999351;5279.99999999351;Machine 1
54;0;2023-01-04 15:59:59.999999640;2023-01-05 03:59:59.999999640;5279.999999993523;5999.999999993523;Machine 1
3;3;2023-01-01 08:00:00.000000000;2023-01-01 10:00:00.000000000;480.0;600.0;Machine 10
27;3;2023-01-01 10:59:59.999999940;2023-01-01 14:59:59.999999940;659.999999998965;899.999999998965;Machine 10
38;3;2023-01-01 15:59:59.999999880;2023-01-01 19:59:59.999999880;959.9999999984373;1199.9999999984373;Machine 10
57;3;2023-01-01 19:59:59.999999940;2023-01-01 23:59:59.999999940;1199.9999999993524;1439.9999999993524;Machine 10
6;4;2023-01-01 23:59:59.999999940;2023-01-02 06:59:59.999999940;1439.9999999992724;1859.9999999992724;Machine 10
17;3;2023-01-02 06:59:59.999999940;2023-01-02 10:59:59.999999940;1859.9999999993106;2099.9999999993106;Machine 10
34;3;2023-01-02 10:59:59.999999880;2023-01-02 14:59:59.999999880;2099.9999999981083;2339.9999999981083;Machine 10
50;4;2023-01-02 14:59:59.999999760;2023-01-02 21:59:59.999999760;2339.9999999962047;2759.9999999962047;Machine 10
22;3;2023-01-02 21:59:59.999999760;2023-01-03 01:59:59.999999760;2759.9999999958945;2999.9999999958945;Machine 10
8;3;2023-01-03 01:59:59.999999760;2023-01-03 05:59:59.999999760;2999.999999995715;3239.999999995715;Machine 10
