name;value
C_max;31853.999986355142
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:3];0.0
startT[job:0, stage:1, machine:2];0.0
startT[job:0, stage:1, machine:4];0.0
startT[job:0, stage:1, machine:7];224.99999999994725
startT[job:0, stage:2, machine:4];526.9999999999982
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:0, stage:3, machine:7];0.0
startT[job:0, stage:3, machine:8];676.9999999999968
startT[job:1, stage:0, machine:1];250.99999999999
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:1, machine:2];573.9999992847236
startT[job:1, stage:1, machine:3];0.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];749.9999992528877
startT[job:1, stage:2, machine:7];0.0
startT[job:1, stage:3, machine:5];0.0
startT[job:1, stage:3, machine:8];844.9999992528877
startT[job:10, stage:0, machine:2];241.99999928474048
startT[job:10, stage:0, machine:3];0.0
startT[job:10, stage:1, machine:3];406.99999997503437
startT[job:10, stage:1, machine:4];0.0
startT[job:10, stage:2, machine:5];674.9999993235779
startT[job:10, stage:2, machine:7];0.0
startT[job:10, stage:3, machine:6];859.9999992528877
startT[job:10, stage:3, machine:8];0.0
startT[job:11, stage:0, machine:2];656.9999992847067
startT[job:11, stage:0, machine:3];0.0
startT[job:11, stage:1, machine:3];1013.999999284704
startT[job:11, stage:1, machine:5];0.0
startT[job:11, stage:2, machine:5];1237.9999992847013
startT[job:11, stage:2, machine:6];0.0
startT[job:11, stage:2, machine:7];0.0
startT[job:11, stage:3, machine:5];0.0
startT[job:11, stage:3, machine:8];1382.9999992847006
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:1, machine:3];0.0
startT[job:2, stage:1, machine:4];0.0
startT[job:2, stage:1, machine:7];61.99999952316284
startT[job:2, stage:2, machine:4];0.0
startT[job:2, stage:2, machine:5];206.9999999999991
startT[job:2, stage:2, machine:6];0.0
startT[job:2, stage:3, machine:6];0.0
startT[job:2, stage:3, machine:8];441.0
startT[job:3, stage:0, machine:1];145.99999999999682
startT[job:3, stage:0, machine:2];0.0
startT[job:3, stage:1, machine:3];0.0
startT[job:3, stage:1, machine:5];317.99999932362243
startT[job:3, stage:2, machine:4];694.9999999999982
startT[job:3, stage:2, machine:6];0.0
startT[job:3, stage:3, machine:5];0.0
startT[job:3, stage:3, machine:6];1023.9999992528792
startT[job:4, stage:0, machine:1];0.0
startT[job:4, stage:0, machine:2];0.0
startT[job:4, stage:0, machine:3];0.0
startT[job:4, stage:1, machine:4];0.0
startT[job:4, stage:1, machine:5];127.99999999999727
startT[job:4, stage:1, machine:7];0.0
startT[job:4, stage:2, machine:2];0.0
startT[job:4, stage:2, machine:5];0.0
startT[job:4, stage:2, machine:6];175.0
startT[job:4, stage:3, machine:6];0.0
startT[job:4, stage:3, machine:8];259.9999999999909
startT[job:5, stage:0, machine:2];82.99999999999818
startT[job:5, stage:0, machine:3];0.0
startT[job:5, stage:0, machine:4];0.0
startT[job:5, stage:1, machine:3];266.99999997503846
startT[job:5, stage:1, machine:4];0.0
startT[job:5, stage:1, machine:5];0.0
startT[job:5, stage:2, machine:5];0.0
startT[job:5, stage:2, machine:6];0.0
startT[job:5, stage:2, machine:7];389.99999997503846
startT[job:5, stage:3, machine:4];0.0
startT[job:5, stage:3, machine:7];592.9999999750386
startT[job:6, stage:0, machine:2];0.0
startT[job:6, stage:0, machine:3];111.0
startT[job:6, stage:1, machine:3];794.9999999748754
startT[job:6, stage:1, machine:5];0.0
startT[job:6, stage:2, machine:5];918.9999999748751
startT[job:6, stage:2, machine:6];0.0
startT[job:6, stage:2, machine:7];0.0
startT[job:6, stage:3, machine:5];1076.9999999747124
startT[job:6, stage:3, machine:8];0.0
startT[job:7, stage:0, machine:3];0.0
startT[job:7, stage:0, machine:4];262.0
startT[job:7, stage:1, machine:5];0.0
startT[job:7, stage:1, machine:6];510.9999992529236
startT[job:7, stage:2, machine:5];735.9999993235674
startT[job:7, stage:2, machine:6];0.0
startT[job:7, stage:2, machine:7];0.0
startT[job:7, stage:3, machine:7];901.9999999998411
startT[job:7, stage:3, machine:8];0.0
startT[job:8, stage:0, machine:2];409.99999928473903
startT[job:8, stage:0, machine:3];0.0
startT[job:8, stage:1, machine:3];601.9999999750312
startT[job:8, stage:1, machine:4];0.0
startT[job:8, stage:2, machine:5];0.0
startT[job:8, stage:2, machine:7];832.9999999998411
startT[job:8, stage:3, machine:6];0.0
startT[job:8, stage:3, machine:8];1014.9999992528856
startT[job:9, stage:0, machine:3];0.0
startT[job:9, stage:0, machine:4];0.0
startT[job:9, stage:1, machine:5];0.0
startT[job:9, stage:1, machine:6];270.9999992529883
startT[job:9, stage:2, machine:5];510.99999932357787
startT[job:9, stage:2, machine:6];0.0
startT[job:9, stage:2, machine:7];0.0
startT[job:9, stage:3, machine:7];663.9999999750386
startT[job:9, stage:3, machine:8];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:1|0];1.0
x[machine: 1, job1|stage1:0|0, job2|stage2:2|0];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:3|0];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:4|0];0.0
x[machine: 1, job1|stage1:1|0, job2|stage2:2|0];0.0
