Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 1
Job 0;2023-01-01 00:12:00;2023-01-01 01:46:00;Machine 3
Job 0;2023-01-01 01:46:00;2023-01-01 03:18:00;Machine 4
Job 0;2023-01-01 03:18:00;2023-01-01 04:49:00;Machine 5
Job 0;2023-01-01 04:49:00;2023-01-01 04:56:00;Machine 2
Job 1;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 2
Job 1;2023-01-01 00:19:00;2023-01-01 00:30:00;Machine 4
Job 1;2023-01-01 00:30:00;2023-01-01 01:36:00;Machine 5
Job 1;2023-01-01 01:36:00;2023-01-01 01:57:00;Machine 3
Job 1;2023-01-01 01:57:00;2023-01-01 03:24:00;Machine 1
Job 2;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 2
Job 2;2023-01-01 00:14:00;2023-01-01 01:29:00;Machine 1
Job 2;2023-01-01 01:29:00;2023-01-01 01:42:00;Machine 4
Job 2;2023-01-01 01:42:00;2023-01-01 01:58:00;Machine 5
Job 2;2023-01-01 01:58:00;2023-01-01 02:18:00;Machine 3
Job 3;2023-01-01 00:00:00;2023-01-01 01:35:00;Machine 3
Job 3;2023-01-01 01:35:00;2023-01-01 02:41:00;Machine 5
Job 3;2023-01-01 02:41:00;2023-01-01 02:48:00;Machine 1
Job 3;2023-01-01 02:48:00;2023-01-01 02:55:00;Machine 4
Job 3;2023-01-01 02:55:00;2023-01-01 04:12:00;Machine 2
Job 4;2023-01-01 00:00:00;2023-01-01 00:45:00;Machine 2
Job 4;2023-01-01 00:45:00;2023-01-01 00:51:00;Machine 4
Job 4;2023-01-01 00:51:00;2023-01-01 02:20:00;Machine 5
Job 4;2023-01-01 02:20:00;2023-01-01 02:35:00;Machine 1
Job 4;2023-01-01 02:35:00;2023-01-01 03:09:00;Machine 3
Job 5;2023-01-01 00:00:00;2023-01-01 01:17:00;Machine 4
Job 5;2023-01-01 01:17:00;2023-01-01 01:37:00;Machine 3
Job 5;2023-01-01 01:37:00;2023-01-01 02:53:00;Machine 1
Job 5;2023-01-01 02:53:00;2023-01-01 04:21:00;Machine 5
Job 5;2023-01-01 04:21:00;2023-01-01 05:14:00;Machine 2
Job 6;2023-01-01 00:00:00;2023-01-01 01:14:00;Machine 3
Job 6;2023-01-01 01:14:00;2023-01-01 02:42:00;Machine 2
Job 6;2023-01-01 02:42:00;2023-01-01 03:34:00;Machine 1
Job 6;2023-01-01 03:34:00;2023-01-01 04:01:00;Machine 4
Job 6;2023-01-01 04:01:00;2023-01-01 04:10:00;Machine 5
Job 7;2023-01-01 00:00:00;2023-01-01 01:28:00;Machine 2
Job 7;2023-01-01 01:28:00;2023-01-01 02:37:00;Machine 4
Job 7;2023-01-01 02:37:00;2023-01-01 03:39:00;Machine 1
Job 7;2023-01-01 03:39:00;2023-01-01 05:17:00;Machine 5
Job 7;2023-01-01 05:17:00;2023-01-01 06:09:00;Machine 3
Job 8;2023-01-01 00:00:00;2023-01-01 01:01:00;Machine 3
Job 8;2023-01-01 01:01:00;2023-01-01 01:10:00;Machine 5
Job 8;2023-01-01 01:10:00;2023-01-01 02:12:00;Machine 1
Job 8;2023-01-01 02:12:00;2023-01-01 03:04:00;Machine 2
Job 8;2023-01-01 03:04:00;2023-01-01 04:34:00;Machine 4
Job 9;2023-01-01 00:00:00;2023-01-01 00:54:00;Machine 3
Job 9;2023-01-01 00:54:00;2023-01-01 00:59:00;Machine 5
Job 9;2023-01-01 00:59:00;2023-01-01 01:58:00;Machine 4
Job 9;2023-01-01 01:58:00;2023-01-01 02:13:00;Machine 2
Job 9;2023-01-01 02:13:00;2023-01-01 03:41:00;Machine 1
