Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 1
Job 0;2023-01-01 00:20:00;2023-01-01 01:47:00;Machine 4
Job 0;2023-01-01 01:47:00;2023-01-01 02:18:00;Machine 2
Job 0;2023-01-01 02:18:00;2023-01-01 03:34:00;Machine 5
Job 0;2023-01-01 03:34:00;2023-01-01 03:51:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 00:25:00;Machine 5
Job 1;2023-01-01 00:25:00;2023-01-01 00:57:00;Machine 3
Job 1;2023-01-01 00:57:00;2023-01-01 01:21:00;Machine 1
Job 1;2023-01-01 01:21:00;2023-01-01 01:39:00;Machine 2
Job 1;2023-01-01 01:39:00;2023-01-01 03:00:00;Machine 4
Job 2;2023-01-01 00:00:00;2023-01-01 01:12:00;Machine 2
Job 2;2023-01-01 01:12:00;2023-01-01 01:35:00;Machine 3
Job 2;2023-01-01 01:35:00;2023-01-01 02:03:00;Machine 4
Job 2;2023-01-01 02:03:00;2023-01-01 03:01:00;Machine 1
Job 2;2023-01-01 03:01:00;2023-01-01 04:40:00;Machine 4
Job 3;2023-01-01 00:00:00;2023-01-01 01:26:00;Machine 5
Job 3;2023-01-01 01:26:00;2023-01-01 02:42:00;Machine 2
Job 3;2023-01-01 02:42:00;2023-01-01 04:19:00;Machine 5
Job 3;2023-01-01 04:19:00;2023-01-01 05:04:00;Machine 1
Job 3;2023-01-01 05:04:00;2023-01-01 06:34:00;Machine 4
Job 4;2023-01-01 00:00:00;2023-01-01 00:27:00;Machine 5
Job 4;2023-01-01 00:27:00;2023-01-01 01:09:00;Machine 3
Job 4;2023-01-01 01:09:00;2023-01-01 01:57:00;Machine 4
Job 4;2023-01-01 01:57:00;2023-01-01 02:14:00;Machine 3
Job 4;2023-01-01 02:14:00;2023-01-01 03:00:00;Machine 2
Job 5;2023-01-01 00:00:00;2023-01-01 01:07:00;Machine 2
Job 5;2023-01-01 01:07:00;2023-01-01 02:45:00;Machine 1
Job 5;2023-01-01 02:45:00;2023-01-01 03:33:00;Machine 4
Job 5;2023-01-01 03:33:00;2023-01-01 04:00:00;Machine 4
Job 5;2023-01-01 04:00:00;2023-01-01 05:02:00;Machine 3
Job 6;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 3
Job 6;2023-01-01 00:28:00;2023-01-01 00:40:00;Machine 2
Job 6;2023-01-01 00:40:00;2023-01-01 00:59:00;Machine 4
Job 6;2023-01-01 00:59:00;2023-01-01 02:19:00;Machine 1
Job 6;2023-01-01 02:19:00;2023-01-01 03:09:00;Machine 3
Job 7;2023-01-01 00:00:00;2023-01-01 01:03:00;Machine 2
Job 7;2023-01-01 01:03:00;2023-01-01 02:37:00;Machine 1
Job 7;2023-01-01 02:37:00;2023-01-01 04:15:00;Machine 3
Job 7;2023-01-01 04:15:00;2023-01-01 05:05:00;Machine 4
Job 7;2023-01-01 05:05:00;2023-01-01 06:25:00;Machine 5
Job 8;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 5
Job 8;2023-01-01 00:14:00;2023-01-01 01:29:00;Machine 1
Job 8;2023-01-01 01:29:00;2023-01-01 02:19:00;Machine 3
Job 8;2023-01-01 02:19:00;2023-01-01 03:00:00;Machine 2
Job 8;2023-01-01 03:00:00;2023-01-01 03:55:00;Machine 4
Job 9;2023-01-01 00:00:00;2023-01-01 01:12:00;Machine 5
Job 9;2023-01-01 01:12:00;2023-01-01 01:30:00;Machine 3
Job 9;2023-01-01 01:30:00;2023-01-01 02:07:00;Machine 2
Job 9;2023-01-01 02:07:00;2023-01-01 03:26:00;Machine 4
Job 9;2023-01-01 03:26:00;2023-01-01 04:27:00;Machine 1
