Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:32:00;Machine 1
Job 0;2023-01-01 00:32:00;2023-01-01 00:46:00;Machine 2
Job 0;2023-01-01 00:46:00;2023-01-01 01:01:00;Machine 3
Job 0;2023-01-01 01:01:00;2023-01-01 01:38:00;Machine 4
Job 0;2023-01-01 01:38:00;2023-01-01 01:56:00;Machine 5
Job 0;2023-01-01 01:56:00;2023-01-01 02:39:00;Machine 6
Job 0;2023-01-01 02:39:00;2023-01-01 02:58:00;Machine 7
Job 0;2023-01-01 02:58:00;2023-01-01 03:25:00;Machine 8
Job 0;2023-01-01 03:25:00;2023-01-01 03:53:00;Machine 9
Job 0;2023-01-01 03:53:00;2023-01-01 04:24:00;Machine 10
Job 1;2023-01-01 00:00:00;2023-01-01 00:08:00;Machine 3
Job 1;2023-01-01 00:08:00;2023-01-01 00:20:00;Machine 4
Job 1;2023-01-01 00:20:00;2023-01-01 01:09:00;Machine 5
Job 1;2023-01-01 01:09:00;2023-01-01 01:33:00;Machine 9
Job 1;2023-01-01 01:33:00;2023-01-01 02:25:00;Machine 10
Job 1;2023-01-01 02:25:00;2023-01-01 02:44:00;Machine 7
Job 1;2023-01-01 02:44:00;2023-01-01 03:07:00;Machine 8
Job 1;2023-01-01 03:07:00;2023-01-01 03:26:00;Machine 6
Job 1;2023-01-01 03:26:00;2023-01-01 03:43:00;Machine 3
Job 1;2023-01-01 03:43:00;2023-01-01 04:15:00;Machine 2
Job 2;2023-01-01 00:00:00;2023-01-01 00:25:00;Machine 9
Job 2;2023-01-01 00:25:00;2023-01-01 00:44:00;Machine 8
Job 2;2023-01-01 00:44:00;2023-01-01 01:11:00;Machine 4
Job 2;2023-01-01 01:11:00;2023-01-01 01:56:00;Machine 3
Job 2;2023-01-01 01:56:00;2023-01-01 02:17:00;Machine 7
Job 2;2023-01-01 02:17:00;2023-01-01 02:32:00;Machine 5
Job 2;2023-01-01 02:32:00;2023-01-01 02:45:00;Machine 2
Job 2;2023-01-01 02:45:00;2023-01-01 03:01:00;Machine 6
Job 2;2023-01-01 03:01:00;2023-01-01 03:44:00;Machine 9
Job 2;2023-01-01 03:44:00;2023-01-01 04:03:00;Machine 10
Job 3;2023-01-01 00:00:00;2023-01-01 00:24:00;Machine 10
Job 3;2023-01-01 00:24:00;2023-01-01 00:42:00;Machine 2
Job 3;2023-01-01 00:42:00;2023-01-01 01:23:00;Machine 4
Job 3;2023-01-01 01:23:00;2023-01-01 01:52:00;Machine 9
Job 3;2023-01-01 01:52:00;2023-01-01 02:06:00;Machine 6
Job 3;2023-01-01 02:06:00;2023-01-01 02:23:00;Machine 3
Job 3;2023-01-01 02:23:00;2023-01-01 02:46:00;Machine 5
Job 3;2023-01-01 02:46:00;2023-01-01 03:01:00;Machine 3
Job 3;2023-01-01 03:01:00;2023-01-01 03:19:00;Machine 7
Job 3;2023-01-01 03:19:00;2023-01-01 03:42:00;Machine 10
Job 4;2023-01-01 00:00:00;2023-01-01 00:27:00;Machine 9
Job 4;2023-01-01 00:27:00;2023-01-01 00:56:00;Machine 7
Job 4;2023-01-01 00:56:00;2023-01-01 01:35:00;Machine 2
Job 4;2023-01-01 01:35:00;2023-01-01 01:56:00;Machine 4
Job 4;2023-01-01 01:56:00;2023-01-01 02:11:00;Machine 6
Job 4;2023-01-01 02:11:00;2023-01-01 02:26:00;Machine 3
Job 4;2023-01-01 02:26:00;2023-01-01 02:51:00;Machine 10
Job 4;2023-01-01 02:51:00;2023-01-01 03:17:00;Machine 8
Job 4;2023-01-01 03:17:00;2023-01-01 04:01:00;Machine 9
Job 4;2023-01-01 04:01:00;2023-01-01 04:21:00;Machine 5
Job 5;2023-01-01 00:00:00;2023-01-01 00:17:00;Machine 5
Job 5;2023-01-01 00:17:00;2023-01-01 00:32:00;Machine 1
Job 5;2023-01-01 00:32:00;2023-01-01 01:23:00;Machine 7
Job 5;2023-01-01 01:23:00;2023-01-01 01:40:00;Machine 9
Job 5;2023-01-01 01:40:00;2023-01-01 02:26:00;Machine 3
Job 5;2023-01-01 02:26:00;2023-01-01 02:42:00;Machine 4
Job 5;2023-01-01 02:42:00;2023-01-01 03:15:00;Machine 10
Job 5;2023-01-01 03:15:00;2023-01-01 03:40:00;Machine 8
Job 5;2023-01-01 03:40:00;2023-01-01 04:10:00;Machine 6
Job 5;2023-01-01 04:10:00;2023-01-01 04:35:00;Machine 2
Job 6;2023-01-01 00:00:00;2023-01-01 00:15:00;Machine 3
Job 6;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 2
Job 6;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 3
Job 6;2023-01-01 00:15:00;2023-01-01 00:46:00;Machine 4
Job 6;2023-01-01 00:46:00;2023-01-01 01:11:00;Machine 1
Job 6;2023-01-01 01:11:00;2023-01-01 01:23:00;Machine 10
Job 6;2023-01-01 01:23:00;2023-01-01 01:36:00;Machine 3
Job 6;2023-01-01 01:36:00;2023-01-01 02:27:00;Machine 2
Job 6;2023-01-01 02:46:00;2023-01-01 03:07:00;Machine 8
Job 6;2023-01-01 03:07:00;2023-01-01 03:19:00;Machine 7
Job 6;2023-01-01 03:19:00;2023-01-01 03:45:00;Machine 6
Job 7;2023-01-01 00:00:00;2023-01-01 00:08:00;Machine 5
