Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:21:00;Machine 4
Job 0;2023-01-01 00:21:00;2023-01-01 01:14:00;Machine 1
Job 0;2023-01-01 01:14:00;2023-01-01 02:49:00;Machine 2
Job 0;2023-01-01 02:49:00;2023-01-01 03:44:00;Machine 1
Job 0;2023-01-01 03:44:00;2023-01-01 04:18:00;Machine 1
Job 1;2023-01-01 00:00:00;2023-01-01 00:21:00;Machine 1
Job 1;2023-01-01 00:21:00;2023-01-01 01:13:00;Machine 3
Job 1;2023-01-01 01:13:00;2023-01-01 01:29:00;Machine 2
Job 1;2023-01-01 01:29:00;2023-01-01 01:55:00;Machine 1
Job 1;2023-01-01 01:55:00;2023-01-01 03:06:00;Machine 1
Job 2;2023-01-01 00:00:00;2023-01-01 00:39:00;Machine 4
Job 2;2023-01-01 00:39:00;2023-01-01 02:17:00;Machine 5
Job 2;2023-01-01 02:17:00;2023-01-01 02:59:00;Machine 1
Job 2;2023-01-01 02:59:00;2023-01-01 03:30:00;Machine 1
Job 2;2023-01-01 03:30:00;2023-01-01 03:42:00;Machine 1
Job 3;2023-01-01 00:00:00;2023-01-01 01:17:00;Machine 2
Job 3;2023-01-01 01:17:00;2023-01-01 02:12:00;Machine 1
Job 3;2023-01-01 02:12:00;2023-01-01 03:31:00;Machine 3
Job 3;2023-01-01 03:31:00;2023-01-01 04:37:00;Machine 1
Job 3;2023-01-01 04:37:00;2023-01-01 05:54:00;Machine 4
Job 4;2023-01-01 00:00:00;2023-01-01 01:23:00;Machine 1
Job 4;2023-01-01 01:23:00;2023-01-01 01:57:00;Machine 1
Job 4;2023-01-01 01:57:00;2023-01-01 03:01:00;Machine 3
Job 4;2023-01-01 03:01:00;2023-01-01 03:20:00;Machine 2
Job 4;2023-01-01 03:20:00;2023-01-01 03:57:00;Machine 1
Job 5;2023-01-01 00:00:00;2023-01-01 00:54:00;Machine 4
Job 5;2023-01-01 00:54:00;2023-01-01 01:37:00;Machine 3
Job 5;2023-01-01 01:37:00;2023-01-01 02:56:00;Machine 1
Job 5;2023-01-01 02:56:00;2023-01-01 04:28:00;Machine 1
Job 5;2023-01-01 04:28:00;2023-01-01 05:30:00;Machine 1
Job 6;2023-01-01 00:00:00;2023-01-01 01:09:00;Machine 3
Job 6;2023-01-01 01:09:00;2023-01-01 02:26:00;Machine 1
Job 6;2023-01-01 02:26:00;2023-01-01 03:53:00;Machine 2
Job 6;2023-01-01 03:53:00;2023-01-01 05:20:00;Machine 1
Job 6;2023-01-01 05:20:00;2023-01-01 06:53:00;Machine 1
Job 7;2023-01-01 00:00:00;2023-01-01 00:38:00;Machine 3
Job 7;2023-01-01 00:38:00;2023-01-01 01:38:00;Machine 1
Job 7;2023-01-01 01:38:00;2023-01-01 02:19:00;Machine 1
Job 7;2023-01-01 02:19:00;2023-01-01 02:43:00;Machine 1
Job 7;2023-01-01 02:43:00;2023-01-01 04:06:00;Machine 1
Job 8;2023-01-01 00:00:00;2023-01-01 00:17:00;Machine 5
Job 8;2023-01-01 00:17:00;2023-01-01 01:06:00;Machine 1
Job 8;2023-01-01 01:06:00;2023-01-01 01:31:00;Machine 5
Job 8;2023-01-01 01:31:00;2023-01-01 02:15:00;Machine 1
Job 8;2023-01-01 02:15:00;2023-01-01 03:53:00;Machine 3
Job 9;2023-01-01 00:00:00;2023-01-01 01:17:00;Machine 4
Job 9;2023-01-01 01:17:00;2023-01-01 02:36:00;Machine 4
Job 9;2023-01-01 02:36:00;2023-01-01 03:19:00;Machine 3
Job 9;2023-01-01 03:19:00;2023-01-01 04:34:00;Machine 2
Job 9;2023-01-01 04:34:00;2023-01-01 06:10:00;Machine 1
