Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:30:00;Machine 2
Job 0;2023-01-01 00:00:00;2023-01-01 01:28:00;Machine 8
Job 0;2023-01-01 00:30:00;2023-01-01 01:32:00;Machine 1
Job 0;2023-01-01 01:32:00;2023-01-01 02:02:00;Machine 3
Job 0;2023-01-01 02:02:00;2023-01-01 03:19:00;Machine 4
Job 0;2023-01-01 03:19:00;2023-01-01 03:44:00;Machine 8
Job 0;2023-01-01 03:44:00;2023-01-01 04:48:00;Machine 1
Job 0;2023-01-01 04:48:00;2023-01-01 05:25:00;Machine 2
Job 0;2023-01-01 05:25:00;2023-01-01 05:37:00;Machine 8
Job 0;2023-01-01 05:37:00;2023-01-01 06:33:00;Machine 1
Job 0;2023-01-01 06:33:00;2023-01-01 08:03:00;Machine 2
Job 0;2023-01-01 08:03:00;2023-01-01 08:41:00;Machine 2
Job 0;2023-01-01 08:41:00;2023-01-01 10:10:00;Machine 5
Job 0;2023-01-01 10:10:00;2023-01-01 11:10:00;Machine 8
Job 0;2023-01-01 11:10:00;2023-01-01 11:53:00;Machine 1
Job 1;2023-01-01 00:00:00;2023-01-01 01:11:00;Machine 7
Job 1;2023-01-01 00:00:00;2023-01-01 01:34:00;Machine 2
Job 1;2023-01-01 00:00:00;2023-01-01 01:32:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 01:32:00;Machine 7
Job 1;2023-01-01 01:11:00;2023-01-01 01:40:00;Machine 2
Job 1;2023-01-01 01:40:00;2023-01-01 03:09:00;Machine 8
Job 1;2023-01-01 03:09:00;2023-01-01 03:25:00;Machine 1
Job 1;2023-01-01 03:25:00;2023-01-01 03:47:00;Machine 6
Job 1;2023-01-01 03:47:00;2023-01-01 05:09:00;Machine 4
Job 1;2023-01-01 05:09:00;2023-01-01 05:33:00;Machine 1
Job 1;2023-01-01 05:33:00;2023-01-01 06:48:00;Machine 3
Job 1;2023-01-01 06:48:00;2023-01-01 07:24:00;Machine 4
Job 1;2023-01-01 07:24:00;2023-01-01 08:29:00;Machine 4
Job 1;2023-01-01 08:29:00;2023-01-01 09:18:00;Machine 5
Job 1;2023-01-01 09:18:00;2023-01-01 10:11:00;Machine 6
Job 1;2023-01-01 10:11:00;2023-01-01 10:51:00;Machine 3
Job 1;2023-01-01 10:51:00;2023-01-01 11:36:00;Machine 1
Job 1;2023-01-01 11:36:00;2023-01-01 12:48:00;Machine 5
Job 1;2023-01-01 12:48:00;2023-01-01 14:03:00;Machine 4
Job 1;2023-01-01 14:03:00;2023-01-01 15:20:00;Machine 3
Job 1;2023-01-01 15:20:00;2023-01-01 16:37:00;Machine 1
Job 1;2023-01-01 16:37:00;2023-01-01 17:18:00;Machine 2
Job 10;2023-01-01 00:00:00;2023-01-01 01:00:00;Machine 5
Job 10;2023-01-01 01:00:00;2023-01-01 02:30:00;Machine 4
Job 10;2023-01-01 02:30:00;2023-01-01 03:23:00;Machine 6
Job 10;2023-01-01 03:23:00;2023-01-01 04:42:00;Machine 4
Job 10;2023-01-01 04:42:00;2023-01-01 05:42:00;Machine 7
Job 10;2023-01-01 05:42:00;2023-01-01 06:38:00;Machine 4
Job 10;2023-01-01 06:38:00;2023-01-01 08:05:00;Machine 8
Job 10;2023-01-01 08:05:00;2023-01-01 08:52:00;Machine 7
Job 10;2023-01-01 08:52:00;2023-01-01 10:11:00;Machine 3
Job 10;2023-01-01 10:11:00;2023-01-01 11:14:00;Machine 8
Job 10;2023-01-01 11:14:00;2023-01-01 11:58:00;Machine 1
Job 10;2023-01-01 11:58:00;2023-01-01 13:29:00;Machine 1
Job 10;2023-01-01 13:29:00;2023-01-01 14:51:00;Machine 1
Job 10;2023-01-01 14:51:00;2023-01-01 15:27:00;Machine 6
Job 10;2023-01-01 15:27:00;2023-01-01 16:39:00;Machine 4
Job 10;2023-01-01 16:39:00;2023-01-01 16:53:00;Machine 7
Job 10;2023-01-01 16:53:00;2023-01-01 17:45:00;Machine 3
Job 10;2023-01-01 17:45:00;2023-01-01 18:00:00;Machine 7
Job 10;2023-01-01 18:00:00;2023-01-01 19:00:00;Machine 1
Job 11;2023-01-01 00:00:00;2023-01-01 00:22:00;Machine 8
Job 11;2023-01-01 00:22:00;2023-01-01 01:46:00;Machine 8
Job 11;2023-01-01 01:46:00;2023-01-01 02:09:00;Machine 2
Job 11;2023-01-01 02:09:00;2023-01-01 03:32:00;Machine 2
Job 11;2023-01-01 03:32:00;2023-01-01 04:20:00;Machine 8
Job 11;2023-01-01 04:20:00;2023-01-01 05:09:00;Machine 4
Job 11;2023-01-01 05:09:00;2023-01-01 06:06:00;Machine 5
Job 11;2023-01-01 06:06:00;2023-01-01 06:26:00;Machine 6
Job 11;2023-01-01 06:26:00;2023-01-01 07:30:00;Machine 7
Job 11;2023-01-01 07:30:00;2023-01-01 08:41:00;Machine 7
Job 11;2023-01-01 08:41:00;2023-01-01 09:27:00;Machine 2
Job 11;2023-01-01 09:27:00;2023-01-01 10:11:00;Machine 3
Job 11;2023-01-01 10:11:00;2023-01-01 10:53:00;Machine 4
Job 11;2023-01-01 10:53:00;2023-01-01 11:10:00;Machine 1
Job 11;2023-01-01 11:10:00;2023-01-01 12:25:00;Machine 4
Job 11;2023-01-01 12:25:00;2023-01-01 12:41:00;Machine 6
Job 11;2023-01-01 12:41:00;2023-01-01 14:18:00;Machine 4
Job 11;2023-01-01 14:18:00;2023-01-01 14:47:00;Machine 4
Job 11;2023-01-01 14:47:00;2023-01-01 16:07:00;Machine 7
Job 11;2023-01-01 16:07:00;2023-01-01 16:45:00;Machine 6
Job 11;2023-01-01 16:45:00;2023-01-01 17:23:00;Machine 3
Job 12;2023-01-01 00:00:00;2023-01-01 00:40:00;Machine 5
Job 12;2023-01-01 00:40:00;2023-01-01 01:27:00;Machine 6
Job 12;2023-01-01 01:27:00;2023-01-01 02:25:00;Machine 1
Job 12;2023-01-01 02:25:00;2023-01-01 03:17:00;Machine 6
Job 12;2023-01-01 03:17:00;2023-01-01 03:46:00;Machine 2
Job 12;2023-01-01 03:46:00;2023-01-01 05:14:00;Machine 2
Job 12;2023-01-01 05:14:00;2023-01-01 06:39:00;Machine 7
Job 12;2023-01-01 06:39:00;2023-01-01 07:22:00;Machine 7
Job 12;2023-01-01 07:22:00;2023-01-01 08:20:00;Machine 2
Job 12;2023-01-01 08:20:00;2023-01-01 09:44:00;Machine 6
Job 12;2023-01-01 09:44:00;2023-01-01 11:18:00;Machine 7
Job 12;2023-01-01 11:18:00;2023-01-01 12:40:00;Machine 2
Job 12;2023-01-01 12:40:00;2023-01-01 14:06:00;Machine 5
Job 12;2023-01-01 14:06:00;2023-01-01 14:59:00;Machine 1
Job 12;2023-01-01 14:59:00;2023-01-01 15:13:00;Machine 8
Job 12;2023-01-01 15:13:00;2023-01-01 16:40:00;Machine 1
Job 13;2023-01-01 00:00:00;2023-01-01 01:04:00;Machine 4
Job 13;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 6
Job 13;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 6
Job 13;2023-01-01 01:04:00;2023-01-01 02:15:00;Machine 1
Job 13;2023-01-01 02:15:00;2023-01-01 03:46:00;Machine 2
Job 13;2023-01-01 03:46:00;2023-01-01 04:27:00;Machine 8
Job 13;2023-01-01 04:27:00;2023-01-01 05:15:00;Machine 2
Job 13;2023-01-01 05:15:00;2023-01-01 06:17:00;Machine 8
Job 13;2023-01-01 06:40:00;2023-01-01 08:06:00;Machine 5
Job 13;2023-01-01 08:22:00;2023-01-01 08:35:00;Machine 8
Job 13;2023-01-01 08:35:00;2023-01-01 09:41:00;Machine 4
Job 13;2023-01-01 09:41:00;2023-01-01 10:41:00;Machine 1
Job 13;2023-01-01 10:41:00;2023-01-01 11:19:00;Machine 1
Job 13;2023-01-01 11:19:00;2023-01-01 12:23:00;Machine 3
Job 13;2023-01-01 12:23:00;2023-01-01 13:36:00;Machine 3
Job 13;2023-01-01 13:36:00;2023-01-01 14:27:00;Machine 5
Job 14;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 7
Job 14;2023-01-01 00:23:00;2023-01-01 01:10:00;Machine 4
Job 14;2023-01-01 01:10:00;2023-01-01 02:19:00;Machine 5
Job 14;2023-01-01 02:19:00;2023-01-01 02:44:00;Machine 2
Job 14;2023-01-01 02:44:00;2023-01-01 03:21:00;Machine 5
Job 14;2023-01-01 03:21:00;2023-01-01 03:36:00;Machine 3
Job 14;2023-01-01 03:36:00;2023-01-01 04:21:00;Machine 5
Job 14;2023-01-01 04:21:00;2023-01-01 04:43:00;Machine 4
Job 14;2023-01-01 04:43:00;2023-01-01 05:49:00;Machine 4
Job 14;2023-01-01 05:49:00;2023-01-01 06:22:00;Machine 7
Job 14;2023-01-01 06:22:00;2023-01-01 07:50:00;Machine 3
Job 14;2023-01-01 07:50:00;2023-01-01 08:07:00;Machine 2
Job 14;2023-01-01 08:07:00;2023-01-01 09:00:00;Machine 5
Job 14;2023-01-01 09:00:00;2023-01-01 09:54:00;Machine 1
Job 14;2023-01-01 09:54:00;2023-01-01 11:12:00;Machine 2
Job 14;2023-01-01 11:12:00;2023-01-01 12:30:00;Machine 1
Job 14;2023-01-01 12:30:00;2023-01-01 13:44:00;Machine 2
Job 14;2023-01-01 13:44:00;2023-01-01 15:09:00;Machine 1
Job 14;2023-01-01 15:09:00;2023-01-01 15:45:00;Machine 5
Job 14;2023-01-01 15:45:00;2023-01-01 16:43:00;Machine 1
Job 14;2023-01-01 16:43:00;2023-01-01 17:08:00;Machine 6
Job 14;2023-01-01 17:08:00;2023-01-01 17:56:00;Machine 1
Job 14;2023-01-01 17:56:00;2023-01-01 18:30:00;Machine 3
Job 14;2023-01-01 18:30:00;2023-01-01 19:12:00;Machine 5
Job 14;2023-01-01 19:12:00;2023-01-01 19:44:00;Machine 1
Job 2;2023-01-01 00:00:00;2023-01-01 01:09:00;Machine 8
Job 2;2023-01-01 00:00:00;2023-01-01 00:55:00;Machine 3
Job 2;2023-01-01 01:09:00;2023-01-01 01:35:00;Machine 8
Job 2;2023-01-01 01:35:00;2023-01-01 02:59:00;Machine 6
Job 2;2023-01-01 02:59:00;2023-01-01 04:05:00;Machine 8
Job 2;2023-01-01 04:05:00;2023-01-01 04:47:00;Machine 2
Job 2;2023-01-01 04:47:00;2023-01-01 05:47:00;Machine 4
Job 2;2023-01-01 05:47:00;2023-01-01 06:42:00;Machine 2
Job 2;2023-01-01 06:42:00;2023-01-01 07:15:00;Machine 4
Job 2;2023-01-01 07:15:00;2023-01-01 08:46:00;Machine 8
Job 2;2023-01-01 08:46:00;2023-01-01 09:21:00;Machine 3
