Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 1
Job 0;2023-01-01 00:01:00;2023-01-01 00:02:00;Machine 2
Job 0;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 4
Job 1;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 1
Job 1;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 4
Job 1;2023-01-01 00:03:00;2023-01-01 00:05:00;Machine 10
Job 2;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 10
Job 2;2023-01-01 00:01:00;2023-01-01 00:02:00;Machine 4
Job 2;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 7
Job 3;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 9
Job 3;2023-01-01 00:01:00;2023-01-01 00:03:00;Machine 2
Job 3;2023-01-01 00:03:00;2023-01-01 00:04:00;Machine 4
Job 4;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 9
Job 4;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 9
Job 4;2023-01-01 00:03:00;2023-01-01 00:04:00;Machine 4
Job 5;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 6
Job 5;2023-01-01 00:02:00;2023-01-01 00:04:00;Machine 9
Job 5;2023-01-01 00:04:00;2023-01-01 00:05:00;Machine 9
Job 6;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 1
Job 6;2023-01-01 00:01:00;2023-01-01 00:02:00;Machine 3
Job 6;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 6
Job 7;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 5
Job 7;2023-01-01 00:02:00;2023-01-01 00:05:00;Machine 2
Job 7;2023-01-01 00:05:00;2023-01-01 00:07:00;Machine 2
Job 8;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 3
Job 8;2023-01-01 00:01:00;2023-01-01 00:02:00;Machine 7
Job 8;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 6
Job 9;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 3
Job 9;2023-01-01 00:01:00;2023-01-01 00:02:00;Machine 2
Job 9;2023-01-01 00:02:00;2023-01-01 00:04:00;Machine 7
