Task;Start;Finish;Resource
Job 0;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 3
Job 0;2023-01-01 00:01:00;2023-01-01 00:04:00;Machine 1
Job 0;2023-01-01 00:04:00;2023-01-01 00:10:00;Machine 2
Job 0;2023-01-01 00:10:00;2023-01-01 00:17:00;Machine 4
Job 0;2023-01-01 00:17:00;2023-01-01 00:20:00;Machine 6
Job 0;2023-01-01 00:20:00;2023-01-01 00:26:00;Machine 5
Job 1;2023-01-01 00:00:00;2023-01-01 00:08:00;Machine 2
Job 1;2023-01-01 00:08:00;2023-01-01 00:13:00;Machine 3
Job 1;2023-01-01 00:13:00;2023-01-01 00:23:00;Machine 5
Job 1;2023-01-01 00:23:00;2023-01-01 00:33:00;Machine 6
Job 1;2023-01-01 00:33:00;2023-01-01 00:43:00;Machine 1
Job 1;2023-01-01 00:43:00;2023-01-01 00:47:00;Machine 4
Job 2;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 3
Job 2;2023-01-01 00:05:00;2023-01-01 00:09:00;Machine 4
Job 2;2023-01-01 00:09:00;2023-01-01 00:17:00;Machine 6
Job 2;2023-01-01 00:17:00;2023-01-01 00:26:00;Machine 1
Job 2;2023-01-01 00:26:00;2023-01-01 00:27:00;Machine 2
Job 2;2023-01-01 00:27:00;2023-01-01 00:34:00;Machine 5
Job 3;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 2
Job 3;2023-01-01 00:05:00;2023-01-01 00:10:00;Machine 1
Job 3;2023-01-01 00:10:00;2023-01-01 00:15:00;Machine 3
Job 3;2023-01-01 00:15:00;2023-01-01 00:18:00;Machine 4
Job 3;2023-01-01 00:18:00;2023-01-01 00:26:00;Machine 5
Job 3;2023-01-01 00:26:00;2023-01-01 00:35:00;Machine 6
Job 4;2023-01-01 00:00:00;2023-01-01 00:09:00;Machine 3
Job 4;2023-01-01 00:09:00;2023-01-01 00:12:00;Machine 2
Job 4;2023-01-01 00:12:00;2023-01-01 00:17:00;Machine 5
Job 4;2023-01-01 00:17:00;2023-01-01 00:21:00;Machine 6
Job 4;2023-01-01 00:21:00;2023-01-01 00:24:00;Machine 1
Job 4;2023-01-01 00:24:00;2023-01-01 00:25:00;Machine 4
Job 5;2023-01-01 00:00:00;2023-01-01 00:03:00;Machine 2
Job 5;2023-01-01 00:03:00;2023-01-01 00:06:00;Machine 4
Job 5;2023-01-01 00:06:00;2023-01-01 00:15:00;Machine 6
Job 5;2023-01-01 00:15:00;2023-01-01 00:25:00;Machine 1
Job 5;2023-01-01 00:25:00;2023-01-01 00:29:00;Machine 5
Job 5;2023-01-01 00:29:00;2023-01-01 00:30:00;Machine 3
