;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0;1440;Machine 01
5;1;0;2023-01-02 00:19:00;2023-01-03 00:19:00;1459;2899;Machine 01
10;2;0;2023-01-05 01:05:00;2023-01-06 01:05:00;5825;7265;Machine 01
15;3;0;2023-01-06 01:24:00;2023-01-07 01:24:00;7284;8724;Machine 01
19;4;0;2023-01-03 00:55:00;2023-01-05 00:55:00;2935;5815;Machine 01
1;0;1;2023-01-02 00:00:00;2023-01-04 00:00:00;1440;4320;Machine 02
9;1;4;2023-01-12 01:57:00;2023-01-13 01:57:00;15957;17397;Machine 02
12;2;2;2023-01-08 01:27:00;2023-01-11 01:27:00;10167;14487;Machine 02
17;3;2;2023-01-13 02:16:00;2023-01-15 02:16:00;17416;20296;Machine 02
22;4;3;2023-01-11 01:38:00;2023-01-12 01:38:00;14498;15938;Machine 02
2;0;2;2023-01-04 00:00:00;2023-01-06 00:00:00;4320;7200;Machine 03
7;1;2;2023-01-06 00:18:00;2023-01-07 00:18:00;7218;8658;Machine 03
13;2;3;2023-01-11 01:37:00;2023-01-12 01:37:00;14497;15937;Machine 03
16;3;1;2023-01-08 00:59:00;2023-01-10 00:59:00;10139;13019;Machine 03
20;4;1;2023-01-07 00:30:00;2023-01-08 00:30:00;8670;10110;Machine 03
3;0;3;2023-01-06 00:14:00;2023-01-07 00:14:00;7214;8654;Machine 04
6;1;1;2023-01-03 00:19:00;2023-01-04 00:19:00;2899;4339;Machine 04
14;2;4;2023-01-12 02:14:00;2023-01-13 02:14:00;15974;17414;Machine 04
18;3;3;2023-01-15 02:23:00;2023-01-17 02:23:00;20303;23183;Machine 04
21;4;2;2023-01-08 00:59:00;2023-01-09 00:59:00;10139;11579;Machine 04
23;4;4;2023-01-13 02:51:00;2023-01-14 02:51:00;17451;18891;Machine 04
4;0;4;2023-01-08 01:22:00;2023-01-09 01:22:00;10162;11602;Machine 05
8;1;3;2023-01-09 01:56:00;2023-01-10 01:56:00;11636;13076;Machine 05
11;2;1;2023-01-06 01:05:00;2023-01-08 01:05:00;7265;10145;Machine 05
