;Job;Op;Start;Finish;Start_f;Finish_f;Resource
3;1;0;2023-01-01 02:25:00;2023-01-01 05:59:00;145;359;Machine 01
12;4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0;128;Machine 01
0;0;0;2023-01-01 02:36:00;2023-01-01 06:19:00;156;379;Machine 02
1;0;1;2023-01-01 06:39:00;2023-01-01 08:49:00;399;529;Machine 02
6;2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;0;62;Machine 02
9;3;0;2023-01-01 01:14:00;2023-01-01 02:19:00;74;139;Machine 02
10;3;1;2023-01-01 02:51:00;2023-01-01 07:01:00;171;421;Machine 03
18;6;0;2023-01-01 00:09:00;2023-01-01 02:34:00;9;154;Machine 03
2;0;2;2023-01-01 09:02:00;2023-01-01 11:32:00;542;692;Machine 04
4;1;1;2023-01-01 06:09:00;2023-01-01 07:48:00;369;468;Machine 04
15;5;0;2023-01-01 00:08:00;2023-01-01 02:42:00;8;162;Machine 04
16;5;1;2023-01-01 02:55:00;2023-01-01 05:25:00;175;325;Machine 04
5;1;2;2023-01-01 08:41:00;2023-01-01 11:39:00;521;699;Machine 05
13;4;1;2023-01-01 02:08:00;2023-01-01 02:55:00;128;175;Machine 05
19;6;1;2023-01-01 03:09:00;2023-01-01 05:43:00;189;343;Machine 05
20;6;2;2023-01-01 06:02:00;2023-01-01 08:27:00;362;507;Machine 05
8;2;2;2023-01-01 04:41:00;2023-01-01 07:14:00;281;434;Machine 06
11;3;2;2023-01-01 07:32:00;2023-01-01 09:48:00;452;588;Machine 06
14;4;2;2023-01-01 02:55:00;2023-01-01 04:20:00;175;260;Machine 06
7;2;1;2023-01-01 01:02:00;2023-01-01 03:27:00;62;207;Machine 07
17;5;2;2023-01-01 05:39:00;2023-01-01 08:39:00;339;519;Machine 07
