Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:11:00;2023-01-01 00:14:00;11.0;14.0;Machine 03
0;1;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 04
0;2;2023-01-01 00:07:00;2023-01-01 00:09:00;7.0;9.0;Machine 02
1;0;2023-01-01 00:20:00;2023-01-01 00:24:00;20.0;24.0;Machine 03
1;1;2023-01-01 00:15:00;2023-01-01 00:19:00;15.0;19.0;Machine 01
1;2;2023-01-01 00:07:00;2023-01-01 00:09:00;7.0;9.0;Machine 01
2;0;2023-01-01 00:13:00;2023-01-01 00:16:00;13.0;16.0;Machine 02
2;1;2023-01-01 00:07:00;2023-01-01 00:10:00;7.0;10.0;Machine 04
2;2;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 02
3;0;2023-01-01 00:07:00;2023-01-01 00:09:00;7.0;9.0;Machine 05
3;1;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 00
3;2;2023-01-01 00:02:00;2023-01-01 00:05:00;2.0;5.0;Machine 06
4;0;2023-01-01 00:15:00;2023-01-01 00:18:00;15.0;18.0;Machine 04
4;1;2023-01-01 00:11:00;2023-01-01 00:15:00;11.0;15.0;Machine 05
4;2;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 06
5;0;2023-01-01 00:20:00;2023-01-01 00:23:00;20.0;23.0;Machine 06
5;1;2023-01-01 00:17:00;2023-01-01 00:20:00;17.0;20.0;Machine 00
5;2;2023-01-01 00:09:00;2023-01-01 00:13:00;9.0;13.0;Machine 00
6;0;2023-01-01 00:04:00;2023-01-01 00:08:00;4.0;8.0;Machine 03
6;1;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 05
6;2;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 01
