Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:36:00;2023-01-01 00:39:00;36.0;39.0;Machine 03
0;1;2023-01-01 00:34:00;2023-01-01 00:36:00;34.0;36.0;Machine 02
0;2;2023-01-01 00:31:00;2023-01-01 00:33:00;31.0;33.0;Machine 06
0;3;2023-01-01 00:29:00;2023-01-01 00:31:00;29.0;31.0;Machine 04
1;0;2023-01-01 00:13:00;2023-01-01 00:15:00;13.0;15.0;Machine 01
1;1;2023-01-01 00:10:00;2023-01-01 00:13:00;10.0;13.0;Machine 02
1;2;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 02
1;3;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 04
2;0;2023-01-01 00:21:00;2023-01-01 00:26:00;21.0;26.0;Machine 00
2;1;2023-01-01 00:18:00;2023-01-01 00:21:00;18.0;21.0;Machine 05
2;2;2023-01-01 00:15:00;2023-01-01 00:17:00;15.0;17.0;Machine 04
2;3;2023-01-01 00:10:00;2023-01-01 00:14:00;10.0;14.0;Machine 06
3;0;2023-01-01 00:26:00;2023-01-01 00:28:00;26.0;28.0;Machine 05
3;1;2023-01-01 00:22:00;2023-01-01 00:25:00;22.0;25.0;Machine 04
3;2;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 06
3;3;2023-01-01 00:01:00;2023-01-01 00:04:00;1.0;4.0;Machine 00
4;0;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 03
4;1;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 06
4;2;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 03
4;3;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 05
5;0;2023-01-01 00:41:00;2023-01-01 00:43:00;41.0;43.0;Machine 00
5;1;2023-01-01 00:38:00;2023-01-01 00:41:00;38.0;41.0;Machine 01
5;2;2023-01-01 00:37:00;2023-01-01 00:41:00;37.0;41.0;Machine 06
5;3;2023-01-01 00:34:00;2023-01-01 00:39:00;34.0;39.0;Machine 05
6;0;2023-01-01 00:15:00;2023-01-01 00:17:00;15.0;17.0;Machine 02
6;1;2023-01-01 00:12:00;2023-01-01 00:15:00;12.0;15.0;Machine 00
6;2;2023-01-01 00:09:00;2023-01-01 00:12:00;9.0;12.0;Machine 05
6;3;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 04
7;0;2023-01-01 00:24:00;2023-01-01 00:28:00;24.0;28.0;Machine 01
7;1;2023-01-01 00:21:00;2023-01-01 00:24:00;21.0;24.0;Machine 02
7;2;2023-01-01 00:20:00;2023-01-01 00:24:00;20.0;24.0;Machine 03
7;3;2023-01-01 00:01:00;2023-01-01 00:05:00;1.0;5.0;Machine 01
