Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:21:00;2023-01-01 00:23:00;21.0;23.0;Machine 07
0;1;2023-01-01 00:19:00;2023-01-01 00:21:00;19.0;21.0;Machine 00
0;2;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 07
0;3;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 02
1;0;2023-01-01 00:37:00;2023-01-01 00:39:00;37.0;39.0;Machine 04
1;1;2023-01-01 00:26:00;2023-01-01 00:29:00;26.0;29.0;Machine 00
1;2;2023-01-01 00:35:00;2023-01-01 00:37:00;35.0;37.0;Machine 05
1;3;2023-01-01 00:31:00;2023-01-01 00:35:00;31.0;35.0;Machine 02
2;0;2023-01-01 00:28:00;2023-01-01 00:31:00;28.0;31.0;Machine 05
2;1;2023-01-01 00:16:00;2023-01-01 00:19:00;16.0;19.0;Machine 04
2;2;2023-01-01 00:21:00;2023-01-01 00:23:00;21.0;23.0;Machine 02
2;3;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 05
3;0;2023-01-01 00:10:00;2023-01-01 00:13:00;10.0;13.0;Machine 03
3;1;2023-01-01 00:07:00;2023-01-01 00:10:00;7.0;10.0;Machine 04
3;2;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 04
3;3;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 00
4;0;2023-01-01 00:13:00;2023-01-01 00:17:00;13.0;17.0;Machine 06
4;1;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 03
4;2;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 01
4;3;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 07
5;0;2023-01-01 00:25:00;2023-01-01 00:27:00;25.0;27.0;Machine 04
5;1;2023-01-01 00:21:00;2023-01-01 00:25:00;21.0;25.0;Machine 01
5;2;2023-01-01 00:12:00;2023-01-01 00:16:00;12.0;16.0;Machine 00
5;3;2023-01-01 00:17:00;2023-01-01 00:19:00;17.0;19.0;Machine 03
6;0;2023-01-01 00:40:00;2023-01-01 00:42:00;40.0;42.0;Machine 02
6;1;2023-01-01 00:35:00;2023-01-01 00:40:00;35.0;40.0;Machine 00
6;2;2023-01-01 00:32:00;2023-01-01 00:36:00;32.0;36.0;Machine 06
6;3;2023-01-01 00:01:00;2023-01-01 00:05:00;1.0;5.0;Machine 06
7;0;2023-01-01 00:49:00;2023-01-01 00:51:00;49.0;51.0;Machine 03
7;1;2023-01-01 00:46:00;2023-01-01 00:49:00;46.0;49.0;Machine 06
7;2;2023-01-01 00:29:00;2023-01-01 00:34:00;29.0;34.0;Machine 01
7;3;2023-01-01 00:44:00;2023-01-01 00:46:00;44.0;46.0;Machine 01
8;0;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 05
8;1;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 00
8;2;2023-01-01 00:05:00;2023-01-01 00:09:00;5.0;9.0;Machine 01
8;3;2023-01-01 00:09:00;2023-01-01 00:11:00;9.0;11.0;Machine 06
9;0;2023-01-01 00:31:00;2023-01-01 00:35:00;31.0;35.0;Machine 07
9;1;2023-01-01 00:26:00;2023-01-01 00:28:00;26.0;28.0;Machine 07
9;2;2023-01-01 00:21:00;2023-01-01 00:24:00;21.0;24.0;Machine 03
9;3;2023-01-01 00:23:00;2023-01-01 00:25:00;23.0;25.0;Machine 06
10;0;2023-01-01 00:30:00;2023-01-01 00:32:00;30.0;32.0;Machine 03
10;1;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 02
10;2;2023-01-01 00:13:00;2023-01-01 00:16:00;13.0;16.0;Machine 01
10;3;2023-01-01 00:15:00;2023-01-01 00:19:00;15.0;19.0;Machine 05
