name;value
C100;1.0
C101;1.0
C102;1.0
Z_FO;92.0
s[0,0,1];53.0
s[0,1,1];14.0
s[0,2,0];1.0
s[1,0,1];6.0
s[1,1,2];3.0
s[1,2,1];0.0
s[2,0,1];45.0
s[2,1,1];22.0
s[2,2,1];35.0
x[0,0,0,0];0.0
x[0,0,0,1];1.0
x[0,0,0,2];0.0
x[0,0,1,0];1.0
x[0,0,1,1];0.0
x[0,0,1,2];1.0
x[0,0,2,0];1.0
x[0,0,2,1];1.0
x[0,0,2,2];1.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,1,0];1.0
x[0,1,1,1];0.0
x[0,1,1,2];1.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];0.0
x[0,2,0,0];0.0
x[0,2,0,1];0.0
x[0,2,0,2];0.0
x[0,2,1,0];0.0
x[0,2,1,1];0.0
x[0,2,1,2];0.0
x[0,2,2,0];0.0
x[0,2,2,1];0.0
x[0,2,2,2];0.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,0,2];0.0
x[1,0,1,0];0.0
x[1,0,1,1];0.0
x[1,0,1,2];1.0
x[1,0,2,0];0.0
x[1,0,2,1];0.0
x[1,0,2,2];0.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,0,2];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,1,2];0.0
x[1,1,2,0];0.0
x[1,1,2,1];0.0
x[1,1,2,2];0.0
x[1,2,0,0];0.0
x[1,2,0,1];0.0
x[1,2,0,2];0.0
x[1,2,1,0];0.0
x[1,2,1,1];0.0
x[1,2,1,2];0.0
x[1,2,2,0];0.0
x[1,2,2,1];0.0
x[1,2,2,2];0.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,0,2];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,1,2];0.0
x[2,0,2,0];0.0
x[2,0,2,1];1.0
x[2,0,2,2];1.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,0,2];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,1,2];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
x[2,1,2,2];0.0
x[2,2,0,0];0.0
x[2,2,0,1];0.0
x[2,2,0,2];0.0
x[2,2,1,0];0.0
x[2,2,1,1];0.0
x[2,2,1,2];0.0
x[2,2,2,0];0.0
x[2,2,2,1];1.0
x[2,2,2,2];0.0
y[0,0,1];1.0
y[0,1,1];1.0
y[0,2,0];1.0
y[1,0,1];1.0
y[1,1,2];1.0
y[1,2,1];1.0
y[2,0,1];1.0
y[2,1,1];1.0
y[2,2,1];1.0
