name;value
Z_FO;231.0
s[0,0,3];0.0
s[0,0,6];10.0
s[0,0,7];0.0
s[0,1,0];0.0
s[0,1,2];0.0
s[0,1,4];0.0
s[0,2,2];5.0
s[0,2,3];0.0
s[0,2,7];0.0
s[0,3,2];0.0
s[0,3,4];3.0
s[0,3,7];0.0
s[1,0,1];22.0
s[1,0,3];0.0
s[1,0,4];0.0
s[1,1,0];18.0
s[1,1,1];0.0
s[1,1,4];0.0
s[1,2,4];16.0
s[1,2,5];0.0
s[1,2,7];0.0
s[1,3,0];0.0
s[1,3,2];12.0
s[1,3,7];0.0
s[2,0,1];18.0
s[2,0,5];0.0
s[2,0,6];0.0
s[2,1,3];16.0
s[2,1,4];0.0
s[2,1,5];0.0
s[2,2,1];11.0
s[2,2,2];0.0
s[2,2,3];0.0
s[2,3,4];0.0
s[2,3,5];9.0
s[2,3,7];0.0
s[3,0,3];0.0
s[3,0,4];0.0
s[3,0,7];19.0
s[3,1,4];0.0
s[3,1,6];0.0
s[3,1,7];15.0
s[3,2,0];0.0
s[3,2,4];0.0
s[3,2,7];6.0
s[3,3,0];0.0
s[3,3,5];0.0
s[3,3,7];0.0
s[4,0,5];0.0
s[4,0,6];0.0
s[4,0,7];32.0
s[4,1,0];0.0
s[4,1,3];0.0
s[4,1,4];22.0
s[4,2,1];1.0
s[4,2,5];0.0
s[4,2,7];0.0
s[4,3,0];0.0
s[4,3,5];15.0
s[4,3,7];0.0
s[5,0,1];0.0
s[5,0,3];35.0
s[5,0,4];0.0
s[5,1,1];0.0
s[5,1,3];0.0
s[5,1,6];31.0
s[5,2,0];0.0
s[5,2,6];0.0
s[5,2,7];25.0
s[5,3,3];0.0
s[5,3,4];0.0
s[5,3,5];27.0
s[6,0,1];0.0
s[6,0,2];27.0
s[6,0,4];0.0
s[6,1,0];0.0
s[6,1,4];7.0
s[6,1,5];0.0
s[6,2,4];0.0
s[6,2,5];0.0
s[6,2,6];23.0
s[6,3,3];7.0
s[6,3,4];0.0
s[6,3,6];0.0
s[7,0,0];38.0
s[7,0,3];0.0
s[7,0,4];0.0
s[7,1,2];0.0
s[7,1,4];34.0
s[7,1,6];0.0
s[7,2,1];33.0
s[7,2,2];0.0
s[7,2,3];0.0
s[7,3,1];0.0
s[7,3,3];28.0
s[7,3,6];0.0
s[8,0,0];7.0
s[8,0,4];0.0
s[8,0,5];0.0
s[8,1,0];0.0
s[8,1,3];3.0
s[8,1,4];0.0
s[8,2,1];0.0
s[8,2,5];0.0
s[8,2,7];0.0
s[8,3,0];0.0
s[8,3,2];0.0
s[8,3,6];2.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];1.0
x[0,0,0,3];0.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,2,0];1.0
x[0,0,2,1];0.0
x[0,0,2,2];1.0
x[0,0,2,3];0.0
x[0,0,3,0];1.0
x[0,0,3,1];1.0
x[0,0,3,2];1.0
x[0,0,3,3];1.0
x[0,0,4,0];0.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];0.0
x[0,0,5,0];0.0
x[0,0,5,1];0.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];0.0
x[0,0,6,1];0.0
x[0,0,6,2];0.0
x[0,0,6,3];0.0
x[0,0,7,0];0.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];0.0
x[0,0,8,0];0.0
x[0,0,8,1];1.0
x[0,0,8,2];0.0
