name;value
C49;1.0
C50;1.0
C51;1.0
Z_FO;47.0
s[0,0,0];5.0
s[0,1,0];0.0
s[1,0,0];19.0
s[1,1,1];2.0
s[2,0,0];32.0
s[2,1,1];10.0
x[0,0,0,0];0.0
x[0,0,0,1];1.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,1,0];0.0
x[1,0,1,1];0.0
x[1,0,2,0];0.0
x[1,0,2,1];0.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,2,0];0.0
x[1,1,2,1];0.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,2,0];0.0
x[2,0,2,1];0.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
y[0,0,0];1.0
y[0,1,0];1.0
y[1,0,0];1.0
y[1,1,1];1.0
y[2,0,0];1.0
y[2,1,1];1.0
