Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-16 23:21:00;2023-01-17 07:21:00;23001.0;23481.0;Machine 18
0;1;2023-01-16 03:21:00;2023-01-16 23:21:00;21801.0;23001.0;Machine 14
0;2;2023-01-14 23:21:00;2023-01-16 03:21:00;20121.0;21801.0;Machine 09
0;3;2023-01-06 01:30:00;2023-01-06 21:30:00;7290.0;8490.0;Machine 10
0;4;2023-01-04 23:17:00;2023-01-05 11:17:00;5717.0;6437.0;Machine 06
0;5;2023-01-04 15:17:00;2023-01-04 23:17:00;5237.0;5717.0;Machine 12
0;6;2023-01-03 20:12:00;2023-01-04 12:12:00;4092.0;5052.0;Machine 19
1;0;2023-01-04 20:53:00;2023-01-04 23:53:00;5573.0;5753.0;Machine 18
1;1;2023-01-04 12:53:00;2023-01-04 20:53:00;5093.0;5573.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 07
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 07
2;0;2023-01-15 12:40:00;2023-01-16 00:40:00;20920.0;21640.0;Machine 18
2;1;2023-01-13 11:13:00;2023-01-15 11:13:00;17953.0;20833.0;Machine 17
2;2;2023-01-09 21:28:00;2023-01-12 21:28:00;12808.0;17128.0;Machine 16
2;3;2023-01-08 09:28:00;2023-01-09 21:28:00;10648.0;12808.0;Machine 10
2;4;2023-01-07 13:58:00;2023-01-08 01:58:00;9478.0;10198.0;Machine 09
2;5;2023-01-06 06:57:00;2023-01-07 00:57:00;7617.0;8697.0;Machine 05
2;6;2023-01-06 00:57:00;2023-01-06 06:57:00;7257.0;7617.0;Machine 12
2;7;2023-01-04 12:53:00;2023-01-05 12:53:00;5093.0;6533.0;Machine 19
2;8;2023-01-03 21:48:00;2023-01-05 09:48:00;4188.0;6348.0;Machine 04
2;9;2023-01-03 03:48:00;2023-01-03 21:48:00;3108.0;4188.0;Machine 03
2;10;2023-01-01 18:00:00;2023-01-03 00:00:00;1080.0;2880.0;Machine 01
2;11;2023-01-01 00:00:00;2023-01-01 18:00:00;0.0;1080.0;Machine 03
3;0;2023-01-06 13:28:00;2023-01-06 17:28:00;8008.0;8248.0;Machine 18
3;1;2023-01-05 22:05:00;2023-01-06 08:05:00;7085.0;7685.0;Machine 13
3;2;2023-01-05 08:05:00;2023-01-05 22:05:00;6245.0;7085.0;Machine 09
3;3;2023-01-04 11:06:00;2023-01-04 21:06:00;4986.0;5586.0;Machine 11
