Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:29:00;2023-01-01 00:31:00;29.0;31.0;Machine 02
0;1;2023-01-01 00:26:00;2023-01-01 00:28:00;26.0;28.0;Machine 00
0;2;2023-01-01 00:21:00;2023-01-01 00:26:00;21.0;26.0;Machine 01
0;3;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 00
0;4;2023-01-01 00:04:00;2023-01-01 00:09:00;4.0;9.0;Machine 00
0;5;2023-01-01 00:24:00;2023-01-01 00:28:00;24.0;28.0;Machine 02
0;6;2023-01-01 00:15:00;2023-01-01 00:18:00;15.0;18.0;Machine 01
1;0;2023-01-01 00:47:00;2023-01-01 00:51:00;47.0;51.0;Machine 02
1;1;2023-01-01 00:18:00;2023-01-01 00:20:00;18.0;20.0;Machine 02
1;2;2023-01-01 00:40:00;2023-01-01 00:43:00;40.0;43.0;Machine 02
1;3;2023-01-01 00:20:00;2023-01-01 00:23:00;20.0;23.0;Machine 00
1;4;2023-01-01 00:37:00;2023-01-01 00:40:00;37.0;40.0;Machine 01
1;5;2023-01-01 00:40:00;2023-01-01 00:43:00;40.0;43.0;Machine 00
1;6;2023-01-01 00:10:00;2023-01-01 00:15:00;10.0;15.0;Machine 02
1;7;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 00
1;8;2023-01-01 00:32:00;2023-01-01 00:34:00;32.0;34.0;Machine 02
1;9;2023-01-01 00:43:00;2023-01-01 00:47:00;43.0;47.0;Machine 01
2;0;2023-01-01 00:31:00;2023-01-01 00:36:00;31.0;36.0;Machine 01
2;1;2023-01-01 00:21:00;2023-01-01 00:23:00;21.0;23.0;Machine 02
2;2;2023-01-01 00:15:00;2023-01-01 00:19:00;15.0;19.0;Machine 00
2;3;2023-01-01 00:03:00;2023-01-01 00:07:00;3.0;7.0;Machine 01
2;4;2023-01-01 00:28:00;2023-01-01 00:30:00;28.0;30.0;Machine 01
3;0;2023-01-01 00:08:00;2023-01-01 00:12:00;8.0;12.0;Machine 01
3;1;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 02
3;2;2023-01-01 00:04:00;2023-01-01 00:08:00;4.0;8.0;Machine 02
4;0;2023-01-01 01:09:00;2023-01-01 01:14:00;69.0;74.0;Machine 00
4;1;2023-01-01 00:52:00;2023-01-01 00:54:00;52.0;54.0;Machine 02
4;2;2023-01-01 00:58:00;2023-01-01 01:03:00;58.0;63.0;Machine 01
4;3;2023-01-01 01:05:00;2023-01-01 01:09:00;65.0;69.0;Machine 01
4;4;2023-01-01 00:35:00;2023-01-01 00:38:00;35.0;38.0;Machine 02
4;5;2023-01-01 00:50:00;2023-01-01 00:54:00;50.0;54.0;Machine 01
4;6;2023-01-01 00:45:00;2023-01-01 00:48:00;45.0;48.0;Machine 00
4;7;2023-01-01 00:55:00;2023-01-01 00:58:00;55.0;58.0;Machine 02
