Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:08:00;2023-01-01 01:48:00;8.0;108.0;Machine 03
0;1;2023-01-01 01:48:00;2023-01-01 03:51:00;108.0;231.0;Machine 07
0;2;2023-01-01 04:37:00;2023-01-01 07:07:00;277.0;427.0;Machine 04
0;3;2023-01-01 07:18:00;2023-01-01 09:43:00;438.0;583.0;Machine 08
1;0;2023-01-01 02:30:00;2023-01-01 06:04:00;150.0;364.0;Machine 01
1;1;2023-01-01 07:09:00;2023-01-01 08:15:00;429.0;495.0;Machine 02
1;2;2023-01-01 08:15:00;2023-01-01 10:45:00;495.0;645.0;Machine 07
1;3;2023-01-01 11:50:00;2023-01-01 13:50:00;710.0;830.0;Machine 05
2;0;2023-01-01 02:57:00;2023-01-01 03:59:00;177.0;239.0;Machine 02
2;1;2023-01-01 04:08:00;2023-01-01 06:33:00;248.0;393.0;Machine 07
2;2;2023-01-01 06:54:00;2023-01-01 08:34:00;414.0;514.0;Machine 05
2;3;2023-01-01 09:53:00;2023-01-01 12:38:00;593.0;758.0;Machine 08
3;0;2023-01-01 06:17:00;2023-01-01 07:44:00;377.0;464.0;Machine 01
3;1;2023-01-01 08:45:00;2023-01-01 11:38:00;525.0;698.0;Machine 05
3;2;2023-01-01 16:21:00;2023-01-01 18:46:00;981.0;1126.0;Machine 04
3;3;2023-01-01 18:46:00;2023-01-01 21:36:00;1126.0;1296.0;Machine 06
4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0.0;128.0;Machine 01
4;1;2023-01-01 02:08:00;2023-01-01 02:55:00;128.0;175.0;Machine 05
4;2;2023-01-01 02:55:00;2023-01-01 04:20:00;175.0;260.0;Machine 06
4;3;2023-01-01 04:20:00;2023-01-01 07:05:00;260.0;425.0;Machine 08
5;0;2023-01-01 00:11:00;2023-01-01 02:36:00;11.0;156.0;Machine 02
5;1;2023-01-01 02:36:00;2023-01-01 04:39:00;156.0;279.0;Machine 03
5;2;2023-01-01 04:39:00;2023-01-01 06:39:00;279.0;399.0;Machine 05
5;3;2023-01-01 06:46:00;2023-01-01 07:36:00;406.0;456.0;Machine 07
6;0;2023-01-01 04:59:00;2023-01-01 07:24:00;299.0;444.0;Machine 03
6;1;2023-01-01 07:39:00;2023-01-01 09:43:00;459.0;583.0;Machine 03
6;2;2023-01-01 11:38:00;2023-01-01 14:23:00;698.0;863.0;Machine 06
6;3;2023-01-01 14:23:00;2023-01-01 16:43:00;863.0;1003.0;Machine 05
7;0;2023-01-01 00:12:00;2023-01-01 04:17:00;12.0;257.0;Machine 04
7;1;2023-01-01 04:41:00;2023-01-01 08:25:00;281.0;505.0;Machine 06
7;2;2023-01-01 08:41:00;2023-01-01 11:26:00;521.0;686.0;Machine 06
7;3;2023-01-01 12:09:00;2023-01-01 14:39:00;729.0;879.0;Machine 07
8;0;2023-01-01 08:38:00;2023-01-01 11:08:00;518.0;668.0;Machine 02
8;1;2023-01-01 11:25:00;2023-01-01 15:05:00;685.0;905.0;Machine 04
8;2;2023-01-01 15:05:00;2023-01-01 15:55:00;905.0;955.0;Machine 07
8;3;2023-01-01 15:55:00;2023-01-01 18:45:00;955.0;1125.0;Machine 08
9;0;2023-01-01 10:01:00;2023-01-01 14:18:00;601.0;858.0;Machine 03
9;1;2023-01-01 14:43:00;2023-01-01 18:27:00;883.0;1107.0;Machine 06
9;2;2023-01-01 18:27:00;2023-01-01 20:52:00;1107.0;1252.0;Machine 05
9;3;2023-01-01 20:52:00;2023-01-01 23:22:00;1252.0;1402.0;Machine 07
10;0;2023-01-01 04:23:00;2023-01-01 06:53:00;263.0;413.0;Machine 02
10;1;2023-01-01 07:20:00;2023-01-01 11:00:00;440.0;660.0;Machine 04
10;2;2023-01-01 11:00:00;2023-01-01 11:50:00;660.0;710.0;Machine 07
10;3;2023-01-01 12:53:00;2023-01-01 15:43:00;773.0;943.0;Machine 08
11;0;2023-01-01 11:24:00;2023-01-01 17:21:00;684.0;1041.0;Machine 02
11;1;2023-01-01 17:21:00;2023-01-01 21:05:00;1041.0;1265.0;Machine 03
11;2;2023-01-01 21:14:00;2023-01-01 23:39:00;1274.0;1419.0;Machine 05
11;3;2023-01-01 23:39:00;2023-01-02 03:29:00;1419.0;1649.0;Machine 08
