name;value
Z_FO;2078.0
b[job:0, stage:0, machine:1];1.0
b[job:0, stage:0, machine:2];0.0
b[job:0, stage:0, machine:3];0.0
b[job:0, stage:1, machine:1];0.0
b[job:0, stage:1, machine:2];1.0
b[job:0, stage:1, machine:4];0.0
b[job:0, stage:2, machine:4];1.0
b[job:0, stage:2, machine:5];0.0
b[job:0, stage:2, machine:7];0.0
b[job:1, stage:0, machine:1];0.0
b[job:1, stage:0, machine:3];1.0
b[job:1, stage:1, machine:2];1.0
b[job:1, stage:1, machine:3];0.0
b[job:1, stage:1, machine:4];0.0
b[job:1, stage:2, machine:5];0.0
b[job:1, stage:2, machine:6];1.0
b[job:1, stage:2, machine:7];0.0
b[job:2, stage:0, machine:1];0.0
b[job:2, stage:0, machine:2];1.0
b[job:2, stage:1, machine:3];0.0
b[job:2, stage:1, machine:4];0.0
b[job:2, stage:1, machine:7];1.0
b[job:2, stage:2, machine:4];0.0
b[job:2, stage:2, machine:5];1.0
b[job:2, stage:2, machine:6];0.0
b[job:3, stage:0, machine:1];0.0
b[job:3, stage:0, machine:2];1.0
b[job:3, stage:1, machine:3];1.0
b[job:3, stage:1, machine:5];0.0
b[job:3, stage:2, machine:4];0.0
b[job:3, stage:2, machine:6];1.0
b[job:4, stage:0, machine:1];1.0
b[job:4, stage:0, machine:2];0.0
b[job:4, stage:0, machine:3];0.0
b[job:4, stage:1, machine:3];0.0
b[job:4, stage:1, machine:4];0.0
b[job:4, stage:1, machine:5];1.0
b[job:4, stage:2, machine:5];0.0
b[job:4, stage:2, machine:6];1.0
b[job:5, stage:0, machine:2];0.0
b[job:5, stage:0, machine:3];0.0
b[job:5, stage:0, machine:4];1.0
b[job:5, stage:1, machine:3];0.0
b[job:5, stage:1, machine:4];1.0
b[job:5, stage:1, machine:5];0.0
b[job:5, stage:2, machine:5];1.0
b[job:5, stage:2, machine:6];0.0
b[job:5, stage:2, machine:7];0.0
startT[job:0, stage:0, machine:1];142.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:3];0.0
startT[job:0, stage:1, machine:1];0.0
startT[job:0, stage:1, machine:2];289.0
startT[job:0, stage:1, machine:4];0.0
startT[job:0, stage:2, machine:4];419.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:1, machine:2];169.0
startT[job:1, stage:1, machine:3];0.0
startT[job:1, stage:1, machine:4];0.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];272.0
startT[job:1, stage:2, machine:7];0.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];11.0
startT[job:2, stage:1, machine:3];0.0
startT[job:2, stage:1, machine:4];0.0
startT[job:2, stage:1, machine:7];73.0
startT[job:2, stage:2, machine:4];0.0
startT[job:2, stage:2, machine:5];218.0
startT[job:2, stage:2, machine:6];0.0
startT[job:3, stage:0, machine:1];0.0
startT[job:3, stage:0, machine:2];88.0
startT[job:3, stage:1, machine:3];166.0
startT[job:3, stage:1, machine:5];0.0
startT[job:3, stage:2, machine:4];0.0
startT[job:3, stage:2, machine:6];416.0
startT[job:4, stage:0, machine:1];0.0
startT[job:4, stage:0, machine:2];0.0
startT[job:4, stage:0, machine:3];0.0
startT[job:4, stage:1, machine:3];0.0
startT[job:4, stage:1, machine:4];0.0
startT[job:4, stage:1, machine:5];128.0
startT[job:4, stage:2, machine:5];0.0
startT[job:4, stage:2, machine:6];175.0
startT[job:5, stage:0, machine:2];0.0
startT[job:5, stage:0, machine:3];0.0
startT[job:5, stage:0, machine:4];0.0
startT[job:5, stage:1, machine:3];0.0
startT[job:5, stage:1, machine:4];169.0
startT[job:5, stage:1, machine:5];0.0
startT[job:5, stage:2, machine:5];331.0
startT[job:5, stage:2, machine:6];0.0
startT[job:5, stage:2, machine:7];0.0
x[job1|stage1:0|0, job2|stage2:0|0];0.0
x[job1|stage1:0|0, job2|stage2:0|1];0.0
x[job1|stage1:0|0, job2|stage2:0|2];0.0
x[job1|stage1:0|0, job2|stage2:1|0];1.0
x[job1|stage1:0|0, job2|stage2:1|1];0.0
x[job1|stage1:0|0, job2|stage2:1|2];0.0
x[job1|stage1:0|0, job2|stage2:2|0];0.0
x[job1|stage1:0|0, job2|stage2:2|1];0.0
x[job1|stage1:0|0, job2|stage2:2|2];0.0
x[job1|stage1:0|0, job2|stage2:3|0];1.0
x[job1|stage1:0|0, job2|stage2:3|1];0.0
x[job1|stage1:0|0, job2|stage2:3|2];0.0
x[job1|stage1:0|0, job2|stage2:4|0];1.0
x[job1|stage1:0|0, job2|stage2:4|1];0.0
x[job1|stage1:0|0, job2|stage2:4|2];0.0
x[job1|stage1:0|0, job2|stage2:5|0];1.0
x[job1|stage1:0|0, job2|stage2:5|1];0.0
x[job1|stage1:0|0, job2|stage2:5|2];0.0
x[job1|stage1:0|1, job2|stage2:0|0];0.0
x[job1|stage1:0|1, job2|stage2:0|1];0.0
x[job1|stage1:0|1, job2|stage2:0|2];0.0
x[job1|stage1:0|1, job2|stage2:1|0];0.0
x[job1|stage1:0|1, job2|stage2:1|1];1.0
x[job1|stage1:0|1, job2|stage2:1|2];0.0
x[job1|stage1:0|1, job2|stage2:2|0];1.0
x[job1|stage1:0|1, job2|stage2:2|1];1.0
x[job1|stage1:0|1, job2|stage2:2|2];0.0
x[job1|stage1:0|1, job2|stage2:3|0];1.0
x[job1|stage1:0|1, job2|stage2:3|1];0.0
x[job1|stage1:0|1, job2|stage2:3|2];0.0
x[job1|stage1:0|1, job2|stage2:4|0];1.0
x[job1|stage1:0|1, job2|stage2:4|1];0.0
x[job1|stage1:0|1, job2|stage2:4|2];0.0
x[job1|stage1:0|1, job2|stage2:5|0];1.0
x[job1|stage1:0|1, job2|stage2:5|1];0.0
x[job1|stage1:0|1, job2|stage2:5|2];0.0
x[job1|stage1:0|2, job2|stage2:0|0];0.0
x[job1|stage1:0|2, job2|stage2:0|1];0.0
x[job1|stage1:0|2, job2|stage2:0|2];0.0
x[job1|stage1:0|2, job2|stage2:1|0];0.0
x[job1|stage1:0|2, job2|stage2:1|1];1.0
x[job1|stage1:0|2, job2|stage2:1|2];1.0
x[job1|stage1:0|2, job2|stage2:2|0];0.0
x[job1|stage1:0|2, job2|stage2:2|1];1.0
x[job1|stage1:0|2, job2|stage2:2|2];1.0
x[job1|stage1:0|2, job2|stage2:3|0];0.0
x[job1|stage1:0|2, job2|stage2:3|1];1.0
x[job1|stage1:0|2, job2|stage2:3|2];0.0
x[job1|stage1:0|2, job2|stage2:4|0];0.0
x[job1|stage1:0|2, job2|stage2:4|1];0.0
x[job1|stage1:0|2, job2|stage2:4|2];0.0
x[job1|stage1:0|2, job2|stage2:5|0];1.0
x[job1|stage1:0|2, job2|stage2:5|1];1.0
x[job1|stage1:0|2, job2|stage2:5|2];0.0
x[job1|stage1:1|0, job2|stage2:0|0];0.0
x[job1|stage1:1|0, job2|stage2:0|1];0.0
x[job1|stage1:1|0, job2|stage2:0|2];0.0
x[job1|stage1:1|0, job2|stage2:1|0];0.0
x[job1|stage1:1|0, job2|stage2:1|1];0.0
x[job1|stage1:1|0, job2|stage2:1|2];0.0
x[job1|stage1:1|0, job2|stage2:2|0];0.0
x[job1|stage1:1|0, job2|stage2:2|1];0.0
x[job1|stage1:1|0, job2|stage2:2|2];0.0
x[job1|stage1:1|0, job2|stage2:3|0];1.0
x[job1|stage1:1|0, job2|stage2:3|1];0.0
x[job1|stage1:1|0, job2|stage2:3|2];0.0
x[job1|stage1:1|0, job2|stage2:4|0];1.0
