name;value
Z_FO;645591.0
startT[job:0, stage:0, machine:1];6050.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:1, machine:3];7010.0
startT[job:0, stage:2, machine:4];0.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:6];0.0
startT[job:0, stage:2, machine:7];7879.0
startT[job:0, stage:3, machine:8];13300.0
startT[job:0, stage:3, machine:9];0.0
startT[job:0, stage:4, machine:10];16002.0
startT[job:0, stage:5, machine:11];17682.0
startT[job:0, stage:5, machine:12];0.0
startT[job:0, stage:6, machine:13];18882.0
startT[job:1, stage:0, machine:4];0.0
startT[job:1, stage:0, machine:5];5376.0
startT[job:1, stage:0, machine:6];0.0
startT[job:1, stage:0, machine:7];0.0
startT[job:1, stage:1, machine:8];0.0
startT[job:1, stage:1, machine:9];5616.0
startT[job:1, stage:2, machine:3];5796.0
startT[job:1, stage:3, machine:4];0.0
startT[job:1, stage:3, machine:5];0.0
startT[job:1, stage:3, machine:6];5916.0
startT[job:1, stage:3, machine:7];0.0
startT[job:1, stage:4, machine:14];6276.0
startT[job:1, stage:5, machine:13];6756.0
startT[job:10, stage:0, machine:4];7581.0
startT[job:10, stage:0, machine:5];0.0
startT[job:10, stage:0, machine:6];0.0
startT[job:10, stage:0, machine:7];0.0
startT[job:10, stage:1, machine:8];7821.0
startT[job:10, stage:1, machine:9];0.0
startT[job:10, stage:2, machine:3];8001.0
startT[job:10, stage:3, machine:4];0.0
startT[job:10, stage:3, machine:5];8121.0
startT[job:10, stage:3, machine:6];0.0
startT[job:10, stage:3, machine:7];0.0
startT[job:10, stage:4, machine:14];8786.0
startT[job:10, stage:5, machine:13];9468.0
startT[job:11, stage:0, machine:4];0.0
startT[job:11, stage:0, machine:5];0.0
startT[job:11, stage:0, machine:6];0.0
startT[job:11, stage:0, machine:7];7634.0
startT[job:11, stage:1, machine:8];8008.0
startT[job:11, stage:1, machine:9];0.0
startT[job:11, stage:2, machine:3];8188.0
startT[job:11, stage:3, machine:4];8308.0
startT[job:11, stage:3, machine:5];0.0
startT[job:11, stage:3, machine:6];0.0
startT[job:11, stage:3, machine:7];0.0
startT[job:11, stage:4, machine:14];9752.0
startT[job:11, stage:5, machine:13];10232.0
startT[job:12, stage:0, machine:1];0.0
startT[job:12, stage:0, machine:2];5682.0
startT[job:12, stage:1, machine:3];5922.0
startT[job:12, stage:2, machine:4];6042.0
startT[job:12, stage:2, machine:5];0.0
startT[job:12, stage:2, machine:6];0.0
startT[job:12, stage:2, machine:7];0.0
startT[job:12, stage:3, machine:8];0.0
startT[job:12, stage:3, machine:9];6222.0
startT[job:12, stage:4, machine:10];6636.0
startT[job:12, stage:5, machine:11];0.0
startT[job:12, stage:5, machine:12];7056.0
startT[job:12, stage:6, machine:13];7356.0
startT[job:13, stage:0, machine:1];7391.0
startT[job:13, stage:0, machine:2];0.0
startT[job:13, stage:1, machine:3];8351.0
startT[job:13, stage:2, machine:4];0.0
startT[job:13, stage:2, machine:5];0.0
startT[job:13, stage:2, machine:6];9149.0
startT[job:13, stage:2, machine:7];0.0
startT[job:13, stage:3, machine:8];0.0
startT[job:13, stage:3, machine:9];18171.0
startT[job:13, stage:4, machine:10];19371.0
startT[job:13, stage:5, machine:11];21051.0
