Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 00:14:00;2023-01-03 00:14:00;1454.0;2894.0;Machine 01
0;1;2023-01-03 00:14:00;2023-01-05 00:14:00;2894.0;5774.0;Machine 02
0;2;2023-01-06 00:50:00;2023-01-08 00:50:00;7250.0;10130.0;Machine 03
0;3;2023-01-09 00:33:00;2023-01-10 00:33:00;11553.0;12993.0;Machine 04
0;4;2023-01-10 00:33:00;2023-01-11 00:33:00;12993.0;14433.0;Machine 05
1;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 01
1;1;2023-01-02 00:00:00;2023-01-03 00:00:00;1440.0;2880.0;Machine 04
1;2;2023-01-03 00:00:00;2023-01-04 00:00:00;2880.0;4320.0;Machine 03
1;3;2023-01-04 00:00:00;2023-01-05 00:00:00;4320.0;5760.0;Machine 05
1;4;2023-01-05 00:36:00;2023-01-06 00:36:00;5796.0;7236.0;Machine 02
2;0;2023-01-05 01:05:00;2023-01-06 01:05:00;5825.0;7265.0;Machine 01
2;1;2023-01-06 01:05:00;2023-01-08 01:05:00;7265.0;10145.0;Machine 05
2;2;2023-01-08 01:09:00;2023-01-11 01:09:00;10149.0;14469.0;Machine 02
2;3;2023-01-11 01:09:00;2023-01-12 01:09:00;14469.0;15909.0;Machine 03
2;4;2023-01-12 01:09:00;2023-01-13 01:09:00;15909.0;17349.0;Machine 04
3;0;2023-01-06 01:24:00;2023-01-07 01:24:00;7284.0;8724.0;Machine 01
3;1;2023-01-08 01:41:00;2023-01-10 01:41:00;10181.0;13061.0;Machine 03
3;2;2023-01-11 01:23:00;2023-01-13 01:23:00;14483.0;17363.0;Machine 02
3;3;2023-01-13 01:29:00;2023-01-15 01:29:00;17369.0;20249.0;Machine 04
4;0;2023-01-03 00:33:00;2023-01-05 00:33:00;2913.0;5793.0;Machine 01
4;1;2023-01-05 00:33:00;2023-01-06 00:33:00;5793.0;7233.0;Machine 03
4;2;2023-01-06 00:33:00;2023-01-07 00:33:00;7233.0;8673.0;Machine 04
4;3;2023-01-07 00:33:00;2023-01-08 00:33:00;8673.0;10113.0;Machine 02
4;4;2023-01-08 00:33:00;2023-01-09 00:33:00;10113.0;11553.0;Machine 04
