Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 02:28:00;2023-01-01 04:31:00;148.0;271.0;Machine 02
0;1;2023-01-01 04:31:00;2023-01-01 06:34:00;271.0;394.0;Machine 01
0;2;2023-01-01 06:38:00;2023-01-01 09:08:00;398.0;548.0;Machine 04
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0.0;150.0;Machine 03
1;1;2023-01-01 02:43:00;2023-01-01 04:10:00;163.0;250.0;Machine 03
1;2;2023-01-01 04:50:00;2023-01-01 06:25:00;290.0;385.0;Machine 06
2;0;2023-01-01 01:16:00;2023-01-01 02:18:00;76.0;138.0;Machine 02
2;1;2023-01-01 02:18:00;2023-01-01 04:43:00;138.0;283.0;Machine 07
2;2;2023-01-01 04:43:00;2023-01-01 06:23:00;283.0;383.0;Machine 05
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0.0;65.0;Machine 02
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65.0;238.0;Machine 05
3;2;2023-01-01 03:58:00;2023-01-01 06:23:00;238.0;383.0;Machine 04
4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0.0;128.0;Machine 01
4;1;2023-01-01 02:08:00;2023-01-01 03:13:00;128.0;193.0;Machine 04
4;2;2023-01-01 03:13:00;2023-01-01 04:38:00;193.0;278.0;Machine 06
