name;value
Z_FO;3317.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];81.0
startT[job:0, stage:1, machine:2];0.0
startT[job:0, stage:1, machine:4];0.0
startT[job:0, stage:1, machine:7];304.0
startT[job:0, stage:2, machine:4];427.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:3];12.0
startT[job:1, stage:1, machine:2];0.0
startT[job:1, stage:1, machine:3];189.0
startT[job:1, stage:1, machine:4];0.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];276.0
startT[job:1, stage:2, machine:7];0.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:1, machine:3];0.0
startT[job:2, stage:1, machine:4];0.0
startT[job:2, stage:1, machine:7];62.0
startT[job:2, stage:2, machine:4];0.0
startT[job:2, stage:2, machine:5];207.0
startT[job:2, stage:2, machine:6];0.0
startT[job:3, stage:0, machine:1];312.0
startT[job:3, stage:0, machine:2];0.0
startT[job:3, stage:1, machine:3];0.0
startT[job:3, stage:1, machine:5];460.0
startT[job:3, stage:2, machine:4];0.0
startT[job:3, stage:2, machine:6];633.0
startT[job:4, stage:0, machine:1];0.0
startT[job:4, stage:0, machine:2];0.0
startT[job:4, stage:0, machine:3];0.0
startT[job:4, stage:1, machine:4];0.0
startT[job:4, stage:1, machine:5];128.0
startT[job:4, stage:1, machine:7];0.0
startT[job:4, stage:2, machine:5];0.0
startT[job:4, stage:2, machine:6];175.0
startT[job:5, stage:0, machine:2];0.0
startT[job:5, stage:0, machine:3];0.0
startT[job:5, stage:0, machine:4];8.0
startT[job:5, stage:1, machine:3];0.0
startT[job:5, stage:1, machine:4];175.0
startT[job:5, stage:1, machine:5];0.0
startT[job:5, stage:2, machine:5];325.0
startT[job:5, stage:2, machine:6];0.0
startT[job:5, stage:2, machine:7];0.0
startT[job:6, stage:0, machine:1];142.0
startT[job:6, stage:0, machine:2];0.0
startT[job:6, stage:0, machine:3];0.0
startT[job:6, stage:1, machine:3];299.0
startT[job:6, stage:1, machine:4];0.0
startT[job:6, stage:1, machine:5];0.0
startT[job:6, stage:2, machine:5];0.0
startT[job:6, stage:2, machine:6];423.0
startT[job:6, stage:2, machine:7];0.0
x[job1|stage1:0|0, job2|stage2:0|0];0.0
x[job1|stage1:0|0, job2|stage2:0|1];0.0
x[job1|stage1:0|0, job2|stage2:0|2];0.0
x[job1|stage1:0|0, job2|stage2:1|0];0.0
x[job1|stage1:0|0, job2|stage2:1|1];0.0
x[job1|stage1:0|0, job2|stage2:1|2];0.0
x[job1|stage1:0|0, job2|stage2:2|0];1.0
x[job1|stage1:0|0, job2|stage2:2|1];0.0
x[job1|stage1:0|0, job2|stage2:2|2];0.0
x[job1|stage1:0|0, job2|stage2:3|0];0.0
x[job1|stage1:0|0, job2|stage2:3|1];0.0
x[job1|stage1:0|0, job2|stage2:3|2];0.0
x[job1|stage1:0|0, job2|stage2:4|0];1.0
