name;value
Z_FO;81298.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];40.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:2];287.0
startT[job:1, stage:0, machine:3];0.0
startT[job:10, stage:0, machine:12];1348.0
startT[job:10, stage:0, machine:13];0.0
startT[job:10, stage:0, machine:1];0.0
startT[job:10, stage:0, machine:3];0.0
startT[job:11, stage:0, machine:1];674.0
startT[job:12, stage:0, machine:12];0.0
startT[job:12, stage:0, machine:13];0.0
startT[job:12, stage:0, machine:14];0.0
startT[job:12, stage:0, machine:3];0.0
startT[job:13, stage:0, machine:13];3370.0
startT[job:13, stage:0, machine:3];0.0
startT[job:13, stage:0, machine:7];0.0
startT[job:14, stage:0, machine:10];83.0
startT[job:15, stage:0, machine:10];707.0
startT[job:16, stage:0, machine:1];0.0
startT[job:17, stage:0, machine:1];191.0
startT[job:18, stage:0, machine:15];0.0
startT[job:18, stage:0, machine:16];0.0
startT[job:18, stage:0, machine:17];0.0
startT[job:18, stage:0, machine:18];0.0
startT[job:19, stage:0, machine:15];0.0
startT[job:19, stage:0, machine:16];0.0
startT[job:19, stage:0, machine:19];0.0
startT[job:2, stage:0, machine:4];0.0
startT[job:20, stage:0, machine:20];0.0
startT[job:21, stage:0, machine:6];0.0
startT[job:21, stage:0, machine:7];0.0
startT[job:22, stage:0, machine:6];0.0
startT[job:22, stage:0, machine:7];2696.0
startT[job:23, stage:0, machine:10];223.0
startT[job:24, stage:0, machine:17];0.0
startT[job:24, stage:0, machine:18];0.0
startT[job:24, stage:0, machine:21];0.0
startT[job:24, stage:0, machine:8];0.0
startT[job:25, stage:0, machine:20];3370.0
startT[job:26, stage:0, machine:20];227.0
startT[job:27, stage:0, machine:22];302.0
startT[job:28, stage:0, machine:22];3370.0
startT[job:29, stage:0, machine:14];0.0
startT[job:29, stage:0, machine:2];0.0
startT[job:29, stage:0, machine:3];0.0
startT[job:3, stage:0, machine:5];3370.0
startT[job:30, stage:0, machine:17];2696.0
startT[job:31, stage:0, machine:3];0.0
startT[job:32, stage:0, machine:23];0.0
startT[job:33, stage:0, machine:23];303.0
startT[job:34, stage:0, machine:12];99.0
startT[job:34, stage:0, machine:1];0.0
startT[job:34, stage:0, machine:3];0.0
startT[job:35, stage:0, machine:15];367.0
startT[job:35, stage:0, machine:16];0.0
startT[job:35, stage:0, machine:17];0.0
startT[job:35, stage:0, machine:21];0.0
startT[job:35, stage:0, machine:24];0.0
startT[job:35, stage:0, machine:8];0.0
startT[job:36, stage:0, machine:23];0.0
startT[job:36, stage:0, machine:25];0.0
startT[job:36, stage:0, machine:26];0.0
startT[job:37, stage:0, machine:17];208.0
startT[job:38, stage:0, machine:27];0.0
startT[job:38, stage:0, machine:28];0.0
startT[job:38, stage:0, machine:29];0.0
startT[job:39, stage:0, machine:1];3370.0
startT[job:4, stage:0, machine:5];180.0
startT[job:40, stage:0, machine:30];1348.0
startT[job:40, stage:0, machine:3];0.0
startT[job:41, stage:0, machine:1];0.0
startT[job:41, stage:0, machine:3];0.0
startT[job:41, stage:0, machine:6];113.0
startT[job:42, stage:0, machine:21];0.0
