Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2023-01-01 02:27:00;-0.0;147.0;Machine 01
0;1;2023-01-01 04:26:00;2023-01-01 06:36:00;266.0;396.0;Machine 02
0;2;2023-01-01 06:36:00;2023-01-01 09:06:00;396.0;546.0;Machine 04
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;-0.0;150.0;Machine 03
1;1;2023-01-01 03:05:00;2023-01-01 04:11:00;185.0;251.0;Machine 02
1;2;2023-01-01 04:11:00;2023-01-01 07:09:00;251.0;429.0;Machine 05
2;0;2023-01-01 02:41:00;2023-01-01 04:08:00;161.0;248.0;Machine 01
2;1;2023-01-01 04:08:00;2023-01-01 07:08:00;248.0;428.0;Machine 03
2;2;2023-01-01 07:21:00;2023-01-01 09:01:00;441.0;541.0;Machine 05
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;-0.0;65.0;Machine 02
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65.0;238.0;Machine 05
3;2;2023-01-01 03:58:00;2023-01-01 06:23:00;238.0;383.0;Machine 04
