Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-04 23:11:00;2023-01-05 15:11:00;5711.0;6671.0;Machine 02
0;1;2023-01-05 18:22:00;2023-01-06 02:22:00;6862.0;7342.0;Machine 03
0;2;2023-01-06 02:22:00;2023-01-06 14:22:00;7342.0;8062.0;Machine 06
0;3;2023-01-06 14:22:00;2023-01-07 10:22:00;8062.0;9262.0;Machine 08
0;4;2023-01-07 15:17:00;2023-01-08 19:17:00;9557.0;11237.0;Machine 10
0;5;2023-01-08 19:17:00;2023-01-09 15:17:00;11237.0;12437.0;Machine 12
0;6;2023-01-11 01:12:00;2023-01-11 09:12:00;14472.0;14952.0;Machine 13
1;0;2023-01-04 17:36:00;2023-01-04 21:36:00;5376.0;5616.0;Machine 05
1;1;2023-01-04 21:36:00;2023-01-05 00:36:00;5616.0;5796.0;Machine 08
1;2;2023-01-05 03:13:00;2023-01-05 05:13:00;5953.0;6073.0;Machine 03
1;3;2023-01-05 05:13:00;2023-01-05 11:13:00;6073.0;6433.0;Machine 05
1;4;2023-01-05 11:13:00;2023-01-05 19:13:00;6433.0;6913.0;Machine 14
1;5;2023-01-09 22:26:00;2023-01-10 01:26:00;12866.0;13046.0;Machine 13
2;0;2023-01-04 17:36:00;2023-01-07 17:36:00;5376.0;9696.0;Machine 16
2;1;2023-01-13 06:04:00;2023-01-15 06:04:00;17644.0;20524.0;Machine 14
2;2;2023-01-17 17:38:00;2023-01-18 05:38:00;24098.0;24818.0;Machine 13
3;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 02
3;1;2023-01-02 10:10:00;2023-01-02 16:10:00;2050.0;2410.0;Machine 03
3;2;2023-01-03 23:26:00;2023-01-04 17:26:00;4286.0;5366.0;Machine 05
3;3;2023-01-14 17:16:00;2023-01-15 05:16:00;19756.0;20476.0;Machine 10
3;4;2023-01-15 20:00:00;2023-01-17 08:00:00;21360.0;23520.0;Machine 09
4;0;2023-01-01 00:00:00;2023-01-01 18:00:00;0.0;1080.0;Machine 17
4;1;2023-01-01 18:00:00;2023-01-03 00:00:00;1080.0;2880.0;Machine 18
4;2;2023-01-03 00:00:00;2023-01-03 18:00:00;2880.0;3960.0;Machine 17
4;3;2023-01-03 18:00:00;2023-01-05 06:00:00;3960.0;6120.0;Machine 21
5;0;2023-01-04 21:45:00;2023-01-05 05:45:00;5625.0;6105.0;Machine 01
