Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2023-01-01 04:00:00;0.0;240.0;Machine 02
1;0;2023-01-01 04:07:00;2023-01-01 09:05:00;247.0;545.0;Machine 02
2;0;2023-01-01 00:00:00;2023-01-01 02:31:00;0.0;151.0;Machine 04
3;0;2023-01-03 08:10:00;2023-01-03 15:37:00;3370.0;3817.0;Machine 05
4;0;2023-01-01 03:00:00;2023-01-01 10:27:00;180.0;627.0;Machine 05
5;0;2023-01-01 03:01:00;2023-01-01 06:30:00;181.0;390.0;Machine 07
6;0;2023-01-01 00:00:00;2023-01-01 03:00:00;0.0;180.0;Machine 07
7;0;2023-01-01 00:00:00;2023-01-01 10:40:00;0.0;640.0;Machine 08
8;0;2023-01-01 00:00:00;2023-01-01 01:23:00;0.0;83.0;Machine 10
9;0;2023-01-01 00:00:00;2023-01-03 07:20:00;0.0;3320.0;Machine 11
10;0;2023-01-01 22:28:00;2023-01-01 23:49:00;1348.0;1429.0;Machine 13
11;0;2023-01-01 11:14:00;2023-01-01 15:43:00;674.0;943.0;Machine 01
12;0;2023-01-01 00:00:00;2023-01-01 02:10:00;0.0;130.0;Machine 13
13;0;2023-01-03 08:10:00;2023-01-03 12:31:00;3370.0;3631.0;Machine 13
14;0;2023-01-01 01:23:00;2023-01-01 03:33:00;83.0;213.0;Machine 10
15;0;2023-01-01 11:47:00;2023-01-01 20:06:00;707.0;1206.0;Machine 10
16;0;2023-01-01 05:37:00;2023-01-01 08:44:00;337.0;524.0;Machine 01
17;0;2023-01-01 00:53:00;2023-01-01 05:34:00;53.0;334.0;Machine 01
18;0;2023-01-01 00:00:00;2023-01-01 05:49:00;0.0;349.0;Machine 16
19;0;2023-01-01 04:37:00;2023-01-01 10:40:00;277.0;640.0;Machine 15
20;0;2023-01-01 00:00:00;2023-01-01 03:43:00;0.0;223.0;Machine 20
21;0;2023-01-01 00:00:00;2023-01-01 01:53:00;0.0;113.0;Machine 06
22;0;2023-01-02 20:56:00;2023-01-02 22:49:00;2696.0;2809.0;Machine 07
23;0;2023-01-01 03:43:00;2023-01-01 11:37:00;223.0;697.0;Machine 10
24;0;2023-01-01 00:00:00;2023-01-01 08:31:00;0.0;511.0;Machine 21
25;0;2023-01-03 08:10:00;2023-01-03 12:10:00;3370.0;3610.0;Machine 20
26;0;2023-01-01 03:47:00;2023-01-01 08:09:00;227.0;489.0;Machine 20
27;0;2023-01-01 05:02:00;2023-01-01 11:42:00;302.0;702.0;Machine 22
28;0;2023-01-03 08:10:00;2023-01-03 14:24:00;3370.0;3744.0;Machine 22
29;0;2023-01-01 00:00:00;2023-01-01 06:43:00;0.0;403.0;Machine 14
30;0;2023-01-02 20:56:00;2023-01-04 19:28:00;2696.0;5488.0;Machine 17
31;0;2023-01-01 00:00:00;2023-01-01 04:20:00;0.0;260.0;Machine 03
32;0;2023-01-01 00:00:00;2023-01-01 05:00:00;0.0;300.0;Machine 23
33;0;2023-01-01 05:03:00;2023-01-01 10:03:00;303.0;603.0;Machine 23
34;0;2023-01-01 01:39:00;2023-01-01 06:31:00;99.0;391.0;Machine 12
35;0;2023-01-01 00:00:00;2023-01-01 11:36:00;0.0;696.0;Machine 24
36;0;2023-01-01 00:00:00;2023-01-02 03:58:00;0.0;1678.0;Machine 25
37;0;2023-01-01 03:28:00;2023-01-02 02:09:00;208.0;1569.0;Machine 17
38;0;2023-01-01 00:00:00;2023-01-01 10:57:00;0.0;657.0;Machine 27
39;0;2023-01-03 08:10:00;2023-01-03 10:37:00;3370.0;3517.0;Machine 01
40;0;2023-01-01 22:28:00;2023-01-02 03:08:00;1348.0;1628.0;Machine 03
41;0;2023-01-01 01:53:00;2023-01-01 08:17:00;113.0;497.0;Machine 06
42;0;2023-01-01 08:42:00;2023-01-02 16:02:00;522.0;2402.0;Machine 21
43;0;2023-01-02 09:42:00;2023-01-02 18:42:00;2022.0;2562.0;Machine 24
44;0;2023-01-01 00:00:00;2023-01-01 11:33:00;0.0;693.0;Machine 31
45;0;2023-01-01 00:00:00;2023-01-01 18:16:00;0.0;1096.0;Machine 26
46;0;2023-01-01 04:26:00;2023-01-01 12:50:00;266.0;770.0;Machine 03
47;0;2023-01-01 00:00:00;2023-01-01 04:57:00;0.0;297.0;Machine 22
48;0;2023-01-01 11:53:00;2023-01-01 16:50:00;713.0;1010.0;Machine 22
49;0;2023-01-01 00:00:00;2023-01-01 01:33:00;0.0;93.0;Machine 12
50;0;2023-01-01 06:48:00;2023-01-02 22:48:00;408.0;2808.0;Machine 14
51;0;2023-01-01 10:36:00;2023-01-03 06:52:00;636.0;3292.0;Machine 05
52;0;2023-01-01 00:00:00;2023-01-01 09:12:00;0.0;552.0;Machine 19
53;0;2023-01-01 05:52:00;2023-01-01 20:10:00;352.0;1210.0;Machine 16
54;0;2023-01-01 10:06:00;2023-01-02 11:16:00;606.0;2116.0;Machine 09
55;0;2023-01-01 00:00:00;2023-01-01 10:00:00;0.0;600.0;Machine 09
56;0;2023-01-01 00:00:00;2023-01-01 00:40:00;0.0;40.0;Machine 34
57;0;2023-01-01 00:00:00;2023-01-01 03:16:00;0.0;196.0;Machine 17
58;0;2023-01-01 00:00:00;2023-01-01 19:36:00;0.0;1176.0;Machine 29
59;0;2023-01-01 22:28:00;2023-01-02 15:54:00;1348.0;2394.0;Machine 35
60;0;2023-01-01 00:00:00;2023-01-01 19:26:00;0.0;1166.0;Machine 33
61;0;2023-01-02 09:42:00;2023-01-02 14:19:00;2022.0;2299.0;Machine 08
62;0;2023-01-01 00:00:00;2023-01-01 00:40:00;0.0;40.0;Machine 01
63;0;2023-01-01 22:28:00;2023-01-01 22:59:00;1348.0;1379.0;Machine 01
64;0;2023-01-01 00:00:00;2023-01-01 04:33:00;0.0;273.0;Machine 15
65;0;2023-01-01 02:59:00;2023-01-01 18:43:00;179.0;1123.0;Machine 18
66;0;2023-01-01 10:46:00;2023-01-02 05:46:00;646.0;1786.0;Machine 08
67;0;2023-01-01 00:00:00;2023-01-01 02:59:00;0.0;179.0;Machine 18
68;0;2023-01-01 00:00:00;2023-01-01 02:52:00;0.0;172.0;Machine 05
