name;value
Z_FO;34533.0
b[job:0, stage:0, machine:1];0.0
b[job:0, stage:1, machine:2];0.0
b[job:0, stage:2, machine:3];0.0
b[job:0, stage:3, machine:4];0.0
b[job:0, stage:4, machine:5];1.0
b[job:1, stage:0, machine:1];0.0
b[job:1, stage:1, machine:4];0.0
b[job:1, stage:2, machine:3];0.0
b[job:1, stage:3, machine:5];0.0
b[job:1, stage:4, machine:2];1.0
b[job:2, stage:0, machine:1];0.0
b[job:2, stage:1, machine:5];0.0
b[job:2, stage:2, machine:2];0.0
b[job:2, stage:3, machine:3];0.0
b[job:2, stage:4, machine:4];1.0
b[job:3, stage:0, machine:1];0.0
b[job:3, stage:1, machine:3];0.0
b[job:3, stage:2, machine:2];0.0
b[job:3, stage:3, machine:4];1.0
b[job:4, stage:0, machine:1];0.0
b[job:4, stage:1, machine:3];0.0
b[job:4, stage:2, machine:4];0.0
b[job:4, stage:3, machine:2];0.0
b[job:4, stage:4, machine:4];1.0
startT[job:0, stage:0, machine:1];1454.0
startT[job:0, stage:1, machine:2];2894.0
startT[job:0, stage:2, machine:3];7250.0
startT[job:0, stage:3, machine:4];11553.0
startT[job:0, stage:4, machine:5];12993.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:1, machine:4];1440.0
startT[job:1, stage:2, machine:3];2880.0
startT[job:1, stage:3, machine:5];4320.0
startT[job:1, stage:4, machine:2];5796.0
startT[job:2, stage:0, machine:1];5825.0
startT[job:2, stage:1, machine:5];7265.0
startT[job:2, stage:2, machine:2];10149.0
startT[job:2, stage:3, machine:3];14469.0
startT[job:2, stage:4, machine:4];15909.0
startT[job:3, stage:0, machine:1];7284.0
startT[job:3, stage:1, machine:3];10181.0
startT[job:3, stage:2, machine:2];14483.0
startT[job:3, stage:3, machine:4];17369.0
startT[job:4, stage:0, machine:1];2913.0
startT[job:4, stage:1, machine:3];5793.0
startT[job:4, stage:2, machine:4];7233.0
startT[job:4, stage:3, machine:2];8673.0
startT[job:4, stage:4, machine:4];10113.0
x[job1|stage1:0|0, job2|stage2:0|0];0.0
x[job1|stage1:0|0, job2|stage2:0|1];0.0
x[job1|stage1:0|0, job2|stage2:0|2];0.0
x[job1|stage1:0|0, job2|stage2:0|3];0.0
x[job1|stage1:0|0, job2|stage2:0|4];0.0
x[job1|stage1:0|0, job2|stage2:1|0];1.0
x[job1|stage1:0|0, job2|stage2:1|1];0.0
x[job1|stage1:0|0, job2|stage2:1|2];0.0
x[job1|stage1:0|0, job2|stage2:1|3];0.0
x[job1|stage1:0|0, job2|stage2:1|4];0.0
x[job1|stage1:0|0, job2|stage2:2|0];-0.0
x[job1|stage1:0|0, job2|stage2:2|1];0.0
x[job1|stage1:0|0, job2|stage2:2|2];0.0
x[job1|stage1:0|0, job2|stage2:2|3];0.0
x[job1|stage1:0|0, job2|stage2:2|4];0.0
x[job1|stage1:0|0, job2|stage2:3|0];-0.0
x[job1|stage1:0|0, job2|stage2:3|1];0.0
x[job1|stage1:0|0, job2|stage2:3|2];0.0
x[job1|stage1:0|0, job2|stage2:3|3];0.0
x[job1|stage1:0|0, job2|stage2:4|0];-0.0
x[job1|stage1:0|0, job2|stage2:4|1];0.0
x[job1|stage1:0|0, job2|stage2:4|2];0.0
x[job1|stage1:0|0, job2|stage2:4|3];0.0
x[job1|stage1:0|0, job2|stage2:4|4];0.0
x[job1|stage1:0|1, job2|stage2:0|0];0.0
x[job1|stage1:0|1, job2|stage2:0|1];0.0
x[job1|stage1:0|1, job2|stage2:0|2];0.0
x[job1|stage1:0|1, job2|stage2:0|3];0.0
x[job1|stage1:0|1, job2|stage2:0|4];0.0
x[job1|stage1:0|1, job2|stage2:1|0];0.0
x[job1|stage1:0|1, job2|stage2:1|1];0.0
x[job1|stage1:0|1, job2|stage2:1|2];0.0
x[job1|stage1:0|1, job2|stage2:1|3];0.0
x[job1|stage1:0|1, job2|stage2:1|4];-0.0
x[job1|stage1:0|1, job2|stage2:2|0];0.0
x[job1|stage1:0|1, job2|stage2:2|1];0.0
x[job1|stage1:0|1, job2|stage2:2|2];-0.0
x[job1|stage1:0|1, job2|stage2:2|3];0.0
x[job1|stage1:0|1, job2|stage2:2|4];0.0
x[job1|stage1:0|1, job2|stage2:3|0];0.0
x[job1|stage1:0|1, job2|stage2:3|1];0.0
x[job1|stage1:0|1, job2|stage2:3|2];-0.0
x[job1|stage1:0|1, job2|stage2:3|3];0.0
x[job1|stage1:0|1, job2|stage2:4|0];0.0
x[job1|stage1:0|1, job2|stage2:4|1];0.0
x[job1|stage1:0|1, job2|stage2:4|2];0.0
x[job1|stage1:0|1, job2|stage2:4|3];-0.0
x[job1|stage1:0|1, job2|stage2:4|4];0.0
x[job1|stage1:0|2, job2|stage2:0|0];0.0
x[job1|stage1:0|2, job2|stage2:0|1];0.0
x[job1|stage1:0|2, job2|stage2:0|2];0.0
x[job1|stage1:0|2, job2|stage2:0|3];0.0
x[job1|stage1:0|2, job2|stage2:0|4];0.0
x[job1|stage1:0|2, job2|stage2:1|0];0.0
x[job1|stage1:0|2, job2|stage2:1|1];0.0
x[job1|stage1:0|2, job2|stage2:1|2];1.0
x[job1|stage1:0|2, job2|stage2:1|3];0.0
x[job1|stage1:0|2, job2|stage2:1|4];0.0
x[job1|stage1:0|2, job2|stage2:2|0];0.0
x[job1|stage1:0|2, job2|stage2:2|1];0.0
x[job1|stage1:0|2, job2|stage2:2|2];0.0
x[job1|stage1:0|2, job2|stage2:2|3];-0.0
x[job1|stage1:0|2, job2|stage2:2|4];0.0
x[job1|stage1:0|2, job2|stage2:3|0];0.0
x[job1|stage1:0|2, job2|stage2:3|1];-0.0
x[job1|stage1:0|2, job2|stage2:3|2];0.0
x[job1|stage1:0|2, job2|stage2:3|3];0.0
x[job1|stage1:0|2, job2|stage2:4|0];0.0
x[job1|stage1:0|2, job2|stage2:4|1];1.0
x[job1|stage1:0|2, job2|stage2:4|2];0.0
x[job1|stage1:0|2, job2|stage2:4|3];0.0
x[job1|stage1:0|2, job2|stage2:4|4];0.0
x[job1|stage1:0|3, job2|stage2:0|0];0.0
x[job1|stage1:0|3, job2|stage2:0|1];0.0
x[job1|stage1:0|3, job2|stage2:0|2];0.0
x[job1|stage1:0|3, job2|stage2:0|3];0.0
x[job1|stage1:0|3, job2|stage2:0|4];0.0
x[job1|stage1:0|3, job2|stage2:1|0];0.0
x[job1|stage1:0|3, job2|stage2:1|1];1.0
x[job1|stage1:0|3, job2|stage2:1|2];0.0
x[job1|stage1:0|3, job2|stage2:1|3];0.0
x[job1|stage1:0|3, job2|stage2:1|4];0.0
x[job1|stage1:0|3, job2|stage2:2|0];0.0
x[job1|stage1:0|3, job2|stage2:2|1];0.0
x[job1|stage1:0|3, job2|stage2:2|2];0.0
x[job1|stage1:0|3, job2|stage2:2|3];0.0
x[job1|stage1:0|3, job2|stage2:2|4];-0.0
x[job1|stage1:0|3, job2|stage2:3|0];0.0
x[job1|stage1:0|3, job2|stage2:3|1];0.0
x[job1|stage1:0|3, job2|stage2:3|2];0.0
x[job1|stage1:0|3, job2|stage2:3|3];-0.0
x[job1|stage1:0|3, job2|stage2:4|0];0.0
x[job1|stage1:0|3, job2|stage2:4|1];0.0
x[job1|stage1:0|3, job2|stage2:4|2];1.0
x[job1|stage1:0|3, job2|stage2:4|3];0.0
x[job1|stage1:0|3, job2|stage2:4|4];1.0
x[job1|stage1:0|4, job2|stage2:0|0];0.0
x[job1|stage1:0|4, job2|stage2:0|1];0.0
x[job1|stage1:0|4, job2|stage2:0|2];0.0
x[job1|stage1:0|4, job2|stage2:0|3];0.0
x[job1|stage1:0|4, job2|stage2:0|4];0.0
x[job1|stage1:0|4, job2|stage2:1|0];0.0
x[job1|stage1:0|4, job2|stage2:1|1];0.0
x[job1|stage1:0|4, job2|stage2:1|2];0.0
x[job1|stage1:0|4, job2|stage2:1|3];1.0
x[job1|stage1:0|4, job2|stage2:1|4];0.0
x[job1|stage1:0|4, job2|stage2:2|0];0.0
x[job1|stage1:0|4, job2|stage2:2|1];1.0
x[job1|stage1:0|4, job2|stage2:2|2];0.0
x[job1|stage1:0|4, job2|stage2:2|3];0.0
x[job1|stage1:0|4, job2|stage2:2|4];0.0
x[job1|stage1:0|4, job2|stage2:3|0];0.0
x[job1|stage1:0|4, job2|stage2:3|1];0.0
x[job1|stage1:0|4, job2|stage2:3|2];0.0
x[job1|stage1:0|4, job2|stage2:3|3];0.0
x[job1|stage1:0|4, job2|stage2:4|0];0.0
x[job1|stage1:0|4, job2|stage2:4|1];0.0
x[job1|stage1:0|4, job2|stage2:4|2];0.0
x[job1|stage1:0|4, job2|stage2:4|3];0.0
x[job1|stage1:0|4, job2|stage2:4|4];0.0
x[job1|stage1:1|0, job2|stage2:0|0];0.0
x[job1|stage1:1|0, job2|stage2:0|1];0.0
x[job1|stage1:1|0, job2|stage2:0|2];0.0
x[job1|stage1:1|0, job2|stage2:0|3];0.0
x[job1|stage1:1|0, job2|stage2:0|4];0.0
x[job1|stage1:1|0, job2|stage2:1|0];0.0
x[job1|stage1:1|0, job2|stage2:1|1];0.0
x[job1|stage1:1|0, job2|stage2:1|2];0.0
x[job1|stage1:1|0, job2|stage2:1|3];0.0
x[job1|stage1:1|0, job2|stage2:1|4];0.0
x[job1|stage1:1|0, job2|stage2:2|0];-0.0
x[job1|stage1:1|0, job2|stage2:2|1];0.0
x[job1|stage1:1|0, job2|stage2:2|2];0.0
x[job1|stage1:1|0, job2|stage2:2|3];0.0
x[job1|stage1:1|0, job2|stage2:2|4];0.0
x[job1|stage1:1|0, job2|stage2:3|0];-0.0
x[job1|stage1:1|0, job2|stage2:3|1];0.0
x[job1|stage1:1|0, job2|stage2:3|2];0.0
x[job1|stage1:1|0, job2|stage2:3|3];0.0
x[job1|stage1:1|0, job2|stage2:4|0];-0.0
x[job1|stage1:1|0, job2|stage2:4|1];0.0
x[job1|stage1:1|0, job2|stage2:4|2];0.0
x[job1|stage1:1|0, job2|stage2:4|3];0.0
x[job1|stage1:1|0, job2|stage2:4|4];0.0
x[job1|stage1:1|1, job2|stage2:0|0];0.0
x[job1|stage1:1|1, job2|stage2:0|1];0.0
