name;value
Z_FO;6093.0
b[job:0, stage:0, machine:1];0.0
b[job:0, stage:0, machine:2];0.0
b[job:0, stage:0, machine:3];0.0
b[job:0, stage:1, machine:2];0.0
b[job:0, stage:1, machine:4];0.0
b[job:0, stage:1, machine:7];0.0
b[job:0, stage:2, machine:4];0.0
b[job:0, stage:2, machine:5];0.0
b[job:0, stage:2, machine:7];0.0
b[job:0, stage:3, machine:7];0.0
b[job:0, stage:3, machine:8];1.0
b[job:1, stage:0, machine:1];0.0
b[job:1, stage:0, machine:3];0.0
b[job:1, stage:1, machine:2];0.0
b[job:1, stage:1, machine:3];0.0
b[job:1, stage:2, machine:5];0.0
b[job:1, stage:2, machine:6];0.0
b[job:1, stage:2, machine:7];0.0
b[job:1, stage:3, machine:5];0.0
b[job:1, stage:3, machine:8];1.0
b[job:2, stage:0, machine:1];0.0
b[job:2, stage:0, machine:2];0.0
b[job:2, stage:1, machine:3];0.0
b[job:2, stage:1, machine:4];0.0
b[job:2, stage:1, machine:7];0.0
b[job:2, stage:2, machine:4];0.0
b[job:2, stage:2, machine:5];0.0
b[job:2, stage:2, machine:6];0.0
b[job:2, stage:3, machine:6];1.0
b[job:2, stage:3, machine:8];0.0
b[job:3, stage:0, machine:1];0.0
b[job:3, stage:0, machine:2];0.0
b[job:3, stage:1, machine:3];0.0
b[job:3, stage:1, machine:5];0.0
b[job:3, stage:2, machine:4];0.0
b[job:3, stage:2, machine:6];0.0
b[job:3, stage:3, machine:5];0.0
b[job:3, stage:3, machine:6];1.0
b[job:4, stage:0, machine:1];0.0
b[job:4, stage:0, machine:2];0.0
b[job:4, stage:0, machine:3];0.0
b[job:4, stage:1, machine:4];0.0
b[job:4, stage:1, machine:5];0.0
b[job:4, stage:1, machine:7];0.0
b[job:4, stage:2, machine:2];0.0
b[job:4, stage:2, machine:5];0.0
b[job:4, stage:2, machine:6];0.0
b[job:4, stage:3, machine:6];0.0
b[job:4, stage:3, machine:8];1.0
b[job:5, stage:0, machine:2];0.0
b[job:5, stage:0, machine:3];0.0
b[job:5, stage:0, machine:4];0.0
b[job:5, stage:1, machine:3];0.0
b[job:5, stage:1, machine:4];0.0
b[job:5, stage:1, machine:5];0.0
b[job:5, stage:2, machine:5];0.0
b[job:5, stage:2, machine:6];0.0
b[job:5, stage:2, machine:7];0.0
b[job:5, stage:3, machine:4];0.0
b[job:5, stage:3, machine:7];1.0
b[job:6, stage:0, machine:2];0.0
b[job:6, stage:0, machine:3];0.0
b[job:6, stage:1, machine:3];0.0
b[job:6, stage:1, machine:5];0.0
b[job:6, stage:2, machine:5];0.0
b[job:6, stage:2, machine:6];0.0
b[job:6, stage:2, machine:7];0.0
b[job:6, stage:3, machine:5];1.0
b[job:6, stage:3, machine:8];0.0
b[job:7, stage:0, machine:3];0.0
b[job:7, stage:0, machine:4];0.0
b[job:7, stage:1, machine:5];0.0
b[job:7, stage:1, machine:6];0.0
b[job:7, stage:2, machine:5];0.0
b[job:7, stage:2, machine:6];0.0
b[job:7, stage:2, machine:7];0.0
b[job:7, stage:3, machine:7];0.0
b[job:7, stage:3, machine:8];1.0
b[job:8, stage:0, machine:2];0.0
b[job:8, stage:0, machine:3];0.0
b[job:8, stage:1, machine:3];0.0
b[job:8, stage:1, machine:4];0.0
b[job:8, stage:2, machine:5];0.0
b[job:8, stage:2, machine:7];0.0
b[job:8, stage:3, machine:6];0.0
b[job:8, stage:3, machine:8];1.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:3];0.0
startT[job:0, stage:1, machine:2];0.0
startT[job:0, stage:1, machine:4];0.0
startT[job:0, stage:1, machine:7];100.0
startT[job:0, stage:2, machine:4];0.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:7];240.0
startT[job:0, stage:3, machine:7];0.0
startT[job:0, stage:3, machine:8];443.0
startT[job:1, stage:0, machine:1];204.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:1, machine:2];418.0
startT[job:1, stage:1, machine:3];0.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];484.0
startT[job:1, stage:2, machine:7];0.0
startT[job:1, stage:3, machine:5];0.0
startT[job:1, stage:3, machine:8];607.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:1, machine:3];0.0
startT[job:2, stage:1, machine:4];62.0
startT[job:2, stage:1, machine:7];0.0
startT[job:2, stage:2, machine:4];0.0
startT[job:2, stage:2, machine:5];189.0
startT[job:2, stage:2, machine:6];0.0
startT[job:2, stage:3, machine:6];289.0
startT[job:2, stage:3, machine:8];0.0
startT[job:3, stage:0, machine:1];439.0
startT[job:3, stage:0, machine:2];0.0
startT[job:3, stage:1, machine:3];0.0
startT[job:3, stage:1, machine:5];528.0
startT[job:3, stage:2, machine:4];701.0
startT[job:3, stage:2, machine:6];0.0
startT[job:3, stage:3, machine:5];0.0
startT[job:3, stage:3, machine:6];846.0
startT[job:4, stage:0, machine:1];0.0
startT[job:4, stage:0, machine:2];0.0
startT[job:4, stage:0, machine:3];0.0
startT[job:4, stage:1, machine:4];0.0
startT[job:4, stage:1, machine:5];128.0
startT[job:4, stage:1, machine:7];0.0
startT[job:4, stage:2, machine:2];0.0
startT[job:4, stage:2, machine:5];0.0
startT[job:4, stage:2, machine:6];175.0
startT[job:4, stage:3, machine:6];0.0
startT[job:4, stage:3, machine:8];260.0
startT[job:5, stage:0, machine:2];85.0
startT[job:5, stage:0, machine:3];0.0
startT[job:5, stage:0, machine:4];0.0
startT[job:5, stage:1, machine:3];270.0
startT[job:5, stage:1, machine:4];0.0
startT[job:5, stage:1, machine:5];0.0
startT[job:5, stage:2, machine:5];393.0
startT[job:5, stage:2, machine:6];0.0
startT[job:5, stage:2, machine:7];0.0
startT[job:5, stage:3, machine:4];0.0
startT[job:5, stage:3, machine:7];513.0
startT[job:6, stage:0, machine:2];0.0
