,instance,status,obj,model time (s),total time (s)
0,Fattahi_setup_01_modified_deadline,2,80.0,0.06299996376037598,0.1052083969116211
0,Fattahi_setup_02_modified_deadline,2,132.0,0.01100015640258789,0.020683765411376953
0,Fattahi_setup_03_modified_deadline,2,445.0,0.021999835968017578,0.037711381912231445
0,Fattahi_setup_04_modified_deadline,2,653.0,0.020999908447265625,0.03322315216064453
0,Fattahi_setup_05_modified_deadline,2,221.0,0.03099989891052246,0.04591941833496094
0,Fattahi_setup_06_modified_deadline,2,626.0,0.043000221252441406,0.05800890922546387
0,Fattahi_setup_07_modified_deadline,2,696.0,0.017999887466430664,0.03288865089416504
0,Fattahi_setup_08_modified_deadline,2,519.0,0.08099985122680664,0.09730911254882812
0,Fattahi_setup_09_modified_deadline,2,443.0,0.08499979972839355,0.10524368286132812
0,Fattahi_setup_10_modified_deadline,2,1599.0,0.04999995231628418,0.0698692798614502
0,Fattahi_setup_11_modified_deadline,2,1703.0,0.437999963760376,0.46495866775512695
0,Fattahi_setup_12_modified_deadline,2,1620.0,0.6630001068115234,0.6961677074432373
0,Fattahi_setup_13_modified_deadline,2,2078.0,8.520999908447266,8.562187910079956
0,Fattahi_setup_14_modified_deadline,2,2741.0,45.30399990081787,45.360217332839966
0,Fattahi_setup_15_modified_deadline,2,2714.0,35.125,35.183720111846924
0,Fattahi_setup_16_modified_deadline,11,3615.0,62.486000061035156,62.550179958343506
0,Fattahi_setup_01_modified_deadline,2,80.0,0.009000062942504883,0.019873857498168945
0,Fattahi_setup_02_modified_deadline,2,132.0,0.003999948501586914,0.011513948440551758
0,Fattahi_setup_03_modified_deadline,2,445.0,0.013000011444091797,0.021026611328125
0,Fattahi_setup_04_modified_deadline,2,653.0,0.009999990463256836,0.019686222076416016
0,Fattahi_setup_05_modified_deadline,2,221.0,0.026000022888183594,0.03667926788330078
0,Fattahi_setup_06_modified_deadline,2,626.0,0.03399991989135742,0.04606032371520996
0,Fattahi_setup_07_modified_deadline,2,696.0,0.009999990463256836,0.022641420364379883
0,Fattahi_setup_08_modified_deadline,2,519.0,0.05800008773803711,0.0710914134979248
0,Fattahi_setup_09_modified_deadline,2,443.0,0.07200002670288086,0.08677005767822266
0,Fattahi_setup_10_modified_deadline,2,1599.0,0.03900003433227539,0.05544161796569824
0,Fattahi_setup_11_modified_deadline,2,1703.0,0.4100000858306885,0.43355727195739746
0,Fattahi_setup_12_modified_deadline,2,1620.0,0.6099998950958252,0.6403255462646484
0,Fattahi_setup_13_modified_deadline,2,2078.0,8.848999977111816,8.886911869049072
0,Fattahi_setup_14_modified_deadline,2,2741.0,45.860000133514404,45.90933084487915
0,Fattahi_setup_15_modified_deadline,2,2714.0,36.62599992752075,36.67775917053223
0,Fattahi_setup_16_modified_deadline,2,3600.0,763.6059999465942,763.6708843708038
0,Fattahi_setup_17_modified_deadline,9,5290.0,10800.425999879837,10800.521978378296
0,Fattahi_setup_18_modified_deadline,9,6088.0,10801.96799993515,10811.84205031395
0,Fattahi_setup_19_modified_deadline,9,8785.0,10802.15799999237,10822.6335003376
0,Fattahi_setup_20_modified_deadline,9,10256.0,10801.338000059128,10821.359366893768
