Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 01:21:00;2023-01-01 05:04:00;81.0;304.0;Machine 02
0;1;2023-01-01 05:04:00;2023-01-01 07:07:00;304.0;427.0;Machine 07
0;2;2023-01-01 07:07:00;2023-01-01 09:37:00;427.0;577.0;Machine 04
1;0;2023-01-01 00:12:00;2023-01-01 02:42:00;12.0;162.0;Machine 03
1;1;2023-01-01 03:01:00;2023-01-01 04:28:00;181.0;268.0;Machine 03
1;2;2023-01-01 04:36:00;2023-01-01 06:11:00;276.0;371.0;Machine 06
2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;0.0;62.0;Machine 02
2;1;2023-01-01 01:02:00;2023-01-01 03:27:00;62.0;207.0;Machine 07
2;2;2023-01-01 03:27:00;2023-01-01 05:07:00;207.0;307.0;Machine 05
3;0;2023-01-01 06:35:00;2023-01-01 07:40:00;395.0;460.0;Machine 02
3;1;2023-01-01 07:40:00;2023-01-01 10:33:00;460.0;633.0;Machine 05
3;2;2023-01-01 10:33:00;2023-01-01 12:49:00;633.0;769.0;Machine 06
4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0.0;128.0;Machine 01
4;1;2023-01-01 02:08:00;2023-01-01 02:55:00;128.0;175.0;Machine 05
4;2;2023-01-01 02:55:00;2023-01-01 04:20:00;175.0;260.0;Machine 06
5;0;2023-01-01 00:08:00;2023-01-01 02:42:00;8.0;162.0;Machine 04
5;1;2023-01-01 02:55:00;2023-01-01 05:25:00;175.0;325.0;Machine 04
5;2;2023-01-01 05:25:00;2023-01-01 07:25:00;325.0;445.0;Machine 05
6;0;2023-01-01 02:22:00;2023-01-01 04:59:00;142.0;299.0;Machine 01
6;1;2023-01-01 04:59:00;2023-01-01 07:03:00;299.0;423.0;Machine 03
6;2;2023-01-01 07:03:00;2023-01-01 09:48:00;423.0;588.0;Machine 06
