name;value
Z_FO;443.0
b[job:0, stage:0, machine:1];0.0
b[job:0, stage:0, machine:2];0.0
b[job:0, stage:1, machine:1];0.0
b[job:0, stage:1, machine:2];1.0
b[job:0, stage:2, machine:2];1.0
b[job:0, stage:2, machine:3];0.0
b[job:1, stage:0, machine:1];1.0
b[job:1, stage:0, machine:3];0.0
b[job:1, stage:1, machine:1];1.0
b[job:1, stage:1, machine:2];0.0
b[job:1, stage:2, machine:2];0.0
b[job:1, stage:2, machine:3];1.0
b[job:2, stage:0, machine:1];1.0
b[job:2, stage:0, machine:2];0.0
b[job:2, stage:1, machine:2];0.0
b[job:2, stage:1, machine:3];1.0
b[job:2, stage:2, machine:2];1.0
b[job:2, stage:2, machine:3];0.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];11.0
startT[job:0, stage:1, machine:1];0.0
startT[job:0, stage:1, machine:2];41.0
startT[job:0, stage:2, machine:2];77.0
startT[job:0, stage:2, machine:3];0.0
startT[job:1, stage:0, machine:1];55.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:1, machine:1];92.0
startT[job:1, stage:1, machine:2];0.0
startT[job:1, stage:2, machine:2];0.0
startT[job:1, stage:2, machine:3];142.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:1, machine:2];0.0
startT[job:2, stage:1, machine:3];50.0
startT[job:2, stage:2, machine:2];134.0
startT[job:2, stage:2, machine:3];0.0
x[job1|stage1:0|0, job2|stage2:0|0];0.0
x[job1|stage1:0|0, job2|stage2:0|1];0.0
x[job1|stage1:0|0, job2|stage2:0|2];0.0
x[job1|stage1:0|0, job2|stage2:1|0];0.0
x[job1|stage1:0|0, job2|stage2:1|1];0.0
x[job1|stage1:0|0, job2|stage2:1|2];0.0
x[job1|stage1:0|0, job2|stage2:2|0];0.0
x[job1|stage1:0|0, job2|stage2:2|1];0.0
x[job1|stage1:0|0, job2|stage2:2|2];0.0
x[job1|stage1:0|1, job2|stage2:0|0];0.0
x[job1|stage1:0|1, job2|stage2:0|1];0.0
x[job1|stage1:0|1, job2|stage2:0|2];0.0
x[job1|stage1:0|1, job2|stage2:1|0];0.0
x[job1|stage1:0|1, job2|stage2:1|1];1.0
