Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-09 22:24:00;2023-01-10 06:24:00;12864.0;13344.0;Machine 18
0;1;2023-01-09 02:24:00;2023-01-09 22:24:00;11664.0;12864.0;Machine 13
0;2;2023-01-07 17:41:00;2023-01-08 21:41:00;9701.0;11381.0;Machine 09
0;3;2023-01-05 19:24:00;2023-01-06 15:24:00;6924.0;8124.0;Machine 10
0;4;2023-01-04 21:59:00;2023-01-05 09:59:00;5639.0;6359.0;Machine 07
0;5;2023-01-04 13:59:00;2023-01-04 21:59:00;5159.0;5639.0;Machine 12
0;6;2023-01-03 16:00:00;2023-01-04 08:00:00;3840.0;4800.0;Machine 20
1;0;2023-01-05 13:47:00;2023-01-05 16:47:00;6587.0;6767.0;Machine 18
1;1;2023-01-04 19:29:00;2023-01-05 03:29:00;5489.0;5969.0;Machine 17
1;2;2023-01-04 13:29:00;2023-01-04 19:29:00;5129.0;5489.0;Machine 08
1;3;2023-01-04 11:29:00;2023-01-04 13:29:00;5009.0;5129.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 07
2;0;2023-01-15 12:08:00;2023-01-16 00:08:00;20888.0;21608.0;Machine 18
2;1;2023-01-13 11:27:00;2023-01-15 11:27:00;17967.0;20847.0;Machine 17
2;2;2023-01-10 11:27:00;2023-01-13 11:27:00;13647.0;17967.0;Machine 15
2;3;2023-01-07 10:53:00;2023-01-08 22:53:00;9293.0;11453.0;Machine 10
2;4;2023-01-06 15:05:00;2023-01-07 03:05:00;8105.0;8825.0;Machine 09
2;5;2023-01-05 15:23:00;2023-01-06 09:23:00;6683.0;7763.0;Machine 06
2;6;2023-01-05 09:23:00;2023-01-05 15:23:00;6323.0;6683.0;Machine 12
2;7;2023-01-04 09:23:00;2023-01-05 09:23:00;4883.0;6323.0;Machine 19
2;8;2023-01-03 21:48:00;2023-01-05 09:48:00;4188.0;6348.0;Machine 04
2;9;2023-01-03 03:48:00;2023-01-03 21:48:00;3108.0;4188.0;Machine 03
2;10;2023-01-01 18:00:00;2023-01-03 00:00:00;1080.0;2880.0;Machine 00
