name;value
Z_FO;521385.0
s[j0_l0_i18];21962.0
s[j0_l1_i13];20762.0
s[j0_l1_i14];0.0
s[j0_l2_i9];19082.0
s[j0_l3_i10];13337.0
s[j0_l3_i11];0.0
s[j0_l4_i5];0.0
s[j0_l4_i6];12617.0
s[j0_l4_i7];0.0
s[j0_l4_i8];0.0
s[j0_l5_i12];12137.0
s[j0_l6_i19];0.0
s[j0_l6_i20];11084.0
s[j10_l0_i18];8502.0
s[j10_l1_i19];0.0
s[j10_l1_i20];7757.0
s[j11_l0_i18];10379.0
s[j11_l1_i13];0.0
s[j11_l1_i14];9779.0
s[j11_l2_i9];8939.0
s[j11_l3_i10];0.0
s[j11_l3_i11];8339.0
s[j11_l4_i5];0.0
s[j11_l4_i6];7979.0
s[j11_l4_i7];0.0
s[j11_l4_i8];0.0
s[j11_l5_i12];7739.0
s[j11_l6_i19];0.0
s[j11_l6_i20];7259.0
s[j12_l0_i18];17831.0
s[j12_l10_i0];540.0
s[j12_l10_i1];0.0
s[j12_l10_i2];0.0
s[j12_l10_i3];0.0
s[j12_l11_i3];0.0
s[j12_l1_i17];16391.0
s[j12_l2_i15];0.0
s[j12_l2_i16];14231.0
s[j12_l3_i10];0.0
s[j12_l3_i11];13151.0
s[j12_l4_i9];12431.0
s[j12_l5_i5];0.0
s[j12_l5_i6];11891.0
s[j12_l5_i7];0.0
s[j12_l5_i8];0.0
s[j12_l6_i12];11306.0
s[j12_l7_i19];10481.0
s[j12_l7_i20];0.0
s[j12_l8_i4];2255.0
s[j12_l9_i3];1715.0
s[j13_l0_i18];6960.0
s[j13_l1_i19];6240.0
s[j13_l1_i20];0.0
s[j14_l0_i18];8028.0
s[j14_l1_i13];0.0
s[j14_l1_i14];7565.0
s[j14_l2_i9];7145.0
s[j14_l3_i10];0.0
s[j14_l3_i11];6780.0
s[j14_l4_i5];6600.0
s[j14_l4_i6];0.0
s[j14_l4_i7];0.0
s[j14_l4_i8];0.0
s[j14_l5_i12];6480.0
s[j14_l6_i19];0.0
s[j14_l6_i20];6240.0
s[j15_l0_i18];11496.0
s[j15_l10_i0];0.0
s[j15_l10_i1];6024.0
s[j15_l10_i2];0.0
s[j15_l10_i3];0.0
s[j15_l11_i3];5664.0
s[j15_l1_i17];10536.0
s[j15_l2_i15];0.0
s[j15_l2_i16];8604.0
s[j15_l3_i10];0.0
s[j15_l3_i11];7139.0
s[j15_l4_i9];6659.0
s[j15_l5_i5];0.0
s[j15_l5_i6];0.0
s[j15_l5_i7];0.0
s[j15_l5_i8];5567.0
s[j15_l6_i12];5280.0
s[j15_l7_i19];0.0
s[j15_l7_i20];4800.0
s[j15_l8_i4];7884.0
s[j15_l9_i3];6996.0
s[j16_l0_i18];10660.0
s[j16_l1_i13];10205.0
s[j16_l1_i14];0.0
s[j16_l2_i9];9785.0
s[j16_l3_i10];8988.0
s[j16_l3_i11];0.0
s[j16_l4_i5];8808.0
s[j16_l4_i6];0.0
s[j16_l4_i7];0.0
s[j16_l4_i8];0.0
s[j16_l5_i12];8688.0
s[j16_l6_i19];8448.0
s[j16_l6_i20];0.0
s[j17_l0_i18];7740.0
s[j17_l1_i19];6984.0
s[j17_l1_i20];0.0
s[j18_l0_i18];12492.0
s[j18_l10_i0];0.0
s[j18_l10_i1];0.0
s[j18_l10_i2];6600.0
s[j18_l10_i3];0.0
s[j18_l11_i3];6240.0
s[j18_l1_i17];11532.0
s[j18_l2_i15];0.0
s[j18_l2_i16];10092.0
s[j18_l3_i10];8209.0
s[j18_l3_i11];0.0
s[j18_l4_i9];7583.0
s[j18_l5_i5];4979.0
s[j18_l5_i6];0.0
s[j18_l5_i7];0.0
s[j18_l5_i8];0.0
s[j18_l6_i12];4859.0
s[j18_l7_i19];4127.0
s[j18_l7_i20];0.0
s[j18_l8_i4];8616.0
s[j18_l9_i3];8256.0
s[j19_l0_i18];8172.0
s[j19_l1_i17];7668.0
s[j19_l2_i5];7308.0
s[j19_l2_i6];0.0
s[j19_l2_i7];0.0
s[j19_l2_i8];0.0
s[j19_l3_i12];7049.0
s[j19_l4_i10];0.0
s[j19_l4_i11];6480.0
s[j19_l5_i5];0.0
s[j19_l5_i6];6240.0
s[j19_l5_i7];0.0
s[j19_l5_i8];0.0
s[j1_l0_i18];5220.0
s[j1_l1_i17];4740.0
s[j1_l2_i5];0.0
s[j1_l2_i6];4380.0
s[j1_l2_i7];0.0
s[j1_l2_i8];0.0
s[j1_l3_i12];4260.0
s[j1_l4_i10];4080.0
s[j1_l4_i11];0.0
s[j1_l5_i5];3840.0
s[j1_l5_i6];0.0
s[j1_l5_i7];0.0
s[j1_l5_i8];0.0
s[j20_l0_i18];5418.0
s[j20_l1_i13];0.0
s[j20_l1_i14];5100.0
s[j20_l2_i9];4680.0
s[j20_l3_i10];0.0
s[j20_l3_i11];4380.0
s[j20_l4_i5];4200.0
s[j20_l4_i6];0.0
s[j20_l4_i7];0.0
s[j20_l4_i8];0.0
s[j20_l5_i12];4080.0
s[j20_l6_i19];3840.0
s[j20_l6_i20];0.0
s[j21_l0_i18];7212.0
s[j21_l1_i19];0.0
s[j21_l1_i20];6492.0
s[j22_l0_i18];8436.0
s[j22_l1_i19];7716.0
s[j22_l1_i20];0.0
s[j23_l0_i18];18827.0
s[j23_l10_i0];0.0
s[j23_l10_i1];0.0
s[j23_l10_i2];12840.0
s[j23_l10_i3];0.0
s[j23_l11_i3];12480.0
s[j23_l1_i17];17867.0
s[j23_l2_i15];0.0
s[j23_l2_i16];16421.0
s[j23_l3_i10];0.0
s[j23_l3_i11];15424.0
s[j23_l4_i9];14944.0
s[j23_l5_i5];0.0
s[j23_l5_i6];0.0
s[j23_l5_i7];0.0
s[j23_l5_i8];12101.0
s[j23_l6_i12];11981.0
s[j23_l7_i19];11501.0
s[j23_l7_i20];0.0
s[j23_l8_i4];13800.0
s[j23_l9_i3];13440.0
s[j24_l0_i18];7296.0
s[j24_l1_i17];6696.0
s[j24_l2_i5];6187.0
s[j24_l2_i6];0.0
s[j24_l2_i7];0.0
s[j24_l2_i8];0.0
s[j24_l3_i12];5970.0
s[j24_l4_i10];0.0
s[j24_l4_i11];5790.0
