Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-13 17:09:00;2023-01-14 01:09:00;18309.0;18789.0;Machine 18
0;1;2023-01-12 21:09:00;2023-01-13 17:09:00;17109.0;18309.0;Machine 14
0;2;2023-01-11 17:09:00;2023-01-12 21:09:00;15429.0;17109.0;Machine 09
0;3;2023-01-06 20:11:00;2023-01-07 16:11:00;8411.0;9611.0;Machine 10
0;4;2023-01-06 08:11:00;2023-01-06 20:11:00;7691.0;8411.0;Machine 06
0;5;2023-01-06 00:11:00;2023-01-06 08:11:00;7211.0;7691.0;Machine 12
0;6;2023-01-04 13:35:00;2023-01-05 05:35:00;5135.0;6095.0;Machine 20
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 08
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 07
2;0;2023-01-16 05:50:00;2023-01-16 17:50:00;21950.0;22670.0;Machine 18
2;1;2023-01-14 05:50:00;2023-01-16 05:50:00;19070.0;21950.0;Machine 17
2;2;2023-01-11 05:50:00;2023-01-14 05:50:00;14750.0;19070.0;Machine 15
2;3;2023-01-08 20:28:00;2023-01-10 08:28:00;11308.0;13468.0;Machine 10
2;4;2023-01-08 08:28:00;2023-01-08 20:28:00;10588.0;11308.0;Machine 09
2;5;2023-01-07 05:17:00;2023-01-07 23:17:00;8957.0;10037.0;Machine 06
2;6;2023-01-05 10:35:00;2023-01-05 16:35:00;6395.0;6755.0;Machine 12
2;7;2023-01-03 20:06:00;2023-01-04 20:06:00;4086.0;5526.0;Machine 19
2;8;2023-01-03 21:48:00;2023-01-05 09:48:00;4188.0;6348.0;Machine 04
2;9;2023-01-03 03:48:00;2023-01-03 21:48:00;3108.0;4188.0;Machine 03
2;10;2023-01-01 18:00:00;2023-01-03 00:00:00;1080.0;2880.0;Machine 01
2;11;2023-01-01 00:00:00;2023-01-01 18:00:00;0.0;1080.0;Machine 03
3;0;2023-01-05 21:36:00;2023-01-06 01:36:00;7056.0;7296.0;Machine 18
3;1;2023-01-05 11:06:00;2023-01-05 21:06:00;6426.0;7026.0;Machine 13
3;2;2023-01-04 21:06:00;2023-01-05 11:06:00;5586.0;6426.0;Machine 09
3;3;2023-01-04 11:06:00;2023-01-04 21:06:00;4986.0;5586.0;Machine 11
3;4;2023-01-04 05:06:00;2023-01-04 11:06:00;4626.0;4986.0;Machine 05
3;5;2023-01-04 01:06:00;2023-01-04 05:06:00;4386.0;4626.0;Machine 12
3;6;2023-01-03 16:00:00;2023-01-04 00:00:00;3840.0;4320.0;Machine 20
4;0;2023-01-03 20:00:00;2023-01-04 00:00:00;4080.0;4320.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 13
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00;2040.0;2640.0;Machine 11
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00;1680.0;2040.0;Machine 07
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 20
