Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-16 10:25:00;2023-01-16 18:25:00;22225.0;22705.0;Machine 18
0;1;2023-01-15 14:25:00;2023-01-16 10:25:00;21025.0;22225.0;Machine 13
0;2;2023-01-14 10:25:00;2023-01-15 14:25:00;19345.0;21025.0;Machine 09
0;3;2023-01-05 21:47:00;2023-01-06 17:47:00;7067.0;8267.0;Machine 10
0;4;2023-01-05 09:47:00;2023-01-05 21:47:00;6347.0;7067.0;Machine 05
0;5;2023-01-05 01:47:00;2023-01-05 09:47:00;5867.0;6347.0;Machine 12
0;6;2023-01-04 08:42:00;2023-01-05 00:42:00;4842.0;5802.0;Machine 19
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 08
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 06
2;0;2023-01-17 06:20:00;2023-01-17 18:20:00;23420.0;24140.0;Machine 18
2;1;2023-01-15 06:20:00;2023-01-17 06:20:00;20540.0;23420.0;Machine 17
2;2;2023-01-08 13:03:00;2023-01-11 13:03:00;10863.0;15183.0;Machine 16
2;3;2023-01-07 01:03:00;2023-01-08 13:03:00;8703.0;10863.0;Machine 11
2;4;2023-01-06 12:41:00;2023-01-07 00:41:00;7961.0;8681.0;Machine 09
2;5;2023-01-05 18:41:00;2023-01-06 12:41:00;6881.0;7961.0;Machine 08
2;6;2023-01-05 12:41:00;2023-01-05 18:41:00;6521.0;6881.0;Machine 12
2;7;2023-01-04 00:36:00;2023-01-05 00:36:00;4356.0;5796.0;Machine 20
2;8;2023-01-04 03:36:00;2023-01-05 15:36:00;4536.0;6696.0;Machine 04
2;9;2023-01-03 09:36:00;2023-01-04 03:36:00;3456.0;4536.0;Machine 03
2;10;2023-01-02 03:36:00;2023-01-03 09:36:00;1656.0;3456.0;Machine 02
2;11;2023-01-01 09:36:00;2023-01-02 03:36:00;576.0;1656.0;Machine 03
3;0;2023-01-06 06:04:00;2023-01-06 10:04:00;7564.0;7804.0;Machine 18
3;1;2023-01-05 20:04:00;2023-01-06 06:04:00;6964.0;7564.0;Machine 13
3;2;2023-01-05 06:04:00;2023-01-05 20:04:00;6124.0;6964.0;Machine 09
3;3;2023-01-04 18:18:00;2023-01-05 04:18:00;5418.0;6018.0;Machine 11
3;4;2023-01-04 12:18:00;2023-01-04 18:18:00;5058.0;5418.0;Machine 05
3;5;2023-01-04 08:18:00;2023-01-04 12:18:00;4818.0;5058.0;Machine 12
3;6;2023-01-04 00:18:00;2023-01-04 08:18:00;4338.0;4818.0;Machine 19
4;0;2023-01-03 20:00:00;2023-01-04 00:00:00;4080.0;4320.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00;2040.0;2640.0;Machine 10
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00;1680.0;2040.0;Machine 05
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 19
5;0;2023-01-07 23:45:00;2023-01-08 03:45:00;10065.0;10305.0;Machine 18
5;1;2023-01-07 04:40:00;2023-01-07 20:40:00;8920.0;9880.0;Machine 17
5;2;2023-01-06 04:29:00;2023-01-07 04:29:00;7469.0;8909.0;Machine 16
5;3;2023-01-02 00:00:00;2023-01-02 12:00:00;1440.0;2160.0;Machine 11
5;4;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 09
5;5;2023-01-01 10:00:00;2023-01-01 16:00:00;600.0;960.0;Machine 07
5;6;2023-01-01 08:00:00;2023-01-01 10:00:00;480.0;600.0;Machine 12
5;7;2023-01-01 00:00:00;2023-01-01 08:00:00;0.0;480.0;Machine 20
5;8;2023-01-05 16:29:00;2023-01-06 04:29:00;6749.0;7469.0;Machine 04
5;9;2023-01-05 08:00:00;2023-01-05 14:00:00;6240.0;6600.0;Machine 03
5;10;2023-01-04 22:00:00;2023-01-05 08:00:00;5640.0;6240.0;Machine 02
5;11;2023-01-04 16:00:00;2023-01-04 22:00:00;5280.0;5640.0;Machine 03
6;0;2023-01-06 19:58:00;2023-01-06 22:58:00;8398.0;8578.0;Machine 18
6;1;2023-01-06 11:58:00;2023-01-06 19:58:00;7918.0;8398.0;Machine 17
6;2;2023-01-06 04:47:00;2023-01-06 10:47:00;7487.0;7847.0;Machine 05
6;3;2023-01-06 02:47:00;2023-01-06 04:47:00;7367.0;7487.0;Machine 12
6;4;2023-01-04 23:06:00;2023-01-05 02:06:00;5706.0;5886.0;Machine 10
6;5;2023-01-04 16:00:00;2023-01-04 20:00:00;5280.0;5520.0;Machine 07
7;0;2023-01-05 15:00:00;2023-01-05 18:00:00;6660.0;6840.0;Machine 18
7;1;2023-01-05 07:00:00;2023-01-05 15:00:00;6180.0;6660.0;Machine 17
7;2;2023-01-05 01:00:00;2023-01-05 07:00:00;5820.0;6180.0;Machine 06
7;3;2023-01-04 23:00:00;2023-01-05 01:00:00;5700.0;5820.0;Machine 12
7;4;2023-01-04 20:00:00;2023-01-04 23:00:00;5520.0;5700.0;Machine 10
7;5;2023-01-04 16:00:00;2023-01-04 20:00:00;5280.0;5520.0;Machine 08
8;0;2023-01-04 18:59:00;2023-01-04 20:59:00;5459.0;5579.0;Machine 18
8;1;2023-01-04 13:00:00;2023-01-04 18:00:00;5100.0;5400.0;Machine 14
8;2;2023-01-04 06:00:00;2023-01-04 13:00:00;4680.0;5100.0;Machine 09
8;3;2023-01-04 01:00:00;2023-01-04 06:00:00;4380.0;4680.0;Machine 11
8;4;2023-01-03 22:00:00;2023-01-04 01:00:00;4200.0;4380.0;Machine 06
8;5;2023-01-03 20:00:00;2023-01-03 22:00:00;4080.0;4200.0;Machine 12
8;6;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 20
9;0;2023-01-18 19:18:00;2023-01-19 03:18:00;25638.0;26118.0;Machine 18
9;1;2023-01-17 23:18:00;2023-01-18 19:18:00;24438.0;25638.0;Machine 14
9;2;2023-01-16 19:18:00;2023-01-17 23:18:00;22758.0;24438.0;Machine 09
9;3;2023-01-09 05:50:00;2023-01-10 01:50:00;11870.0;13070.0;Machine 11
9;4;2023-01-06 15:23:00;2023-01-07 03:23:00;8123.0;8843.0;Machine 08
9;5;2023-01-06 07:23:00;2023-01-06 15:23:00;7643.0;8123.0;Machine 12
9;6;2023-01-05 01:06:00;2023-01-05 17:06:00;5826.0;6786.0;Machine 20
10;0;2023-01-07 16:28:00;2023-01-07 17:28:00;9628.0;9688.0;Machine 18
10;1;2023-01-07 04:28:00;2023-01-07 16:28:00;8908.0;9628.0;Machine 20
11;0;2023-01-09 10:21:00;2023-01-09 14:21:00;12141.0;12381.0;Machine 18
11;1;2023-01-08 20:40:00;2023-01-09 06:40:00;11320.0;11920.0;Machine 13
11;2;2023-01-08 06:40:00;2023-01-08 20:40:00;10480.0;11320.0;Machine 09
11;3;2023-01-07 19:03:00;2023-01-08 05:03:00;9783.0;10383.0;Machine 10
11;4;2023-01-07 00:10:00;2023-01-07 06:10:00;8650.0;9010.0;Machine 06
11;5;2023-01-06 20:10:00;2023-01-07 00:10:00;8410.0;8650.0;Machine 12
11;6;2023-01-06 10:06:00;2023-01-06 18:06:00;7806.0;8286.0;Machine 19
12;0;2023-01-12 15:39:00;2023-01-12 21:39:00;16779.0;17139.0;Machine 18
12;1;2023-01-11 15:39:00;2023-01-12 15:39:00;15339.0;16779.0;Machine 17
12;2;2023-01-10 03:39:00;2023-01-11 15:39:00;13179.0;15339.0;Machine 15
12;3;2023-01-09 09:39:00;2023-01-10 03:39:00;12099.0;13179.0;Machine 10
12;4;2023-01-08 21:39:00;2023-01-09 09:39:00;11379.0;12099.0;Machine 09
12;5;2023-01-08 09:28:00;2023-01-08 18:28:00;10648.0;11188.0;Machine 08
12;6;2023-01-08 06:28:00;2023-01-08 09:28:00;10468.0;10648.0;Machine 12
12;7;2023-01-07 16:46:00;2023-01-08 04:46:00;9646.0;10366.0;Machine 20
12;8;2023-01-02 13:35:00;2023-01-03 07:35:00;2255.0;3335.0;Machine 04
12;9;2023-01-02 04:35:00;2023-01-02 13:35:00;1715.0;2255.0;Machine 03
12;10;2023-01-01 09:00:00;2023-01-02 00:00:00;540.0;1440.0;Machine 00
12;11;2023-01-01 00:00:00;2023-01-01 09:00:00;0.0;540.0;Machine 03
13;0;2023-01-06 23:10:00;2023-01-07 00:10:00;8590.0;8650.0;Machine 18
13;1;2023-01-06 11:05:00;2023-01-06 23:05:00;7865.0;8585.0;Machine 20
14;0;2023-01-07 20:58:00;2023-01-07 22:58:00;9898.0;10018.0;Machine 18
14;1;2023-01-07 15:58:00;2023-01-07 20:58:00;9598.0;9898.0;Machine 13
14;2;2023-01-07 08:58:00;2023-01-07 15:58:00;9178.0;9598.0;Machine 09
14;3;2023-01-06 02:47:00;2023-01-06 07:47:00;7367.0;7667.0;Machine 11
14;4;2023-01-05 23:47:00;2023-01-06 02:47:00;7187.0;7367.0;Machine 07
14;5;2023-01-05 21:47:00;2023-01-05 23:47:00;7067.0;7187.0;Machine 12
14;6;2023-01-05 17:18:00;2023-01-05 21:18:00;6798.0;7038.0;Machine 20
15;0;2023-01-10 00:15:00;2023-01-10 04:15:00;12975.0;13215.0;Machine 18
15;1;2023-01-09 06:09:00;2023-01-09 22:09:00;11889.0;12849.0;Machine 17
15;2;2023-01-06 21:06:00;2023-01-07 21:06:00;8466.0;9906.0;Machine 15
15;3;2023-01-06 08:40:00;2023-01-06 20:40:00;7720.0;8440.0;Machine 11
15;4;2023-01-05 20:45:00;2023-01-06 04:45:00;7005.0;7485.0;Machine 09
15;5;2023-01-05 12:17:00;2023-01-05 18:17:00;6497.0;6857.0;Machine 08
15;6;2023-01-05 10:17:00;2023-01-05 12:17:00;6377.0;6497.0;Machine 12
15;7;2023-01-05 01:12:00;2023-01-05 09:12:00;5832.0;6312.0;Machine 19
15;8;2023-01-06 09:06:00;2023-01-06 21:06:00;7746.0;8466.0;Machine 04
15;9;2023-01-06 03:06:00;2023-01-06 09:06:00;7386.0;7746.0;Machine 03
15;10;2023-01-05 04:24:00;2023-01-05 14:24:00;6024.0;6624.0;Machine 01
15;11;2023-01-04 22:24:00;2023-01-05 04:24:00;5664.0;6024.0;Machine 03
16;0;2023-01-07 13:05:00;2023-01-07 15:05:00;9425.0;9545.0;Machine 18
16;1;2023-01-07 08:05:00;2023-01-07 13:05:00;9125.0;9425.0;Machine 14
16;2;2023-01-07 01:05:00;2023-01-07 08:05:00;8705.0;9125.0;Machine 09
16;3;2023-01-06 18:05:00;2023-01-06 23:05:00;8285.0;8585.0;Machine 10
16;4;2023-01-06 06:53:00;2023-01-06 09:53:00;7613.0;7793.0;Machine 06
16;5;2023-01-06 04:53:00;2023-01-06 06:53:00;7493.0;7613.0;Machine 12
16;6;2023-01-05 22:11:00;2023-01-06 02:11:00;7091.0;7331.0;Machine 20
17;0;2023-01-10 07:21:00;2023-01-10 08:21:00;13401.0;13461.0;Machine 18
17;1;2023-01-09 18:27:00;2023-01-10 06:27:00;12627.0;13347.0;Machine 19
18;0;2023-01-09 05:28:00;2023-01-09 09:28:00;11848.0;12088.0;Machine 18
18;1;2023-01-08 13:28:00;2023-01-09 05:28:00;10888.0;11848.0;Machine 17
18;2;2023-01-07 09:18:00;2023-01-08 09:18:00;9198.0;10638.0;Machine 16
18;3;2023-01-05 05:05:00;2023-01-05 17:05:00;6065.0;6785.0;Machine 10
18;4;2023-01-04 21:05:00;2023-01-05 05:05:00;5585.0;6065.0;Machine 09
18;5;2023-01-04 03:18:00;2023-01-04 09:18:00;4518.0;4878.0;Machine 05
18;6;2023-01-04 01:18:00;2023-01-04 03:18:00;4398.0;4518.0;Machine 12
18;7;2023-01-03 16:00:00;2023-01-04 00:00:00;3840.0;4320.0;Machine 19
18;8;2023-01-06 21:18:00;2023-01-07 09:18:00;8478.0;9198.0;Machine 04
18;9;2023-01-06 09:53:00;2023-01-06 15:53:00;7793.0;8153.0;Machine 03
18;10;2023-01-05 20:12:00;2023-01-06 06:12:00;6972.0;7572.0;Machine 01
18;11;2023-01-05 14:12:00;2023-01-05 20:12:00;6612.0;6972.0;Machine 03
19;0;2023-01-07 04:04:00;2023-01-07 07:04:00;8884.0;9064.0;Machine 18
19;1;2023-01-06 20:04:00;2023-01-07 04:04:00;8404.0;8884.0;Machine 17
19;2;2023-01-06 02:59:00;2023-01-06 08:59:00;7379.0;7739.0;Machine 07
19;3;2023-01-06 00:23:00;2023-01-06 02:23:00;7223.0;7343.0;Machine 12
19;4;2023-01-05 12:00:00;2023-01-05 15:00:00;6480.0;6660.0;Machine 11
19;5;2023-01-05 08:00:00;2023-01-05 12:00:00;6240.0;6480.0;Machine 06
20;0;2023-01-05 01:41:00;2023-01-05 03:41:00;5861.0;5981.0;Machine 18
20;1;2023-01-04 20:41:00;2023-01-05 01:41:00;5561.0;5861.0;Machine 13
20;2;2023-01-04 13:41:00;2023-01-04 20:41:00;5141.0;5561.0;Machine 09
20;3;2023-01-04 08:24:00;2023-01-04 13:24:00;4824.0;5124.0;Machine 11
20;4;2023-01-04 05:24:00;2023-01-04 08:24:00;4644.0;4824.0;Machine 07
20;5;2023-01-04 03:24:00;2023-01-04 05:24:00;4524.0;4644.0;Machine 12
20;6;2023-01-03 20:18:00;2023-01-04 00:18:00;4098.0;4338.0;Machine 20
21;0;2023-01-08 16:52:00;2023-01-08 17:52:00;11092.0;11152.0;Machine 18
21;1;2023-01-08 04:52:00;2023-01-08 16:52:00;10372.0;11092.0;Machine 19
22;0;2023-01-10 05:40:00;2023-01-10 06:40:00;13300.0;13360.0;Machine 18
22;1;2023-01-09 17:40:00;2023-01-10 05:40:00;12580.0;13300.0;Machine 20
23;0;2023-01-14 16:51:00;2023-01-14 20:51:00;19731.0;19971.0;Machine 18
23;1;2023-01-14 00:51:00;2023-01-14 16:51:00;18771.0;19731.0;Machine 17
23;2;2023-01-12 13:27:00;2023-01-13 13:27:00;16647.0;18087.0;Machine 16
23;3;2023-01-11 08:27:00;2023-01-11 20:27:00;14907.0;15627.0;Machine 10
23;4;2023-01-11 00:27:00;2023-01-11 08:27:00;14427.0;14907.0;Machine 09
23;5;2023-01-08 06:16:00;2023-01-08 12:16:00;10456.0;10816.0;Machine 07
23;6;2023-01-08 04:16:00;2023-01-08 06:16:00;10336.0;10456.0;Machine 12
23;7;2023-01-07 20:16:00;2023-01-08 04:16:00;9856.0;10336.0;Machine 19
23;8;2023-01-10 14:00:00;2023-01-11 02:00:00;13800.0;14520.0;Machine 04
23;9;2023-01-10 08:00:00;2023-01-10 14:00:00;13440.0;13800.0;Machine 03
23;10;2023-01-09 22:00:00;2023-01-10 08:00:00;12840.0;13440.0;Machine 02
23;11;2023-01-09 16:00:00;2023-01-09 22:00:00;12480.0;12840.0;Machine 03
24;0;2023-01-06 11:17:00;2023-01-06 14:17:00;7877.0;8057.0;Machine 18
24;1;2023-01-06 03:17:00;2023-01-06 11:17:00;7397.0;7877.0;Machine 17
24;2;2023-01-05 21:17:00;2023-01-06 03:17:00;7037.0;7397.0;Machine 06
24;3;2023-01-05 19:17:00;2023-01-05 21:17:00;6917.0;7037.0;Machine 12
24;4;2023-01-05 04:30:00;2023-01-05 07:30:00;6030.0;6210.0;Machine 11
24;5;2023-01-04 16:00:00;2023-01-04 20:00:00;5280.0;5520.0;Machine 06
25;0;2023-01-20 21:55:00;2023-01-21 09:55:00;28675.0;29395.0;Machine 18
25;1;2023-01-18 21:55:00;2023-01-20 21:55:00;25795.0;28675.0;Machine 17
25;2;2023-01-15 21:55:00;2023-01-18 21:55:00;21475.0;25795.0;Machine 15
25;3;2023-01-14 09:55:00;2023-01-15 21:55:00;19315.0;21475.0;Machine 10
25;4;2023-01-13 09:55:00;2023-01-14 09:55:00;17875.0;19315.0;Machine 09
25;5;2023-01-07 23:03:00;2023-01-08 17:03:00;10023.0;11103.0;Machine 06
25;6;2023-01-07 17:03:00;2023-01-07 23:03:00;9663.0;10023.0;Machine 12
25;7;2023-01-05 09:36:00;2023-01-06 09:36:00;6336.0;7776.0;Machine 19
25;8;2023-01-11 08:41:00;2023-01-12 20:41:00;14921.0;17081.0;Machine 04
25;9;2023-01-10 14:41:00;2023-01-11 08:41:00;13841.0;14921.0;Machine 03
25;10;2023-01-08 16:24:00;2023-01-09 22:24:00;11064.0;12864.0;Machine 00
25;11;2023-01-07 22:24:00;2023-01-08 16:24:00;9984.0;11064.0;Machine 03
26;0;2023-01-08 18:16:00;2023-01-08 22:16:00;11176.0;11416.0;Machine 18
26;1;2023-01-08 06:04:00;2023-01-08 16:04:00;10444.0;11044.0;Machine 13
26;2;2023-01-07 16:04:00;2023-01-08 06:04:00;9604.0;10444.0;Machine 09
26;3;2023-01-07 02:58:00;2023-01-07 12:58:00;8818.0;9418.0;Machine 10
26;4;2023-01-06 20:04:00;2023-01-07 02:04:00;8404.0;8764.0;Machine 05
26;5;2023-01-06 16:04:00;2023-01-06 20:04:00;8164.0;8404.0;Machine 12
26;6;2023-01-06 02:41:00;2023-01-06 10:41:00;7361.0;7841.0;Machine 20
27;0;2023-01-13 19:19:00;2023-01-13 23:19:00;18439.0;18679.0;Machine 18
27;1;2023-01-13 09:19:00;2023-01-13 19:19:00;17839.0;18439.0;Machine 14
27;2;2023-01-12 19:19:00;2023-01-13 09:19:00;16999.0;17839.0;Machine 09
27;3;2023-01-08 13:50:00;2023-01-08 23:50:00;10910.0;11510.0;Machine 11
27;4;2023-01-07 13:52:00;2023-01-07 19:52:00;9472.0;9832.0;Machine 05
27;5;2023-01-07 09:52:00;2023-01-07 13:52:00;9232.0;9472.0;Machine 12
27;6;2023-01-06 23:11:00;2023-01-07 07:11:00;8591.0;9071.0;Machine 19
28;0;2023-01-14 00:18:00;2023-01-14 04:18:00;18738.0;18978.0;Machine 18
28;1;2023-01-13 08:15:00;2023-01-14 00:15:00;17775.0;18735.0;Machine 17
28;2;2023-01-11 16:38:00;2023-01-12 16:38:00;15398.0;16838.0;Machine 15
28;3;2023-01-10 15:51:00;2023-01-11 03:51:00;13911.0;14631.0;Machine 10
28;4;2023-01-10 07:51:00;2023-01-10 15:51:00;13431.0;13911.0;Machine 09
28;5;2023-01-08 14:52:00;2023-01-08 20:52:00;10972.0;11332.0;Machine 05
28;6;2023-01-08 12:52:00;2023-01-08 14:52:00;10852.0;10972.0;Machine 12
28;7;2023-01-08 04:52:00;2023-01-08 12:52:00;10372.0;10852.0;Machine 20
28;8;2023-01-07 09:24:00;2023-01-07 21:24:00;9204.0;9924.0;Machine 04
28;9;2023-01-06 16:29:00;2023-01-06 22:29:00;8189.0;8549.0;Machine 03
28;10;2023-01-06 02:36:00;2023-01-06 12:36:00;7356.0;7956.0;Machine 00
28;11;2023-01-05 20:36:00;2023-01-06 02:36:00;6996.0;7356.0;Machine 03
29;0;2023-01-08 04:58:00;2023-01-08 07:58:00;10378.0;10558.0;Machine 18
29;1;2023-01-07 20:58:00;2023-01-08 04:58:00;9898.0;10378.0;Machine 17
29;2;2023-01-07 05:10:00;2023-01-07 11:10:00;8950.0;9310.0;Machine 05
29;3;2023-01-07 03:10:00;2023-01-07 05:10:00;8830.0;8950.0;Machine 12
29;4;2023-01-06 23:17:00;2023-01-07 02:17:00;8597.0;8777.0;Machine 10
29;5;2023-01-06 10:29:00;2023-01-06 14:29:00;7829.0;8069.0;Machine 06
30;0;2023-01-08 13:04:00;2023-01-08 16:04:00;10864.0;11044.0;Machine 18
30;1;2023-01-08 05:04:00;2023-01-08 13:04:00;10384.0;10864.0;Machine 17
30;2;2023-01-07 02:34:00;2023-01-07 08:34:00;8794.0;9154.0;Machine 07
30;3;2023-01-07 00:34:00;2023-01-07 02:34:00;8674.0;8794.0;Machine 12
30;4;2023-01-06 21:16:00;2023-01-07 00:16:00;8476.0;8656.0;Machine 11
30;5;2023-01-06 09:29:00;2023-01-06 13:29:00;7769.0;8009.0;Machine 07
31;0;2023-01-09 21:51:00;2023-01-09 23:51:00;12831.0;12951.0;Machine 18
31;1;2023-01-09 16:51:00;2023-01-09 21:51:00;12531.0;12831.0;Machine 13
31;2;2023-01-09 09:51:00;2023-01-09 16:51:00;12111.0;12531.0;Machine 09
31;3;2023-01-07 13:16:00;2023-01-07 18:16:00;9436.0;9736.0;Machine 10
31;4;2023-01-07 09:40:00;2023-01-07 12:40:00;9220.0;9400.0;Machine 07
31;5;2023-01-07 07:40:00;2023-01-07 09:40:00;9100.0;9220.0;Machine 12
31;6;2023-01-06 18:18:00;2023-01-06 22:18:00;8298.0;8538.0;Machine 19
32;0;2023-01-17 19:07:00;2023-01-18 03:07:00;24187.0;24667.0;Machine 18
32;1;2023-01-16 18:31:00;2023-01-17 14:31:00;22711.0;23911.0;Machine 13
32;2;2023-01-15 14:31:00;2023-01-16 18:31:00;21031.0;22711.0;Machine 09
32;3;2023-01-11 13:02:00;2023-01-12 09:02:00;15182.0;16382.0;Machine 11
32;4;2023-01-10 01:34:00;2023-01-10 13:34:00;13054.0;13774.0;Machine 06
32;5;2023-01-09 17:34:00;2023-01-10 01:34:00;12574.0;13054.0;Machine 12
32;6;2023-01-09 01:34:00;2023-01-09 17:34:00;11614.0;12574.0;Machine 20
33;0;2023-01-09 17:40:00;2023-01-09 18:40:00;12580.0;12640.0;Machine 18
33;1;2023-01-09 05:40:00;2023-01-09 17:40:00;11860.0;12580.0;Machine 19
34;0;2023-01-13 05:07:00;2023-01-13 09:07:00;17587.0;17827.0;Machine 18
34;1;2023-01-12 19:07:00;2023-01-13 05:07:00;16987.0;17587.0;Machine 13
34;2;2023-01-12 05:07:00;2023-01-12 19:07:00;16147.0;16987.0;Machine 09
34;3;2023-01-08 16:38:00;2023-01-09 02:38:00;11078.0;11678.0;Machine 10
34;4;2023-01-08 03:33:00;2023-01-08 09:33:00;10293.0;10653.0;Machine 05
34;5;2023-01-07 23:33:00;2023-01-08 03:33:00;10053.0;10293.0;Machine 12
34;6;2023-01-07 12:04:00;2023-01-07 20:04:00;9364.0;9844.0;Machine 19
35;0;2023-01-15 05:50:00;2023-01-15 11:50:00;20510.0;20870.0;Machine 18
35;1;2023-01-14 17:50:00;2023-01-15 05:50:00;19790.0;20510.0;Machine 17
35;2;2023-01-12 22:20:00;2023-01-14 10:20:00;17180.0;19340.0;Machine 15
35;3;2023-01-12 04:20:00;2023-01-12 22:20:00;16100.0;17180.0;Machine 10
35;4;2023-01-11 16:20:00;2023-01-12 04:20:00;15380.0;16100.0;Machine 09
35;5;2023-01-09 08:16:00;2023-01-09 17:16:00;12016.0;12556.0;Machine 08
35;6;2023-01-09 05:16:00;2023-01-09 08:16:00;11836.0;12016.0;Machine 12
35;7;2023-01-08 17:16:00;2023-01-09 05:16:00;11116.0;11836.0;Machine 19
35;8;2023-01-09 02:17:00;2023-01-09 20:17:00;11657.0;12737.0;Machine 04
35;9;2023-01-08 17:17:00;2023-01-09 02:17:00;11117.0;11657.0;Machine 03
35;10;2023-01-07 15:12:00;2023-01-08 06:12:00;9552.0;10452.0;Machine 02
35;11;2023-01-07 06:12:00;2023-01-07 15:12:00;9012.0;9552.0;Machine 03
36;0;2023-01-10 18:21:00;2023-01-10 19:21:00;14061.0;14121.0;Machine 18
36;1;2023-01-10 06:21:00;2023-01-10 18:21:00;13341.0;14061.0;Machine 20
37;0;2023-01-10 08:57:00;2023-01-10 10:57:00;13497.0;13617.0;Machine 18
37;1;2023-01-09 23:57:00;2023-01-10 04:57:00;12957.0;13257.0;Machine 14
37;2;2023-01-09 16:57:00;2023-01-09 23:57:00;12537.0;12957.0;Machine 09
37;3;2023-01-09 00:26:00;2023-01-09 05:26:00;11546.0;11846.0;Machine 11
37;4;2023-01-08 19:10:00;2023-01-08 22:10:00;11230.0;11410.0;Machine 07
37;5;2023-01-08 17:10:00;2023-01-08 19:10:00;11110.0;11230.0;Machine 12
37;6;2023-01-08 13:10:00;2023-01-08 17:10:00;10870.0;11110.0;Machine 20
38;0;2023-01-13 09:37:00;2023-01-13 13:37:00;17857.0;18097.0;Machine 18
38;1;2023-01-12 15:51:00;2023-01-13 07:51:00;16791.0;17751.0;Machine 17
38;2;2023-01-11 13:21:00;2023-01-12 13:21:00;15201.0;16641.0;Machine 16
38;3;2023-01-11 00:15:00;2023-01-11 12:15:00;14415.0;15135.0;Machine 11
38;4;2023-01-10 16:15:00;2023-01-11 00:15:00;13935.0;14415.0;Machine 09
38;5;2023-01-09 03:16:00;2023-01-09 09:16:00;11716.0;12076.0;Machine 06
38;6;2023-01-09 01:16:00;2023-01-09 03:16:00;11596.0;11716.0;Machine 12
38;7;2023-01-08 17:16:00;2023-01-09 01:16:00;11116.0;11596.0;Machine 20
38;8;2023-01-07 22:05:00;2023-01-08 10:05:00;9965.0;10685.0;Machine 04
38;9;2023-01-07 16:00:00;2023-01-07 22:00:00;9600.0;9960.0;Machine 03
38;10;2023-01-07 06:00:00;2023-01-07 16:00:00;9000.0;9600.0;Machine 01
38;11;2023-01-07 00:00:00;2023-01-07 06:00:00;8640.0;9000.0;Machine 03
39;0;2023-01-10 12:33:00;2023-01-10 14:33:00;13713.0;13833.0;Machine 18
39;1;2023-01-10 07:33:00;2023-01-10 12:33:00;13413.0;13713.0;Machine 13
39;2;2023-01-10 00:33:00;2023-01-10 07:33:00;12993.0;13413.0;Machine 09
39;3;2023-01-08 05:39:00;2023-01-08 10:39:00;10419.0;10719.0;Machine 10
39;4;2023-01-07 07:34:00;2023-01-07 10:34:00;9094.0;9274.0;Machine 06
39;5;2023-01-07 05:34:00;2023-01-07 07:34:00;8974.0;9094.0;Machine 12
39;6;2023-01-07 00:04:00;2023-01-07 04:04:00;8644.0;8884.0;Machine 20
40;0;2023-01-11 20:39:00;2023-01-11 22:39:00;15639.0;15759.0;Machine 18
40;1;2023-01-11 15:39:00;2023-01-11 20:39:00;15339.0;15639.0;Machine 14
40;2;2023-01-11 08:39:00;2023-01-11 15:39:00;14919.0;15339.0;Machine 09
40;3;2023-01-08 10:57:00;2023-01-08 15:57:00;10737.0;11037.0;Machine 10
40;4;2023-01-07 16:22:00;2023-01-07 19:22:00;9622.0;9802.0;Machine 08
40;5;2023-01-07 14:22:00;2023-01-07 16:22:00;9502.0;9622.0;Machine 12
40;6;2023-01-07 07:58:00;2023-01-07 11:58:00;9118.0;9358.0;Machine 19
