name;value
Z_FO;3068162.0
s[j0_l0_i18];22225.0
s[j0_l1_i13];21025.0
s[j0_l1_i14];0.0
s[j0_l2_i9];19345.0
s[j0_l3_i10];7067.0
s[j0_l3_i11];0.0
s[j0_l4_i5];6347.0
s[j0_l4_i6];0.0
s[j0_l4_i7];0.0
s[j0_l4_i8];0.0
s[j0_l5_i12];5867.0
s[j0_l6_i19];4842.0
s[j0_l6_i20];0.0
s[j10_l0_i18];9628.0
s[j10_l1_i19];0.0
s[j10_l1_i20];8908.0
s[j11_l0_i18];12141.0
s[j11_l1_i13];11320.0
s[j11_l1_i14];0.0
s[j11_l2_i9];10480.0
s[j11_l3_i10];9783.0
s[j11_l3_i11];0.0
s[j11_l4_i5];0.0
s[j11_l4_i6];8650.0
s[j11_l4_i7];0.0
s[j11_l4_i8];0.0
s[j11_l5_i12];8410.0
s[j11_l6_i19];7806.0
s[j11_l6_i20];0.0
s[j12_l0_i18];16779.0
s[j12_l10_i0];540.0
s[j12_l10_i1];0.0
s[j12_l10_i2];0.0
s[j12_l10_i3];0.0
s[j12_l11_i3];0.0
s[j12_l1_i17];15339.0
s[j12_l2_i15];13179.0
s[j12_l2_i16];0.0
s[j12_l3_i10];12099.0
s[j12_l3_i11];0.0
s[j12_l4_i9];11379.0
s[j12_l5_i5];0.0
s[j12_l5_i6];0.0
s[j12_l5_i7];0.0
s[j12_l5_i8];10648.0
s[j12_l6_i12];10468.0
s[j12_l7_i19];0.0
s[j12_l7_i20];9646.0
s[j12_l8_i4];2255.0
s[j12_l9_i3];1715.0
s[j13_l0_i18];8590.0
s[j13_l1_i19];0.0
s[j13_l1_i20];7865.0
s[j14_l0_i18];9898.0
s[j14_l1_i13];9598.0
s[j14_l1_i14];0.0
s[j14_l2_i9];9178.0
s[j14_l3_i10];0.0
s[j14_l3_i11];7367.0
s[j14_l4_i5];0.0
s[j14_l4_i6];0.0
s[j14_l4_i7];7187.0
s[j14_l4_i8];0.0
s[j14_l5_i12];7067.0
s[j14_l6_i19];0.0
s[j14_l6_i20];6798.0
s[j15_l0_i18];12975.0
s[j15_l10_i0];0.0
s[j15_l10_i1];6024.0
s[j15_l10_i2];0.0
s[j15_l10_i3];0.0
s[j15_l11_i3];5664.0
s[j15_l1_i17];11889.0
s[j15_l2_i15];8466.0
s[j15_l2_i16];0.0
s[j15_l3_i10];0.0
s[j15_l3_i11];7720.0
s[j15_l4_i9];7005.0
s[j15_l5_i5];0.0
s[j15_l5_i6];0.0
s[j15_l5_i7];0.0
s[j15_l5_i8];6497.0
s[j15_l6_i12];6377.0
s[j15_l7_i19];5832.0
s[j15_l7_i20];0.0
s[j15_l8_i4];7746.0
s[j15_l9_i3];7386.0
s[j16_l0_i18];9425.0
s[j16_l1_i13];0.0
s[j16_l1_i14];9125.0
s[j16_l2_i9];8705.0
s[j16_l3_i10];8285.0
s[j16_l3_i11];0.0
s[j16_l4_i5];0.0
s[j16_l4_i6];7613.0
s[j16_l4_i7];0.0
s[j16_l4_i8];0.0
s[j16_l5_i12];7493.0
s[j16_l6_i19];0.0
s[j16_l6_i20];7091.0
s[j17_l0_i18];13401.0
s[j17_l1_i19];12627.0
s[j17_l1_i20];0.0
s[j18_l0_i18];11848.0
s[j18_l10_i0];0.0
s[j18_l10_i1];6972.0
s[j18_l10_i2];0.0
s[j18_l10_i3];0.0
s[j18_l11_i3];6612.0
s[j18_l1_i17];10888.0
s[j18_l2_i15];0.0
s[j18_l2_i16];9198.0
s[j18_l3_i10];6065.0
s[j18_l3_i11];0.0
s[j18_l4_i9];5585.0
s[j18_l5_i5];4518.0
s[j18_l5_i6];0.0
s[j18_l5_i7];0.0
s[j18_l5_i8];0.0
s[j18_l6_i12];4398.0
s[j18_l7_i19];3840.0
s[j18_l7_i20];0.0
s[j18_l8_i4];8478.0
s[j18_l9_i3];7793.0
s[j19_l0_i18];8884.0
s[j19_l1_i17];8404.0
s[j19_l2_i5];0.0
s[j19_l2_i6];0.0
s[j19_l2_i7];7379.0
s[j19_l2_i8];0.0
s[j19_l3_i12];7223.0
s[j19_l4_i10];0.0
s[j19_l4_i11];6480.0
s[j19_l5_i5];0.0
s[j19_l5_i6];6240.0
s[j19_l5_i7];0.0
s[j19_l5_i8];0.0
s[j1_l0_i18];5220.0
s[j1_l1_i17];4740.0
s[j1_l2_i5];0.0
s[j1_l2_i6];0.0
s[j1_l2_i7];0.0
s[j1_l2_i8];4380.0
s[j1_l3_i12];4260.0
s[j1_l4_i10];0.0
s[j1_l4_i11];4080.0
s[j1_l5_i5];0.0
s[j1_l5_i6];3840.0
s[j1_l5_i7];0.0
s[j1_l5_i8];0.0
s[j20_l0_i18];5861.0
s[j20_l1_i13];5561.0
s[j20_l1_i14];0.0
s[j20_l2_i9];5141.0
s[j20_l3_i10];0.0
s[j20_l3_i11];4824.0
s[j20_l4_i5];0.0
s[j20_l4_i6];0.0
s[j20_l4_i7];4644.0
s[j20_l4_i8];0.0
s[j20_l5_i12];4524.0
s[j20_l6_i19];0.0
s[j20_l6_i20];4098.0
s[j21_l0_i18];11092.0
s[j21_l1_i19];10372.0
s[j21_l1_i20];0.0
s[j22_l0_i18];13300.0
s[j22_l1_i19];0.0
s[j22_l1_i20];12580.0
s[j23_l0_i18];19731.0
s[j23_l10_i0];0.0
s[j23_l10_i1];0.0
s[j23_l10_i2];12840.0
s[j23_l10_i3];0.0
s[j23_l11_i3];12480.0
s[j23_l1_i17];18771.0
s[j23_l2_i15];0.0
s[j23_l2_i16];16647.0
s[j23_l3_i10];14907.0
s[j23_l3_i11];0.0
s[j23_l4_i9];14427.0
s[j23_l5_i5];0.0
s[j23_l5_i6];0.0
s[j23_l5_i7];10456.0
s[j23_l5_i8];0.0
s[j23_l6_i12];10336.0
s[j23_l7_i19];9856.0
s[j23_l7_i20];0.0
s[j23_l8_i4];13800.0
s[j23_l9_i3];13440.0
s[j24_l0_i18];7877.0
s[j24_l1_i17];7397.0
s[j24_l2_i5];0.0
s[j24_l2_i6];7037.0
s[j24_l2_i7];0.0
s[j24_l2_i8];0.0
s[j24_l3_i12];6917.0
s[j24_l4_i10];0.0
s[j24_l4_i11];6030.0
s[j24_l5_i5];0.0
s[j24_l5_i6];5280.0
s[j24_l5_i7];0.0
