Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-15 03:36:00;2023-01-15 11:36:00;20376.0;20856.0;Machine 18
0;1;2023-01-14 07:36:00;2023-01-15 03:36:00;19176.0;20376.0;Machine 14
0;2;2023-01-13 03:36:00;2023-01-14 07:36:00;17496.0;19176.0;Machine 09
0;3;2023-01-11 04:37:00;2023-01-12 00:37:00;14677.0;15877.0;Machine 10
0;4;2023-01-07 06:11:00;2023-01-07 18:11:00;9011.0;9731.0;Machine 06
0;5;2023-01-06 19:48:00;2023-01-07 03:48:00;8388.0;8868.0;Machine 12
0;6;2023-01-04 13:35:00;2023-01-05 05:35:00;5135.0;6095.0;Machine 20
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 05
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 05
2;0;2023-01-16 23:26:00;2023-01-17 11:26:00;23006.0;23726.0;Machine 18
2;1;2023-01-14 23:26:00;2023-01-16 23:26:00;20126.0;23006.0;Machine 17
2;2;2023-01-11 23:26:00;2023-01-14 23:26:00;15806.0;20126.0;Machine 16
2;3;2023-01-08 14:28:00;2023-01-10 02:28:00;10948.0;13108.0;Machine 11
2;4;2023-01-06 05:18:00;2023-01-06 17:18:00;7518.0;8238.0;Machine 09
2;5;2023-01-05 07:30:00;2023-01-06 01:30:00;6210.0;7290.0;Machine 06
2;6;2023-01-05 01:30:00;2023-01-05 07:30:00;5850.0;6210.0;Machine 12
2;7;2023-01-03 20:06:00;2023-01-04 20:06:00;4086.0;5526.0;Machine 19
2;8;2023-01-04 03:36:00;2023-01-05 15:36:00;4536.0;6696.0;Machine 04
2;9;2023-01-03 09:36:00;2023-01-04 03:36:00;3456.0;4536.0;Machine 03
2;10;2023-01-02 03:36:00;2023-01-03 09:36:00;1656.0;3456.0;Machine 00
2;11;2023-01-01 09:36:00;2023-01-02 03:36:00;576.0;1656.0;Machine 03
3;0;2023-01-06 14:03:00;2023-01-06 18:03:00;8043.0;8283.0;Machine 18
3;1;2023-01-05 20:22:00;2023-01-06 06:22:00;6982.0;7582.0;Machine 14
3;2;2023-01-05 06:22:00;2023-01-05 20:22:00;6142.0;6982.0;Machine 09
3;3;2023-01-04 14:18:00;2023-01-05 00:18:00;5178.0;5778.0;Machine 10
3;4;2023-01-04 08:18:00;2023-01-04 14:18:00;4818.0;5178.0;Machine 08
3;5;2023-01-04 04:18:00;2023-01-04 08:18:00;4578.0;4818.0;Machine 12
3;6;2023-01-03 20:18:00;2023-01-04 04:18:00;4098.0;4578.0;Machine 20
4;0;2023-01-03 20:00:00;2023-01-04 00:00:00;4080.0;4320.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00;2040.0;2640.0;Machine 11
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00;1680.0;2040.0;Machine 05
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 20
5;0;2023-01-08 08:23:00;2023-01-08 12:23:00;10583.0;10823.0;Machine 18
5;1;2023-01-07 16:23:00;2023-01-08 08:23:00;9623.0;10583.0;Machine 17
5;2;2023-01-06 04:29:00;2023-01-07 04:29:00;7469.0;8909.0;Machine 16
5;3;2023-01-04 07:36:00;2023-01-04 19:36:00;4776.0;5496.0;Machine 11
5;4;2023-01-03 21:13:00;2023-01-04 05:13:00;4153.0;4633.0;Machine 09
5;5;2023-01-01 10:00:00;2023-01-01 16:00:00;600.0;960.0;Machine 06
5;6;2023-01-01 08:00:00;2023-01-01 10:00:00;480.0;600.0;Machine 12
5;7;2023-01-01 00:00:00;2023-01-01 08:00:00;0.0;480.0;Machine 19
5;8;2023-01-05 16:29:00;2023-01-06 04:29:00;6749.0;7469.0;Machine 04
5;9;2023-01-05 08:00:00;2023-01-05 14:00:00;6240.0;6600.0;Machine 03
5;10;2023-01-04 22:00:00;2023-01-05 08:00:00;5640.0;6240.0;Machine 02
5;11;2023-01-04 16:00:00;2023-01-04 22:00:00;5280.0;5640.0;Machine 03
6;0;2023-01-06 00:29:00;2023-01-06 03:29:00;7229.0;7409.0;Machine 18
6;1;2023-01-05 16:29:00;2023-01-06 00:29:00;6749.0;7229.0;Machine 17
6;2;2023-01-05 10:29:00;2023-01-05 16:29:00;6389.0;6749.0;Machine 07
6;3;2023-01-05 08:29:00;2023-01-05 10:29:00;6269.0;6389.0;Machine 12
