Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-08 10:32:00;2023-01-08 18:32:00;10712.0;11192.0;Machine 18
0;1;2023-01-07 14:32:00;2023-01-08 10:32:00;9512.0;10712.0;Machine 13
0;2;2023-01-06 10:32:00;2023-01-07 14:32:00;7832.0;9512.0;Machine 09
0;3;2023-01-05 13:09:00;2023-01-06 09:09:00;6549.0;7749.0;Machine 11
0;4;2023-01-04 20:18:00;2023-01-05 08:18:00;5538.0;6258.0;Machine 08
0;5;2023-01-04 12:18:00;2023-01-04 20:18:00;5058.0;5538.0;Machine 12
0;6;2023-01-03 20:18:00;2023-01-04 12:18:00;4098.0;5058.0;Machine 20
1;0;2023-01-04 20:42:00;2023-01-04 23:42:00;5562.0;5742.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 07
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 08
2;0;2023-01-17 04:33:00;2023-01-17 16:33:00;23313.0;24033.0;Machine 18
2;1;2023-01-15 04:33:00;2023-01-17 04:33:00;20433.0;23313.0;Machine 17
2;2;2023-01-07 21:39:00;2023-01-10 21:39:00;9939.0;14259.0;Machine 16
2;3;2023-01-06 09:39:00;2023-01-07 21:39:00;7779.0;9939.0;Machine 11
2;4;2023-01-05 21:39:00;2023-01-06 09:39:00;7059.0;7779.0;Machine 09
2;5;2023-01-05 03:11:00;2023-01-05 21:11:00;5951.0;7031.0;Machine 06
2;6;2023-01-04 21:11:00;2023-01-05 03:11:00;5591.0;5951.0;Machine 12
2;7;2023-01-03 16:00:00;2023-01-04 16:00:00;3840.0;5280.0;Machine 19
2;8;2023-01-03 21:48:00;2023-01-05 09:48:00;4188.0;6348.0;Machine 04
2;9;2023-01-03 03:48:00;2023-01-03 21:48:00;3108.0;4188.0;Machine 03
2;10;2023-01-01 18:00:00;2023-01-03 00:00:00;1080.0;2880.0;Machine 01
2;11;2023-01-01 00:00:00;2023-01-01 18:00:00;0.0;1080.0;Machine 03
