Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-16 03:25:00;2023-01-16 11:25:00;21805.0;22285.0;Machine 18
0;1;2023-01-15 07:25:00;2023-01-16 03:25:00;20605.0;21805.0;Machine 14
0;2;2023-01-14 03:25:00;2023-01-15 07:25:00;18925.0;20605.0;Machine 09
0;3;2023-01-05 08:12:00;2023-01-06 04:12:00;6252.0;7452.0;Machine 11
0;4;2023-01-04 20:12:00;2023-01-05 08:12:00;5532.0;6252.0;Machine 05
0;5;2023-01-04 12:12:00;2023-01-04 20:12:00;5052.0;5532.0;Machine 12
0;6;2023-01-03 20:12:00;2023-01-04 12:12:00;4092.0;5052.0;Machine 19
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 08
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 10
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 08
2;0;2023-01-16 21:20:00;2023-01-17 09:20:00;22880.0;23600.0;Machine 18
2;1;2023-01-14 21:20:00;2023-01-16 21:20:00;20000.0;22880.0;Machine 17
2;2;2023-01-08 06:58:00;2023-01-11 06:58:00;10498.0;14818.0;Machine 15
2;3;2023-01-06 18:58:00;2023-01-08 06:58:00;8338.0;10498.0;Machine 11
2;4;2023-01-06 06:58:00;2023-01-06 18:58:00;7618.0;8338.0;Machine 09
2;5;2023-01-05 12:58:00;2023-01-06 06:58:00;6538.0;7618.0;Machine 08
2;6;2023-01-05 06:58:00;2023-01-05 12:58:00;6178.0;6538.0;Machine 12
2;7;2023-01-04 04:42:00;2023-01-05 04:42:00;4602.0;6042.0;Machine 20
2;8;2023-01-04 03:36:00;2023-01-05 15:36:00;4536.0;6696.0;Machine 04
2;9;2023-01-03 09:36:00;2023-01-04 03:36:00;3456.0;4536.0;Machine 03
2;10;2023-01-02 03:36:00;2023-01-03 09:36:00;1656.0;3456.0;Machine 00
2;11;2023-01-01 09:36:00;2023-01-02 03:36:00;576.0;1656.0;Machine 03
3;0;2023-01-06 02:53:00;2023-01-06 06:53:00;7373.0;7613.0;Machine 18
3;1;2023-01-05 13:00:00;2023-01-05 23:00:00;6540.0;7140.0;Machine 13
3;2;2023-01-04 23:00:00;2023-01-05 13:00:00;5700.0;6540.0;Machine 09
3;3;2023-01-04 11:06:00;2023-01-04 21:06:00;4986.0;5586.0;Machine 10
3;4;2023-01-04 05:06:00;2023-01-04 11:06:00;4626.0;4986.0;Machine 07
3;5;2023-01-04 01:06:00;2023-01-04 05:06:00;4386.0;4626.0;Machine 12
3;6;2023-01-03 16:00:00;2023-01-04 00:00:00;3840.0;4320.0;Machine 20
4;0;2023-01-03 20:00:00;2023-01-04 00:00:00;4080.0;4320.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00;2040.0;2640.0;Machine 10
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00;1680.0;2040.0;Machine 07
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 19
5;0;2023-01-08 14:33:00;2023-01-08 18:33:00;10953.0;11193.0;Machine 18
5;1;2023-01-07 16:24:00;2023-01-08 08:24:00;9624.0;10584.0;Machine 17
5;2;2023-01-06 04:29:00;2023-01-07 04:29:00;7469.0;8909.0;Machine 16
5;3;2023-01-02 00:00:00;2023-01-02 12:00:00;1440.0;2160.0;Machine 11
5;4;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 09
5;5;2023-01-01 10:00:00;2023-01-01 16:00:00;600.0;960.0;Machine 06
5;6;2023-01-01 08:00:00;2023-01-01 10:00:00;480.0;600.0;Machine 12
5;7;2023-01-01 00:00:00;2023-01-01 08:00:00;0.0;480.0;Machine 19
5;8;2023-01-05 16:29:00;2023-01-06 04:29:00;6749.0;7469.0;Machine 04
