Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2024-08-23 00:00:00;0.0;864000.0;Machine 10
1;0;2023-01-01 00:00:00;2025-01-16 16:00:00;0.0;1075200.0;Machine 06
2;0;2023-01-01 00:00:00;2025-01-27 12:00:00;0.0;1090800.0;Machine 21
3;0;2027-12-22 14:53:00;2031-01-14 08:53:00;2615933.0;4226933.0;Machine 27
4;0;2024-06-10 02:19:00;2027-07-03 20:19:00;757579.0;2368579.0;Machine 27
5;0;2029-05-28 07:12:00;2035-02-23 09:17:00;3368592.0;6388397.0;Machine 03
6;0;2024-09-15 22:12:00;2025-12-09 22:12:00;898452.0;1546452.0;Machine 03
7;0;2031-02-21 13:01:00;2039-11-26 13:01:00;4281901.0;8889901.0;Machine 27
8;0;2024-11-03 10:04:00;2025-12-25 02:04:00;968284.0;1568284.0;Machine 00
9;0;2025-12-07 02:26:00;2048-08-28 02:26:00;1542386.0;13494386.0;Machine 01
10;0;2023-01-01 00:00:00;2025-03-27 16:00:00;0.0;1176000.0;Machine 05
11;0;2037-07-18 23:16:00;2044-12-06 21:16:00;7650676.0;11535676.0;Machine 09
12;0;2027-10-10 00:16:00;2031-05-08 16:16:00;2509936.0;4391536.0;Machine 08
13;0;2024-02-03 04:08:00;2027-09-01 20:08:00;573368.0;2454968.0;Machine 08
14;0;2023-01-01 00:00:00;2024-10-15 08:00:00;0.0;940800.0;Machine 00
15;0;2038-11-20 05:43:00;2052-07-29 05:43:00;8355223.0;15555223.0;Machine 00
16;0;2031-11-22 02:39:00;2037-01-09 02:39:00;4675839.0;7375839.0;Machine 09
17;0;2023-09-14 08:15:00;2027-07-21 14:15:00;369135.0;2394135.0;Machine 09
18;0;2023-01-01 00:00:00;2025-05-25 00:00:00;0.0;1260000.0;Machine 12
19;0;2023-01-01 00:00:00;2025-06-28 04:00:00;0.0;1309200.0;Machine 14
20;0;2023-01-01 00:00:00;2026-01-20 15:00:00;0.0;1606500.0;Machine 16
21;0;2023-01-01 00:00:00;2024-07-20 16:00:00;0.0;816000.0;Machine 03
22;0;2023-08-07 04:08:00;2025-02-23 20:08:00;314168.0;1130168.0;Machine 04
23;0;2035-02-10 22:42:00;2038-05-13 09:06:00;6370482.0;8080386.0;Machine 00
24;0;2023-01-01 00:00:00;2029-12-31 04:00:00;0.0;3680880.0;Machine 22
25;0;2026-05-15 03:23:00;2029-08-27 03:23:00;1771403.0;3499403.0;Machine 16
26;0;2030-03-06 00:00:00;2033-10-06 00:00:00;3774240.0;5660640.0;Machine 16
27;0;2023-01-01 08:00:00;2025-09-27 20:00:00;480.0;1441200.0;Machine 18
28;0;2026-02-08 10:26:00;2028-12-05 16:26:00;1633586.0;3118586.0;Machine 18
29;0;2029-03-04 00:46:00;2034-09-10 00:46:00;3245806.0;6148846.0;Machine 10
30;0;2035-07-12 00:38:00;2054-08-21 10:38:00;6588038.0;16639838.0;Machine 20
31;0;2027-03-16 04:12:00;2030-10-09 17:18:00;2210652.0;4087758.0;Machine 06
32;0;2023-01-01 00:00:00;2025-01-20 00:00:00;0.0;1080000.0;Machine 25
33;0;2025-03-18 06:12:00;2027-04-07 06:12:00;1162452.0;2242452.0;Machine 25
34;0;2025-02-04 18:04:00;2027-02-06 00:04:00;1102684.0;2155684.0;Machine 06
35;0;2023-01-01 00:00:00;2027-10-07 00:00:00;0.0;2505600.0;Machine 13
36;0;2023-01-01 00:00:00;2034-06-27 20:00:00;0.0;6042000.0;Machine 26
37;0;2025-11-22 08:15:00;2035-03-19 12:15:00;1521135.0;6423135.0;Machine 20
38;0;2023-01-01 00:00:00;2032-01-01 12:00:00;0.0;4734000.0;Machine 33
39;0;2027-09-16 20:27:00;2031-09-25 20:27:00;2476587.0;4593387.0;Machine 09
40;0;2023-01-01 00:00:00;2024-12-03 05:45:00;0.0;1011225.0;Machine 02
41;0;2026-05-11 14:42:00;2028-12-26 14:42:00;1766322.0;3148722.0;Machine 03
42;0;2027-01-23 22:26:00;2039-12-06 22:26:00;2136866.0;8904866.0;Machine 19
43;0;2023-01-01 08:00:00;2026-09-12 08:00:00;480.0;1944480.0;Machine 19
44;0;2023-01-01 00:00:00;2027-09-30 08:00:00;0.0;2496000.0;Machine 29
45;0;2023-01-01 00:00:00;2030-07-04 23:00:00;0.0;3948420.0;Machine 28
46;0;2031-03-11 09:48:00;2038-02-02 09:48:00;4307628.0;7936428.0;Machine 06
47;0;2033-06-02 20:56:00;2037-06-29 08:56:00;5480456.0;7622456.0;Machine 18
48;0;2029-04-18 06:52:00;2033-05-14 18:52:00;3310972.0;5452972.0;Machine 18
49;0;2023-01-01 00:00:00;2025-07-26 12:00:00;0.0;1350000.0;Machine 01
50;0;2028-06-06 18:19:00;2044-11-09 18:19:00;2856619.0;11496619.0;Machine 07
51;0;2026-06-11 00:23:00;2044-08-17 11:11:00;1810103.0;11375231.0;Machine 15
52;0;2025-12-16 22:34:00;2029-09-26 22:33:00;1556554.0;3543753.0;Machine 14
53;0;2025-06-13 02:04:00;2031-04-29 05:45:00;1287484.0;4377945.0;Machine 12
54;0;2023-01-01 00:00:00;2033-05-03 00:00:00;0.0;5436000.0;Machine 17
55;0;2034-11-07 12:23:00;2043-01-24 12:23:00;6233063.0;10553063.0;Machine 17
55;1;2024-12-02 14:04:00;2032-04-24 14:04:00;1010284.0;4898284.0;Machine 11
55;2;2030-11-28 12:23:00;2034-11-07 12:23:00;4159463.0;6233063.0;Machine 00
55;3;2026-03-11 10:19:00;2030-11-09 10:19:00;1678219.0;4131979.0;Machine 00
56;0;2023-01-01 00:00:00;2023-07-24 04:00:00;0.0;294000.0;Machine 24
57;0;2023-01-01 00:00:00;2025-09-07 00:00:00;0.0;1411200.0;Machine 20
58;0;2023-01-01 00:00:00;2031-01-19 00:00:00;0.0;4233600.0;Machine 34
59;0;2023-01-01 00:00:00;2030-02-28 15:00:00;0.0;3766500.0;Machine 32
60;0;2023-01-01 00:00:00;2030-12-25 12:00:00;0.0;4198320.0;Machine 31
61;0;2023-01-01 00:00:00;2024-11-23 12:00:00;0.0;997200.0;Machine 15
62;0;2026-11-16 20:38:00;2029-01-24 20:38:00;2038838.0;3190838.0;Machine 10
63;0;2024-09-30 04:08:00;2026-06-17 04:08:00;918968.0;1818968.0;Machine 10
64;0;2023-01-01 00:00:00;2024-11-13 12:00:00;0.0;982800.0;Machine 11
65;0;2028-03-03 08:00:00;2034-08-19 18:00:00;2719200.0;6118200.0;Machine 13
65;1;2023-01-01 00:00:00;2028-03-03 08:00:00;0.0;2719200.0;Machine 07
65;2;2025-05-23 22:12:00;2027-12-24 02:12:00;1258452.0;2618052.0;Machine 05
65;3;2025-07-07 10:34:00;2028-02-06 14:34:00;1322554.0;2682154.0;Machine 04
66;0;2031-09-10 09:08:00;2039-06-30 09:08:00;4571108.0;8675108.0;Machine 22
66;1;2025-05-04 22:15:00;2031-08-01 22:15:00;1231095.0;4514295.0;Machine 02
66;2;2028-04-16 14:35:00;2031-05-31 14:35:00;2782955.0;4424555.0;Machine 05
66;3;2028-07-27 09:08:00;2031-09-10 09:08:00;2929508.0;4571108.0;Machine 04
67;0;2025-02-26 22:19:00;2026-05-22 22:19:00;1134619.0;1782619.0;Machine 15
67;1;2023-01-01 00:00:00;2023-12-27 00:00:00;0.0;518400.0;Machine 08
67;2;2023-01-01 00:00:00;2023-06-30 00:00:00;0.0;259200.0;Machine 09
67;3;2023-01-01 00:00:00;2023-06-30 00:00:00;0.0;259200.0;Machine 04
68;0;2023-01-01 00:00:00;2024-03-06 16:00:00;0.0;620160.0;Machine 27
