Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 00
0;1;2023-01-01 00:25:00;2023-01-01 00:29:00;25.0;29.0;Machine 01
0;2;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 02
0;3;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 01
0;4;2023-01-01 00:06:00;2023-01-01 00:10:00;6.0;10.0;Machine 01
0;5;2023-01-01 00:19:00;2023-01-01 00:22:00;19.0;22.0;Machine 01
0;6;2023-01-01 00:14:00;2023-01-01 00:18:00;14.0;18.0;Machine 01
0;7;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 01
0;8;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 02
0;9;2023-01-01 00:06:00;2023-01-01 00:10:00;6.0;10.0;Machine 00
