name;value
Z_FO;293262512.0
b[job:0, stage:0, machine:10];1.0
b[job:0, stage:0, machine:9];0.0
b[job:1, stage:0, machine:10];0.0
b[job:1, stage:0, machine:6];1.0
b[job:1, stage:0, machine:9];0.0
b[job:10, stage:0, machine:5];0.0
b[job:10, stage:0, machine:6];0.0
b[job:10, stage:0, machine:8];1.0
b[job:10, stage:0, machine:9];0.0
b[job:11, stage:0, machine:9];1.0
b[job:12, stage:0, machine:5];1.0
b[job:12, stage:0, machine:6];0.0
b[job:12, stage:0, machine:7];0.0
b[job:12, stage:0, machine:8];0.0
b[job:13, stage:0, machine:4];0.0
b[job:13, stage:0, machine:6];0.0
b[job:13, stage:0, machine:8];1.0
b[job:14, stage:0, machine:0];1.0
b[job:15, stage:0, machine:0];1.0
b[job:16, stage:0, machine:9];1.0
b[job:17, stage:0, machine:9];1.0
b[job:18, stage:0, machine:11];0.0
b[job:18, stage:0, machine:12];0.0
b[job:18, stage:0, machine:20];0.0
b[job:18, stage:0, machine:22];1.0
b[job:19, stage:0, machine:11];0.0
b[job:19, stage:0, machine:12];0.0
b[job:19, stage:0, machine:14];1.0
b[job:2, stage:0, machine:21];1.0
b[job:20, stage:0, machine:16];1.0
b[job:21, stage:0, machine:3];0.0
b[job:21, stage:0, machine:4];1.0
b[job:22, stage:0, machine:3];0.0
b[job:22, stage:0, machine:4];1.0
b[job:23, stage:0, machine:0];1.0
b[job:24, stage:0, machine:13];0.0
b[job:24, stage:0, machine:15];0.0
b[job:24, stage:0, machine:20];0.0
b[job:24, stage:0, machine:22];1.0
b[job:25, stage:0, machine:16];1.0
b[job:26, stage:0, machine:16];1.0
b[job:27, stage:0, machine:18];1.0
b[job:28, stage:0, machine:18];1.0
b[job:29, stage:0, machine:10];0.0
b[job:29, stage:0, machine:6];0.0
b[job:29, stage:0, machine:7];1.0
b[job:3, stage:0, machine:27];1.0
b[job:30, stage:0, machine:20];1.0
b[job:31, stage:0, machine:6];1.0
b[job:32, stage:0, machine:25];1.0
b[job:33, stage:0, machine:25];1.0
b[job:34, stage:0, machine:5];1.0
b[job:34, stage:0, machine:6];0.0
b[job:34, stage:0, machine:9];0.0
b[job:35, stage:0, machine:11];1.0
b[job:35, stage:0, machine:12];0.0
b[job:35, stage:0, machine:13];0.0
b[job:35, stage:0, machine:15];0.0
b[job:35, stage:0, machine:19];0.0
b[job:35, stage:0, machine:20];0.0
b[job:36, stage:0, machine:25];0.0
b[job:36, stage:0, machine:26];1.0
b[job:36, stage:0, machine:28];0.0
b[job:37, stage:0, machine:20];1.0
b[job:38, stage:0, machine:23];1.0
b[job:38, stage:0, machine:33];0.0
b[job:38, stage:0, machine:34];0.0
b[job:39, stage:0, machine:9];1.0
b[job:4, stage:0, machine:27];1.0
b[job:40, stage:0, machine:2];1.0
b[job:40, stage:0, machine:6];0.0
b[job:41, stage:0, machine:3];1.0
b[job:41, stage:0, machine:6];0.0
b[job:41, stage:0, machine:9];0.0
b[job:42, stage:0, machine:13];1.0
b[job:42, stage:0, machine:19];0.0
b[job:43, stage:0, machine:13];1.0
b[job:43, stage:0, machine:19];0.0
b[job:44, stage:0, machine:28];0.0
b[job:44, stage:0, machine:29];1.0
b[job:44, stage:0, machine:30];0.0
b[job:45, stage:0, machine:23];0.0
b[job:45, stage:0, machine:28];0.0
b[job:45, stage:0, machine:29];0.0
b[job:45, stage:0, machine:30];0.0
b[job:45, stage:0, machine:31];0.0
b[job:45, stage:0, machine:34];1.0
b[job:46, stage:0, machine:6];1.0
b[job:46, stage:0, machine:9];0.0
b[job:47, stage:0, machine:18];1.0
b[job:48, stage:0, machine:18];1.0
b[job:49, stage:0, machine:1];1.0
b[job:49, stage:0, machine:5];0.0
b[job:5, stage:0, machine:3];0.0
b[job:5, stage:0, machine:4];1.0
b[job:50, stage:0, machine:6];0.0
b[job:50, stage:0, machine:7];1.0
b[job:51, stage:0, machine:15];0.0
b[job:51, stage:0, machine:17];0.0
b[job:51, stage:0, machine:19];1.0
b[job:51, stage:0, machine:20];0.0
b[job:51, stage:0, machine:27];0.0
b[job:52, stage:0, machine:12];1.0
b[job:52, stage:0, machine:14];0.0
b[job:53, stage:0, machine:11];0.0
b[job:53, stage:0, machine:12];0.0
b[job:53, stage:0, machine:14];1.0
b[job:54, stage:0, machine:17];1.0
b[job:55, stage:0, machine:15];0.0
b[job:55, stage:0, machine:17];1.0
b[job:55, stage:0, machine:27];0.0
b[job:56, stage:0, machine:24];1.0
b[job:56, stage:0, machine:25];0.0
b[job:56, stage:0, machine:26];0.0
b[job:56, stage:0, machine:27];0.0
b[job:56, stage:0, machine:32];0.0
b[job:57, stage:0, machine:20];1.0
b[job:58, stage:0, machine:33];1.0
b[job:58, stage:0, machine:34];0.0
b[job:59, stage:0, machine:27];0.0
b[job:59, stage:0, machine:32];1.0
b[job:6, stage:0, machine:3];1.0
b[job:6, stage:0, machine:4];0.0
b[job:60, stage:0, machine:27];0.0
b[job:60, stage:0, machine:31];1.0
b[job:61, stage:0, machine:11];1.0
b[job:61, stage:0, machine:15];0.0
b[job:62, stage:0, machine:10];1.0
b[job:62, stage:0, machine:9];0.0
b[job:63, stage:0, machine:10];1.0
b[job:63, stage:0, machine:9];0.0
b[job:64, stage:0, machine:11];0.0
b[job:64, stage:0, machine:12];1.0
b[job:64, stage:0, machine:15];0.0
b[job:65, stage:0, machine:13];0.0
b[job:65, stage:0, machine:15];1.0
b[job:65, stage:0, machine:22];0.0
b[job:66, stage:0, machine:13];0.0
b[job:66, stage:0, machine:15];0.0
b[job:66, stage:0, machine:22];1.0
b[job:67, stage:0, machine:13];1.0
