Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-10 11:59:00;2023-01-11 11:59:00;13679.0;15119.0;Machine 01
0;1;2023-01-09 11:59:00;2023-01-10 11:59:00;12239.0;13679.0;Machine 00
0;2;2023-01-06 12:58:00;2023-01-08 12:58:00;7978.0;10858.0;Machine 02
0;3;2023-01-03 10:19:00;2023-01-05 10:19:00;3499.0;6379.0;Machine 03
0;4;2023-01-02 10:19:00;2023-01-03 10:19:00;2059.0;3499.0;Machine 04
1;0;2023-01-05 11:19:00;2023-01-06 11:19:00;6439.0;7879.0;Machine 03
1;1;2023-01-04 08:59:00;2023-01-05 08:59:00;4859.0;6299.0;Machine 01
1;2;2023-01-03 08:00:00;2023-01-04 08:00:00;3360.0;4800.0;Machine 02
1;3;2023-01-02 08:00:00;2023-01-03 08:00:00;1920.0;3360.0;Machine 00
1;4;2023-01-01 08:00:00;2023-01-02 08:00:00;480.0;1920.0;Machine 04
2;0;2023-01-12 13:58:00;2023-01-13 13:58:00;16678.0;18118.0;Machine 00
2;1;2023-01-11 13:58:00;2023-01-12 13:58:00;15238.0;16678.0;Machine 02
2;2;2023-01-08 13:58:00;2023-01-11 13:58:00;10918.0;15238.0;Machine 03
2;3;2023-01-06 12:58:00;2023-01-08 12:58:00;7978.0;10858.0;Machine 01
2;4;2023-01-05 12:58:00;2023-01-06 12:58:00;6538.0;7978.0;Machine 04
3;0;2023-01-13 16:37:00;2023-01-15 16:37:00;18277.0;21157.0;Machine 00
3;1;2023-01-11 16:37:00;2023-01-13 16:37:00;15397.0;18277.0;Machine 03
3;2;2023-01-08 15:57:00;2023-01-10 15:57:00;11037.0;13917.0;Machine 02
3;3;2023-01-06 15:57:00;2023-01-07 15:57:00;8157.0;9597.0;Machine 04
4;0;2023-01-08 10:59:00;2023-01-09 10:59:00;10739.0;12179.0;Machine 00
4;1;2023-01-07 10:59:00;2023-01-08 10:59:00;9299.0;10739.0;Machine 03
4;2;2023-01-06 10:59:00;2023-01-07 10:59:00;7859.0;9299.0;Machine 00
4;3;2023-01-05 10:59:00;2023-01-06 10:59:00;6419.0;7859.0;Machine 02
4;4;2023-01-03 10:59:00;2023-01-05 10:59:00;3539.0;6419.0;Machine 04
