Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-07 08:00:00;2023-01-08 08:00:00;9120.0;10560.0;Machine 01
0;1;2023-01-06 08:00:00;2023-01-07 08:00:00;7680.0;9120.0;Machine 00
0;2;2023-01-04 08:00:00;2023-01-06 08:00:00;4800.0;7680.0;Machine 02
0;3;2023-01-02 08:00:00;2023-01-04 08:00:00;1920.0;4800.0;Machine 03
0;4;2023-01-01 08:00:00;2023-01-02 08:00:00;480.0;1920.0;Machine 04
1;0;2023-01-09 15:37:00;2023-01-10 15:37:00;12457.0;13897.0;Machine 03
1;1;2023-01-08 14:38:00;2023-01-09 14:38:00;10958.0;12398.0;Machine 01
1;2;2023-01-07 14:38:00;2023-01-08 14:38:00;9518.0;10958.0;Machine 02
1;3;2023-01-04 11:59:00;2023-01-05 11:59:00;5039.0;6479.0;Machine 00
1;4;2023-01-03 11:59:00;2023-01-04 11:59:00;3599.0;5039.0;Machine 04
2;0;2023-01-10 14:18:00;2023-01-11 14:18:00;13818.0;15258.0;Machine 00
2;1;2023-01-08 17:37:00;2023-01-09 17:37:00;11137.0;12577.0;Machine 02
2;2;2023-01-05 09:00:00;2023-01-08 09:00:00;6300.0;10620.0;Machine 03
2;3;2023-01-03 09:00:00;2023-01-05 09:00:00;3420.0;6300.0;Machine 01
2;4;2023-01-02 09:00:00;2023-01-03 09:00:00;1980.0;3420.0;Machine 04
3;0;2023-01-13 20:16:00;2023-01-15 20:16:00;18496.0;21376.0;Machine 00
3;1;2023-01-11 20:16:00;2023-01-13 20:16:00;15616.0;18496.0;Machine 03
3;2;2023-01-09 20:16:00;2023-01-11 20:16:00;12736.0;15616.0;Machine 02
3;3;2023-01-06 15:18:00;2023-01-07 15:18:00;8118.0;9558.0;Machine 04
4;0;2023-01-09 13:58:00;2023-01-10 13:58:00;12358.0;13798.0;Machine 00
4;1;2023-01-08 13:58:00;2023-01-09 13:58:00;10918.0;12358.0;Machine 03
4;2;2023-01-07 13:58:00;2023-01-08 13:58:00;9478.0;10918.0;Machine 00
4;3;2023-01-06 13:58:00;2023-01-07 13:58:00;8038.0;9478.0;Machine 02
4;4;2023-01-04 13:58:00;2023-01-06 13:58:00;5158.0;8038.0;Machine 04
