Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-05 08:01:00;2023-01-06 00:01:00;6241.0;7201.0;Machine 01
0;1;2023-01-06 00:01:00;2023-01-06 08:01:00;7201.0;7681.0;Machine 03
0;2;2023-01-06 20:10:00;2023-01-07 08:10:00;8410.0;9130.0;Machine 04
0;3;2023-01-07 08:10:00;2023-01-08 04:10:00;9130.0;10330.0;Machine 09
0;4;2023-01-10 10:16:00;2023-01-11 14:16:00;13576.0;15256.0;Machine 10
0;5;2023-01-11 14:16:00;2023-01-12 10:16:00;15256.0;16456.0;Machine 12
0;6;2023-01-12 18:30:00;2023-01-13 02:30:00;16950.0;17430.0;Machine 13
1;0;2023-01-04 19:06:00;2023-01-04 23:06:00;5466.0;5706.0;Machine 07
1;1;2023-01-04 23:06:00;2023-01-05 02:06:00;5706.0;5886.0;Machine 09
1;2;2023-01-06 08:01:00;2023-01-06 10:01:00;7681.0;7801.0;Machine 03
1;3;2023-01-06 10:01:00;2023-01-06 16:01:00;7801.0;8161.0;Machine 04
1;4;2023-01-06 16:01:00;2023-01-07 00:01:00;8161.0;8641.0;Machine 14
1;5;2023-01-08 14:28:00;2023-01-08 17:28:00;10948.0;11128.0;Machine 13
2;0;2023-01-12 14:35:00;2023-01-15 14:35:00;16715.0;21035.0;Machine 15
2;1;2023-01-15 14:35:00;2023-01-17 14:35:00;21035.0;23915.0;Machine 14
2;2;2023-01-17 14:35:00;2023-01-18 02:35:00;23915.0;24635.0;Machine 13
3;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 02
3;1;2023-01-02 10:09:00;2023-01-02 16:09:00;2049.0;2409.0;Machine 03
3;2;2023-01-03 03:06:00;2023-01-03 21:06:00;3066.0;4146.0;Machine 07
3;3;2023-01-03 21:06:00;2023-01-04 09:06:00;4146.0;4866.0;Machine 10
3;4;2023-01-04 09:06:00;2023-01-05 21:06:00;4866.0;7026.0;Machine 08
4;0;2023-01-05 00:50:00;2023-01-05 18:50:00;5810.0;6890.0;Machine 17
4;1;2023-01-06 00:55:00;2023-01-07 06:55:00;7255.0;9055.0;Machine 19
4;2;2023-03-03 12:58:00;2023-03-04 06:58:00;88618.0;89698.0;Machine 17
4;3;2023-03-04 06:58:00;2023-03-05 18:58:00;89698.0;91858.0;Machine 21
5;0;2023-01-05 02:04:00;2023-01-05 10:04:00;5884.0;6364.0;Machine 02
5;1;2023-01-05 10:04:00;2023-01-05 14:04:00;6364.0;6604.0;Machine 03
5;2;2023-01-05 14:04:00;2023-01-05 20:04:00;6604.0;6964.0;Machine 07
5;3;2023-01-06 22:09:00;2023-01-07 08:09:00;8529.0;9129.0;Machine 09
5;4;2023-01-07 21:41:00;2023-01-08 11:41:00;9941.0;10781.0;Machine 10
5;5;2023-01-08 11:41:00;2023-01-08 21:41:00;10781.0;11381.0;Machine 12
5;6;2023-01-08 21:41:00;2023-01-09 01:41:00;11381.0;11621.0;Machine 13
6;0;2023-01-02 08:11:00;2023-01-02 16:11:00;1931.0;2411.0;Machine 02
6;1;2023-01-02 16:14:00;2023-01-02 20:14:00;2414.0;2654.0;Machine 03
6;2;2023-01-02 21:03:00;2023-01-03 03:03:00;2703.0;3063.0;Machine 07
6;3;2023-01-05 21:07:00;2023-01-06 07:07:00;7027.0;7627.0;Machine 08
6;4;2023-01-07 00:25:00;2023-01-07 14:25:00;8665.0;9505.0;Machine 10
6;5;2023-01-07 14:25:00;2023-01-08 00:25:00;9505.0;10105.0;Machine 11
6;6;2023-01-08 00:25:00;2023-01-08 04:25:00;10105.0;10345.0;Machine 13
7;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 16
7;1;2023-01-02 00:00:00;2023-01-02 16:00:00;1440.0;2400.0;Machine 14
7;2;2023-01-02 16:00:00;2023-01-02 20:00:00;2400.0;2640.0;Machine 13
8;0;2023-01-04 02:58:00;2023-01-04 10:58:00;4498.0;4978.0;Machine 01
8;1;2023-01-04 10:58:00;2023-01-04 12:58:00;4978.0;5098.0;Machine 03
8;2;2023-01-04 12:58:00;2023-01-04 18:58:00;5098.0;5458.0;Machine 07
8;3;2023-01-05 09:04:00;2023-01-05 17:04:00;6304.0;6784.0;Machine 10
8;4;2023-01-09 19:15:00;2023-01-10 07:15:00;12675.0;13395.0;Machine 08
9;0;2023-01-01 21:13:00;2023-01-02 03:13:00;1273.0;1633.0;Machine 17
9;1;2023-01-02 03:13:00;2023-01-02 13:13:00;1633.0;2233.0;Machine 19
9;2;2023-01-02 15:20:00;2023-01-02 21:20:00;2360.0;2720.0;Machine 17
9;3;2023-01-02 21:20:00;2023-01-03 09:20:00;2720.0;3440.0;Machine 21
10;0;2023-01-06 07:20:00;2023-01-06 11:20:00;7640.0;7880.0;Machine 07
10;1;2023-01-06 11:20:00;2023-01-06 14:20:00;7880.0;8060.0;Machine 08
10;2;2023-01-06 14:20:00;2023-01-06 16:20:00;8060.0;8180.0;Machine 03
10;3;2023-01-08 00:44:00;2023-01-08 06:44:00;10124.0;10484.0;Machine 06
10;4;2023-01-08 14:25:00;2023-01-08 22:25:00;10945.0;11425.0;Machine 14
10;5;2023-01-09 09:04:00;2023-01-09 12:04:00;12064.0;12244.0;Machine 13
11;0;2023-01-06 03:11:00;2023-01-06 07:11:00;7391.0;7631.0;Machine 07
11;1;2023-01-06 07:11:00;2023-01-06 10:11:00;7631.0;7811.0;Machine 08
11;2;2023-01-06 10:11:00;2023-01-06 12:11:00;7811.0;7931.0;Machine 03
11;3;2023-01-08 00:20:00;2023-01-08 06:20:00;10100.0;10460.0;Machine 04
