Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 02:37:00;2023-01-01 04:17:00;157.0;257.0;Machine 03
0;1;2023-01-01 04:17:00;2023-01-01 06:20:00;257.0;380.0;Machine 07
0;2;2023-01-01 07:07:00;2023-01-01 09:37:00;427.0;577.0;Machine 04
1;0;2023-01-01 01:39:00;2023-01-01 05:13:00;99.0;313.0;Machine 01
1;1;2023-01-01 06:02:00;2023-01-01 07:08:00;362.0;428.0;Machine 02
1;2;2023-01-01 07:08:00;2023-01-01 08:43:00;428.0;523.0;Machine 06
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0.0;87.0;Machine 01
2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;87.0;232.0;Machine 07
2;2;2023-01-01 04:14:00;2023-01-01 05:54:00;254.0;354.0;Machine 05
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0.0;65.0;Machine 02
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65.0;238.0;Machine 05
3;2;2023-01-01 03:58:00;2023-01-01 06:14:00;238.0;374.0;Machine 06
4;0;2023-01-01 00:00:00;2023-01-01 02:25:00;0.0;145.0;Machine 03
4;1;2023-01-01 03:04:00;2023-01-01 04:09:00;184.0;249.0;Machine 04
4;2;2023-01-01 04:10:00;2023-01-01 05:50:00;250.0;350.0;Machine 02
5;0;2023-01-01 00:10:00;2023-01-01 02:44:00;10.0;164.0;Machine 04
5;1;2023-01-01 04:23:00;2023-01-01 06:53:00;263.0;413.0;Machine 04
5;2;2023-01-01 06:53:00;2023-01-01 08:53:00;413.0;533.0;Machine 05
6;0;2023-01-01 01:19:00;2023-01-01 03:56:00;79.0;236.0;Machine 02
6;1;2023-01-01 04:30:00;2023-01-01 06:34:00;270.0;394.0;Machine 03
6;2;2023-01-01 06:34:00;2023-01-01 09:32:00;394.0;572.0;Machine 07
