name;value
Z_FO;696.0
b[job:0, stage:0, machine:1];1.0
b[job:0, stage:0, machine:2];0.0
b[job:0, stage:1, machine:2];1.0
b[job:0, stage:1, machine:4];0.0
b[job:0, stage:2, machine:4];1.0
b[job:0, stage:2, machine:5];0.0
b[job:1, stage:0, machine:1];0.0
b[job:1, stage:0, machine:3];1.0
b[job:1, stage:1, machine:2];0.0
b[job:1, stage:1, machine:3];1.0
b[job:1, stage:2, machine:3];1.0
b[job:1, stage:2, machine:5];0.0
b[job:2, stage:0, machine:1];0.0
b[job:2, stage:0, machine:2];1.0
b[job:2, stage:1, machine:3];0.0
b[job:2, stage:1, machine:4];1.0
b[job:2, stage:2, machine:4];0.0
b[job:2, stage:2, machine:5];1.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:1, machine:2];117.0
startT[job:0, stage:1, machine:4];0.0
startT[job:0, stage:2, machine:4];247.0
startT[job:0, stage:2, machine:5];0.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:1, machine:2];0.0
startT[job:1, stage:1, machine:3];160.0
startT[job:1, stage:2, machine:3];229.0
startT[job:1, stage:2, machine:5];0.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:1, machine:3];0.0
startT[job:2, stage:1, machine:4];62.0
startT[job:2, stage:2, machine:4];0.0
startT[job:2, stage:2, machine:5];132.0
x[job1|stage1:0|0, job2|stage2:0|0];0.0
x[job1|stage1:0|0, job2|stage2:0|1];0.0
x[job1|stage1:0|0, job2|stage2:0|2];0.0
x[job1|stage1:0|0, job2|stage2:1|0];0.0
x[job1|stage1:0|0, job2|stage2:1|1];0.0
x[job1|stage1:0|0, job2|stage2:1|2];0.0
x[job1|stage1:0|0, job2|stage2:2|0];0.0
x[job1|stage1:0|0, job2|stage2:2|1];0.0
x[job1|stage1:0|0, job2|stage2:2|2];0.0
x[job1|stage1:0|1, job2|stage2:0|0];0.0
x[job1|stage1:0|1, job2|stage2:0|1];0.0
x[job1|stage1:0|1, job2|stage2:0|2];0.0
x[job1|stage1:0|1, job2|stage2:1|0];0.0
x[job1|stage1:0|1, job2|stage2:1|1];0.0
x[job1|stage1:0|1, job2|stage2:1|2];0.0
x[job1|stage1:0|1, job2|stage2:2|0];1.0
x[job1|stage1:0|1, job2|stage2:2|1];0.0
x[job1|stage1:0|1, job2|stage2:2|2];0.0
x[job1|stage1:0|2, job2|stage2:0|0];0.0
x[job1|stage1:0|2, job2|stage2:0|1];0.0
x[job1|stage1:0|2, job2|stage2:0|2];0.0
x[job1|stage1:0|2, job2|stage2:1|0];0.0
x[job1|stage1:0|2, job2|stage2:1|1];0.0
x[job1|stage1:0|2, job2|stage2:1|2];0.0
x[job1|stage1:0|2, job2|stage2:2|0];0.0
x[job1|stage1:0|2, job2|stage2:2|1];1.0
x[job1|stage1:0|2, job2|stage2:2|2];0.0
x[job1|stage1:1|0, job2|stage2:0|0];0.0
x[job1|stage1:1|0, job2|stage2:0|1];0.0
x[job1|stage1:1|0, job2|stage2:0|2];0.0
x[job1|stage1:1|0, job2|stage2:1|0];0.0
x[job1|stage1:1|0, job2|stage2:1|1];0.0
x[job1|stage1:1|0, job2|stage2:1|2];0.0
x[job1|stage1:1|0, job2|stage2:2|0];0.0
x[job1|stage1:1|0, job2|stage2:2|1];0.0
x[job1|stage1:1|0, job2|stage2:2|2];0.0
x[job1|stage1:1|1, job2|stage2:0|0];0.0
x[job1|stage1:1|1, job2|stage2:0|1];0.0
