Instance Name;Obj Func;Time Sim;Total Time
FTQL_modified_makespan;88487;0.434499;2.577693
Fattahi_setup_01_modified_makespan;193;0.379487;2.07597
Fattahi_setup_02_modified_makespan;204;0.373919;1.918091
Fattahi_setup_03_modified_makespan;612;0.390924;2.002237
Fattahi_setup_04_modified_makespan;1001;0.380367;1.919818
Fattahi_setup_05_modified_makespan;321;0.376323;2.047484
Fattahi_setup_06_modified_makespan;1216;0.385055;2.210429
Fattahi_setup_07_modified_makespan;952;0.432037;2.209412
Fattahi_setup_08_modified_makespan;773;0.41481;2.225483
Fattahi_setup_09_modified_makespan;579;0.382762;2.092389
Fattahi_setup_10_modified_makespan;2000;0.39944;2.111283
Fattahi_setup_11_modified_makespan;2339;0.426453;2.343726
Fattahi_setup_12_modified_makespan;2165;0.39728;2.2843109999999998
Fattahi_setup_13_modified_makespan;3259;0.408018;2.40281
Fattahi_setup_14_modified_makespan;3699;0.418032;2.396999
Fattahi_setup_15_modified_makespan;3807;0.40976;2.468933
Fattahi_setup_16_modified_makespan;4949;0.429613;2.5299329999999998
Fattahi_setup_17_modified_makespan;7268;0.416396;2.692541
Fattahi_setup_18_modified_makespan;8237;0.42092;2.762801
Fattahi_setup_19_modified_makespan;10911;0.426035;2.919923
Fattahi_setup_20_modified_makespan;13005;0.434136;3.010857
MetalMeca_modified_makespan;711671;0.904233;10.227893
PlasticInjection_modified_makespan;89405;0.567051;3.798554
FTQL_modified_deadline;52200;0.434499;2.577693
Fattahi_setup_01_modified_deadline;131;0.379487;2.07597
Fattahi_setup_02_modified_deadline;164;0.373919;1.918091
Fattahi_setup_03_modified_deadline;496;0.390924;2.002237
Fattahi_setup_04_modified_deadline;878;0.380367;1.919818
Fattahi_setup_05_modified_deadline;298;0.376323;2.047484
Fattahi_setup_06_modified_deadline;1085;0.385055;2.210429
Fattahi_setup_07_modified_deadline;921;0.432037;2.209412
Fattahi_setup_08_modified_deadline;813;0.41481;2.225483
Fattahi_setup_09_modified_deadline;566;0.382762;2.092389
Fattahi_setup_10_modified_deadline;1883;0.39944;2.111283
Fattahi_setup_11_modified_deadline;2402;0.426453;2.343726
Fattahi_setup_12_modified_deadline;2333;0.39728;2.2843109999999998
Fattahi_setup_13_modified_deadline;3474;0.408018;2.40281
Fattahi_setup_14_modified_deadline;3939;0.418032;2.396999
Fattahi_setup_15_modified_deadline;4062;0.40976;2.468933
Fattahi_setup_16_modified_deadline;5338;0.429613;2.5299329999999998
Fattahi_setup_17_modified_deadline;7383;0.416396;2.692541
Fattahi_setup_18_modified_deadline;8271;0.42092;2.762801
Fattahi_setup_19_modified_deadline;10668;0.426035;2.919923
Fattahi_setup_20_modified_deadline;12877;0.434136;3.010857
MetalMeca_modified_deadline;440;0.904233;10.227893
PlasticInjection_modified_deadline;123417;0.567051;3.798554
