;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 00:00:00;2023-01-01 04:07:00;0;247;Machine 01
5;1;1;2023-01-01 05:26:00;2023-01-01 06:32:00;326;392;Machine 02
8;2;0;2023-01-01 04:07:00;2023-01-01 05:09:00;247;309;Machine 02
12;3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0;65;Machine 02
18;4;2;2023-01-01 08:06:00;2023-01-01 09:46:00;486;586;Machine 02
20;5;0;2023-01-01 01:26:00;2023-01-01 03:51:00;86;231;Machine 02
4;1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0;150;Machine 03
16;4;0;2023-01-01 02:44:00;2023-01-01 05:09:00;164;309;Machine 03
24;6;0;2023-01-01 05:25:00;2023-01-01 07:50:00;325;470;Machine 03
25;6;1;2023-01-01 08:08:00;2023-01-01 10:12:00;488;612;Machine 03
2;0;2;2023-01-01 13:47:00;2023-01-01 16:17:00;827;977;Machine 04
9;2;1;2023-01-01 05:22:00;2023-01-01 07:07:00;322;427;Machine 04
10;2;2;2023-01-01 07:23:00;2023-01-01 10:33:00;443;633;Machine 04
19;4;3;2023-01-01 10:48:00;2023-01-01 13:33:00;648;813;Machine 04
28;7;0;2023-01-01 00:08:00;2023-01-01 04:13:00;8;253;Machine 04
13;3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65;238;Machine 05
21;5;1;2023-01-01 04:09:00;2023-01-01 07:21:00;249;441;Machine 05
27;6;3;2023-01-01 17:29:00;2023-01-01 19:49:00;1049;1189;Machine 05
29;7;1;2023-01-01 07:32:00;2023-01-01 12:00:00;452;720;Machine 05
30;7;2;2023-01-01 12:19:00;2023-01-01 14:44:00;739;884;Machine 05
3;0;3;2023-01-01 17:24:00;2023-01-01 19:49:00;1044;1189;Machine 06
6;1;2;2023-01-01 09:33:00;2023-01-01 11:08:00;573;668;Machine 06
11;2;3;2023-01-01 11:21:00;2023-01-01 14:11:00;681;851;Machine 06
14;3;2;2023-01-01 03:58:00;2023-01-01 06:14:00;238;374;Machine 06
15;3;3;2023-01-01 06:27:00;2023-01-01 09:17:00;387;557;Machine 06
26;6;2;2023-01-01 14:28:00;2023-01-01 17:13:00;868;1033;Machine 06
1;0;1;2023-01-01 04:07:00;2023-01-01 06:10:00;247;370;Machine 07
7;1;3;2023-01-01 12:20:00;2023-01-01 14:50:00;740;890;Machine 07
17;4;1;2023-01-01 06:22:00;2023-01-01 07:48:00;382;468;Machine 07
22;5;2;2023-01-01 08:03:00;2023-01-01 11:03:00;483;663;Machine 07
23;5;3;2023-01-01 11:16:00;2023-01-01 12:06:00;676;726;Machine 07
31;7;3;2023-01-01 15:03:00;2023-01-01 17:33:00;903;1053;Machine 07
