;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-01 06:23:00;2023-01-01 10:30:00;383;630;Machine 01
4;1;0;2023-01-01 02:30:00;2023-01-01 06:04:00;150;364;Machine 01
16;4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0;128;Machine 01
5;1;1;2023-01-01 08:53:00;2023-01-01 09:59:00;533;599;Machine 02
40;10;0;2023-01-01 13:08:00;2023-01-01 15:38:00;788;938;Machine 02
44;11;0;2023-01-01 02:43:00;2023-01-01 08:40:00;163;520;Machine 02
8;2;0;2023-01-01 01:18:00;2023-01-01 02:20:00;78;140;Machine 02
12;3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0;65;Machine 02
24;6;0;2023-01-01 10:16:00;2023-01-01 12:53:00;616;773;Machine 02
45;11;1;2023-01-01 11:54:00;2023-01-01 15:38:00;714;938;Machine 03
25;6;1;2023-01-01 15:59:00;2023-01-01 18:03:00;959;1083;Machine 03
28;7;0;2023-01-01 02:48:00;2023-01-01 07:05:00;168;425;Machine 03
32;8;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0;150;Machine 03
36;9;0;2023-01-01 07:22:00;2023-01-01 11:39:00;442;699;Machine 03
1;0;1;2023-01-01 12:59:00;2023-01-01 15:19:00;779;919;Machine 04
2;0;2;2023-01-01 15:30:00;2023-01-01 18:00:00;930;1080;Machine 04
41;10;1;2023-01-01 18:13:00;2023-01-01 21:53:00;1093;1313;Machine 04
10;2;2;2023-01-01 09:32:00;2023-01-01 12:42:00;572;762;Machine 04
20;5;0;2023-01-01 00:11:00;2023-01-01 02:45:00;11;165;Machine 04
21;5;1;2023-01-01 02:55:00;2023-01-01 05:25:00;175;325;Machine 04
33;8;1;2023-01-01 05:39:00;2023-01-01 09:19:00;339;559;Machine 04
7;1;3;2023-01-01 15:32:00;2023-01-01 17:32:00;932;1052;Machine 05
46;11;2;2023-01-01 17:52:00;2023-01-01 20:17:00;1072;1217;Machine 05
47;11;3;2023-01-01 20:33:00;2023-01-02 02:13:00;1233;1573;Machine 05
13;3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65;238;Machine 05
22;5;2;2023-01-01 05:42:00;2023-01-01 07:42:00;342;462;Machine 05
29;7;1;2023-01-01 08:06:00;2023-01-01 12:34:00;486;754;Machine 05
30;7;2;2023-01-01 12:47:00;2023-01-01 15:12:00;767;912;Machine 05
43;10;3;2023-01-01 23:30:00;2023-01-02 02:00:00;1410;1560;Machine 06
14;3;2;2023-01-01 05:16:00;2023-01-01 07:32:00;316;452;Machine 06
15;3;3;2023-01-01 07:52:00;2023-01-01 10:42:00;472;642;Machine 06
18;4;2;2023-01-01 03:34:00;2023-01-01 04:59:00;214;299;Machine 06
37;9;1;2023-01-01 11:51:00;2023-01-01 15:35:00;711;935;Machine 06
38;9;2;2023-01-01 15:55:00;2023-01-01 18:40:00;955;1120;Machine 06
6;1;2;2023-01-01 10:47:00;2023-01-01 13:17:00;647;797;Machine 07
42;10;2;2023-01-01 22:17:00;2023-01-01 23:07:00;1337;1387;Machine 07
9;2;1;2023-01-01 03:56:00;2023-01-01 06:21:00;236;381;Machine 07
17;4;1;2023-01-01 02:08:00;2023-01-01 03:34:00;128;214;Machine 07
23;5;3;2023-01-01 07:55:00;2023-01-01 08:45:00;475;525;Machine 07
26;6;2;2023-01-01 18:23:00;2023-01-01 21:21:00;1103;1281;Machine 07
31;7;3;2023-01-01 15:34:00;2023-01-01 18:04:00;934;1084;Machine 07
34;8;2;2023-01-01 09:40:00;2023-01-01 10:30:00;580;630;Machine 07
3;0;3;2023-01-01 18:15:00;2023-01-01 20:40:00;1095;1240;Machine 08
11;2;3;2023-01-01 13:52:00;2023-01-01 16:37:00;832;997;Machine 08
19;4;3;2023-01-01 04:59:00;2023-01-01 07:44:00;299;464;Machine 08
27;6;3;2023-01-01 23:39:00;2023-01-02 03:29:00;1419;1649;Machine 08
35;8;3;2023-01-01 10:47:00;2023-01-01 13:37:00;647;817;Machine 08
39;9;3;2023-01-01 20:52:00;2023-01-01 23:22:00;1252;1402;Machine 08
